house_id,price,beds,baths,square_feet,lot_size,hoa_permonth,Summer Temp,Winter Temp,population,pop_cat,lot_size_hot,hoa_hot,pop_cat_hot
1,369900.0,5.0,3.0,2500.0,404672.0,0.0,61.0,19.0,1930.0,small,1,0,0
2,319000.0,2.0,2.0,1456.0,125452.0,0.0,61.0,19.0,1930.0,small,1,0,0
3,115000.0,2.0,1.0,896.0,86248.0,0.0,61.0,19.0,1930.0,small,1,0,0
4,205000.0,3.0,1.0,1423.0,78408.0,0.0,61.0,19.0,1930.0,small,1,0,0
5,299000.0,2.0,2.0,2185.0,78843.0,0.0,61.0,19.0,1930.0,small,1,0,0
6,369000.0,4.0,2.0,2945.0,384199.0,0.0,61.0,19.0,1930.0,small,1,0,0
7,187000.0,3.0,2.0,1536.0,18730.0,0.0,61.0,19.0,1930.0,small,1,0,0
8,495000.0,3.0,3.0,2620.0,50965.0,0.0,61.0,19.0,1930.0,small,1,0,0
9,395000.0,3.0,3.0,3234.0,130680.0,0.0,61.0,19.0,1930.0,small,1,0,0
10,349000.0,4.0,3.0,1683.0,311889.0,0.0,61.0,19.0,1930.0,small,1,0,0
11,649000.0,6.0,5.0,4438.0,71874.0,0.0,61.0,19.0,1930.0,small,1,0,0
12,324000.0,3.0,3.0,2824.0,336283.0,0.0,61.0,19.0,1930.0,small,1,0,0
13,322900.0,3.0,2.0,2336.0,42253.0,0.0,61.0,19.0,1930.0,small,1,0,0
14,325000.0,4.0,2.0,2240.0,79279.0,0.0,61.0,19.0,1930.0,small,1,0,0
15,324900.0,7.0,8.0,3884.0,394218.0,0.0,61.0,19.0,1930.0,small,1,0,0
16,339500.0,1.0,1.0,1920.0,479160.0,0.0,61.0,19.0,1930.0,small,1,0,0
17,235000.0,2.0,2.0,1392.0,118047.0,0.0,61.0,19.0,1930.0,small,1,0,0
18,479000.0,3.0,3.0,1320.0,90169.0,0.0,61.0,19.0,1930.0,small,1,0,0
19,3500000.0,5.0,4.0,4322.0,246114.0,0.0,61.0,19.0,1930.0,small,1,0,0
20,355000.0,5.0,3.0,3348.0,20037.0,0.0,61.0,19.0,1930.0,small,1,0,0
21,749999.0,5.0,5.0,2492.0,129373.0,0.0,61.0,19.0,1930.0,small,1,0,0
22,949000.0,5.0,4.0,4454.0,422967.0,0.0,61.0,19.0,1930.0,small,1,0,0
23,204000.0,1.0,1.0,512.0,470448.0,0.0,61.0,19.0,1930.0,small,1,0,0
24,87000.0,1.0,1.0,460.0,45738.0,0.0,61.0,19.0,1930.0,small,1,0,0
25,195000.0,3.0,2.0,1310.0,61420.0,0.0,61.0,19.0,1930.0,small,1,0,0
26,224500.0,3.0,2.0,1292.0,7000.0,0.0,62.7,20.4,291826.0,large,1,0,2
27,874900.0,4.0,3.0,3450.0,48861.0,0.0,62.7,20.4,291826.0,large,1,0,2
28,399900.0,3.0,2.0,2468.0,9745.0,0.0,62.7,20.4,291826.0,large,1,0,2
29,549000.0,3.0,2.0,2012.0,22553.0,0.0,62.7,20.4,291826.0,large,1,0,2
30,275000.0,4.0,3.0,1850.0,8520.0,0.0,62.7,20.4,291826.0,large,1,0,2
31,305000.0,4.0,2.0,1955.0,7405.0,0.0,62.7,20.4,291826.0,large,1,0,2
32,369900.0,4.0,3.0,1996.0,9700.0,0.0,62.7,20.4,291826.0,large,1,0,2
33,375000.0,3.0,2.0,1267.0,14077.0,0.0,62.7,20.4,291826.0,large,1,0,2
34,189500.0,2.0,1.0,640.0,7000.0,0.0,62.7,20.4,291826.0,large,1,0,2
35,1025000.0,3.0,3.0,3000.0,6727.0,0.0,62.7,20.4,291826.0,large,1,0,2
36,360000.0,4.0,2.0,2152.0,7000.0,0.0,62.7,20.4,291826.0,large,1,0,2
