state,city,population,location
Alabama,Thorsby town,1980,"Thorsby town, Alabama"
Alabama,Deatsville town,1154,"Deatsville town, Alabama"
Alabama,Opp city,6659,"Opp city, Alabama"
Alabama,Mooresville town,53,"Mooresville town, Alabama"
Alabama,Emelle town,53,"Emelle town, Alabama"
Alabama,Warrior city,3176,"Warrior city, Alabama"
Alabama,Enterprise city,26562,"Enterprise city, Alabama"
Alabama,Colony town,268,"Colony town, Alabama"
Alabama,Ariton town,764,"Ariton town, Alabama"
Alabama,Twin town,399,"Twin town, Alabama"
Alabama,Elmore town,1262,"Elmore town, Alabama"
Alabama,Steele town,1043,"Steele town, Alabama"
Alabama,Dayton town,52,"Dayton town, Alabama"
Alabama,Susan Moore town,763,"Susan Moore town, Alabama"
Alabama,Goodwater town,1475,"Goodwater town, Alabama"
Alabama,Rutledge town,467,"Rutledge town, Alabama"
Alabama,Hartford city,2624,"Hartford city, Alabama"
Alabama,Dutton town,315,"Dutton town, Alabama"
Alabama,Trafford town,646,"Trafford town, Alabama"
Alabama,Pinckard town,647,"Pinckard town, Alabama"
Alabama,Phil Campbell town,1148,"Phil Campbell town, Alabama"
Alabama,Madison city,42938,"Madison city, Alabama"
Alabama,Berry town,1148,"Berry town, Alabama"
Alabama,Opelika city,26477,"Opelika city, Alabama"
Alabama,Spanish Fort city,6798,"Spanish Fort city, Alabama"
Alabama,Jasper city,14352,"Jasper city, Alabama"
Alabama,Goshen town,266,"Goshen town, Alabama"
Alabama,Vernon city,2000,"Vernon city, Alabama"
Alabama,Skyline town,851,"Skyline town, Alabama"
Alabama,Morris town,1859,"Morris town, Alabama"
Alabama,Clanton city,8619,"Clanton city, Alabama"
Alabama,Pollard town,137,"Pollard town, Alabama"
Alabama,Langston town,270,"Langston town, Alabama"
Alabama,Kansas town,226,"Kansas town, Alabama"
Alabama,Kinsey town,2198,"Kinsey town, Alabama"
Alabama,Cullman city,14775,"Cullman city, Alabama"
Alabama,Scottsboro city,14770,"Scottsboro city, Alabama"
Alabama,Columbiana city,4197,"Columbiana city, Alabama"
Alabama,Mulga town,836,"Mulga town, Alabama"
Alabama,Section town,770,"Section town, Alabama"
Alabama,Troy city,18033,"Troy city, Alabama"
Alabama,Elberta town,1498,"Elberta town, Alabama"
Alabama,Riverside city,2208,"Riverside city, Alabama"
Alabama,Lipscomb city,2210,"Lipscomb city, Alabama"
Alabama,Ashville city,2212,"Ashville city, Alabama"
Alabama,Oneonta city,6567,"Oneonta city, Alabama"
Alabama,Millbrook city,14640,"Millbrook city, Alabama"
Alabama,Fulton town,272,"Fulton town, Alabama"
Alabama,Benton town,49,"Benton town, Alabama"
Alabama,Dora city,2025,"Dora city, Alabama"
Alabama,Haleyville city,4173,"Haleyville city, Alabama"
Alabama,Foley city,14618,"Foley city, Alabama"
Alabama,Vredenburgh town,312,"Vredenburgh town, Alabama"
Alabama,Rogersville town,1257,"Rogersville town, Alabama"
Alabama,Goldville town,55,"Goldville town, Alabama"
Alabama,Cardiff town,55,"Cardiff town, Alabama"
Alabama,Vestavia Hills city,34033,"Vestavia Hills city, Alabama"
Alabama,Prattville city,33960,"Prattville city, Alabama"
Alabama,Fayette city,4619,"Fayette city, Alabama"
Alabama,Blountsville town,1684,"Blountsville town, Alabama"
Alabama,Gantt town,222,"Gantt town, Alabama"
Alabama,Camden city,2020,"Camden city, Alabama"
Alabama,Yellow Bluff town,188,"Yellow Bluff town, Alabama"
Alabama,Toxey town,137,"Toxey town, Alabama"
Alabama,Carbon Hill city,2021,"Carbon Hill city, Alabama"
Alabama,Sand Rock town,560,"Sand Rock town, Alabama"
Alabama,Forkland town,649,"Forkland town, Alabama"
Alabama,Rosa town,316,"Rosa town, Alabama"
Alabama,Fairfield city,11117,"Fairfield city, Alabama"
Alabama,Argo town,4071,"Argo town, Alabama"
Alabama,Hurtsboro town,553,"Hurtsboro town, Alabama"
Alabama,Winfield city,4717,"Winfield city, Alabama"
Alabama,Jemison city,2585,"Jemison city, Alabama"
Alabama,Fultondale city,8380,"Fultondale city, Alabama"
Alabama,Hillsboro town,552,"Hillsboro town, Alabama"
Alabama,Daviston town,214,"Daviston town, Alabama"
Alabama,Wadley town,751,"Wadley town, Alabama"
Alabama,Summerdale town,862,"Summerdale town, Alabama"
Alabama,Rockford town,477,"Rockford town, Alabama"
Alabama,Hollywood town,1000,"Hollywood town, Alabama"
Alabama,Fort Payne city,14012,"Fort Payne city, Alabama"
Alabama,Bessemer city,27456,"Bessemer city, Alabama"
Alabama,Maytown town,385,"Maytown town, Alabama"
Alabama,Pennington town,221,"Pennington town, Alabama"
Alabama,Pine Apple town,132,"Pine Apple town, Alabama"
Alabama,Blue Springs town,96,"Blue Springs town, Alabama"
Alabama,Glenwood town,187,"Glenwood town, Alabama"
Alabama,Sweet Water town,258,"Sweet Water town, Alabama"
