SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7516 Old Harding Pike,Nashville,TN,37221,375000,3,2.0,River Plantation,2034,13939,1988,6,184,35,Active,,,http://www.redfin.com/TN/Nashville/7516-Old-Harding-Pike-37221/home/108090209,REALTRACS,2175217,N,Y,36.062685,-86.9428154
MLS Listing,,Single Family Residential,5864 Seven Points Trce,Hermitage,TN,37076,389900,4,3.0,Meadows Of Seven Points,2464,13503,2000,7,158,18,Active,,,http://www.redfin.com/TN/Hermitage/5864-Seven-Points-Trce-37076/home/60767004,REALTRACS,2174804,N,Y,36.1502761,-86.578165
MLS Listing,,Townhouse,101 Morton Mill Cir,Nashville,TN,37221,379999,4,3.5,Morton Mill Estates,3450,1306,1987,7,110,288,Active,,,http://www.redfin.com/TN/Nashville/101-Morton-Mill-Cir-37221/home/60790949,REALTRACS,2174634,N,Y,36.065512,-86.9578049
MLS Listing,,Single Family Residential,5954 Temple Rd,Nashville,TN,37221,399900,4,3.5,Trebing,2050,40075,2000,14,195,,Active,,,http://www.redfin.com/TN/Nashville/5954-Temple-Rd-37221/home/104285352,REALTRACS,2172688,N,Y,36.041489,-86.951586
MLS Listing,,Single Family Residential,3504 Lealand Ln,Nashville,TN,37204,915000,4,3.5,Obrien,3654,16988,1988,28,250,,Active,,,http://www.redfin.com/TN/Nashville/3504-Lealand-Ln-37204/home/87822376,REALTRACS,2167964,N,Y,36.1103655,-86.7870927
MLS Listing,,Single Family Residential,811 Singleton Ln,Brentwood,TN,37027,1040000,5,5.5,Stonecrest,4303,26136,2018,90,242,100,Active,,,http://www.redfin.com/TN/Brentwood/811-Singleton-Ln-37027/home/144122180,REALTRACS,2148190,N,Y,36.0033275,-86.7088887
Redfin Data,,Condo/Co-op,1400 Quail Run,Nashville,TN,37214,192900,3,2.0,Nashville,1200,,1983,1,161,235,Pre On-Market,,,http://www.redfin.com/TN/Nashville/1400-Quail-Run-37214/home/108008176,Coming Soon,60714,N,Y,36.138515,-86.637599
MLS Listing,,Single Family Residential,1953 Deep Woods Trl,Nashville,TN,37214,324000,3,2.5,Woodland Point,2260,5662,2002,1,143,35,Active,,,http://www.redfin.com/TN/Nashville/1953-Deep-Woods-Trl-37214/home/108016151,REALTRACS,2177238,N,Y,36.1222126,-86.6245652
MLS Listing,,Single Family Residential,111 Ashlawn Ct,Nashville,TN,37215,320000,2,2.0,Burton Hills Village Of As,1343,1306,1986,1,238,315,Active,,,http://www.redfin.com/TN/Nashville/111-Ashlawn-Ct-37215/home/68719384,REALTRACS,2177237,N,Y,36.092959,-86.81865
MLS Listing,,Single Family Residential,3429 Shelby Bottoms,Nashville,TN,37206,639900,4,3.5,East Greenway Park,2769,,2020,1,231,145,Active,,,http://www.redfin.com/TN/Nashville/3429-Shelby-Bottoms-Bnd-37206/home/112484586,REALTRACS,2177229,N,Y,36.184784,-86.708208
