SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,21 Grimes St,Boston,MA,02127,649999,2,2.0,South Boston,1176,825,1890,1,553,,Active,,,http://www.redfin.com/MA/Boston/21-Grimes-St-02127/home/9195612,MLS PIN,72705094,N,Y,42.3337604,-71.0518366
MLS Listing,,Condo/Co-op,16 Mystic St #2,Boston,MA,02129,620000,2,1.0,Charlestown,758,,1870,1,818,119,Active,,,http://www.redfin.com/MA/Boston/16-Mystic-St-02129/unit-2/home/79084414,MLS PIN,72704213,N,Y,42.3797169,-71.0629213
MLS Listing,,Multi-Family (2-4 Unit),15 Jess St,Boston,MA,02130,699000,5,2.0,Jamaica Plain,1785,2169,1885,3,392,,Active,,,http://www.redfin.com/MA/Boston/15-Jess-St-02130/home/9145085,MLS PIN,72703044,N,Y,42.3152015,-71.1038742
MLS Listing,,Condo/Co-op,146 Marlborough St #1,Boston,MA,02116,498000,1,1.0,Back Bay,486,486,1880,6,1025,190,Active,,,http://www.redfin.com/MA/Boston/146-Marlborough-St-02116/unit-1/home/9250275,MLS PIN,72701696,N,Y,42.3527521,-71.0781483
MLS Listing,,Condo/Co-op,1 Howard Pl Unit C,Boston,MA,02125,469000,3,1.0,Dorchester's Uphams Corner,1189,,1905,8,394,193,Active,,,http://www.redfin.com/MA/Boston/1-Howard-Pl-02125/unit-C/home/171582102,MLS PIN,72700175,N,Y,42.3197761,-71.0719246
MLS Listing,,Condo/Co-op,43 Park Vale Ave #7,Boston,MA,02134,499000,3,1.0,Allston,780,780,1910,21,640,343,Active,,,http://www.redfin.com/MA/Boston/43-Park-Vale-Ave-02134/unit-7/home/8996202,MLS PIN,72692581,N,Y,42.3523074,-71.1329914
MLS Listing,,Single Family Residential,43 Leyden St #43,Boston,MA,02128,649900,3,2.5,East Boston's Orient Heights,1397,1889,2006,22,465,441,Active,,,http://www.redfin.com/MA/Boston/43-Leyden-St-02128/unit-43/home/172266516,MLS PIN,72692274,N,Y,42.3901295,-71.0109725
MLS Listing,,Single Family Residential,9 Sherman St,Boston,MA,02119,559900,5,1.5,Roxbury,2088,2540,1905,22,268,,Active,,,http://www.redfin.com/MA/Boston/9-Sherman-St-02119/home/9292570,MLS PIN,72691932,N,Y,42.3211583,-71.083088
MLS Listing,,Condo/Co-op,180 Telford St #415,Boston,MA,02135,659000,1,1.0,Allston,719,,2018,27,917,481,Active,,,http://www.redfin.com/MA/Boston/180-Telford-St-02135/unit-415/home/171787852,MLS PIN,72688973,N,Y,42.3638661,-71.1376193
MLS Listing,,Condo/Co-op,42 8th St #4301,Boston,MA,02129,799000,2,2.0,Charlestown's Navy Yard,1149,,1899,28,695,805,Active,,,http://www.redfin.com/MA/Boston/42-8th-St-02129/unit-4301/home/9328682,MLS PIN,72688254,N,Y,42.3749988,-71.0520878
