PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Condo/Co-op,239 Old Farms Rd Unit 17D,Avon,CT,6001,79900,1,1,660,0,1967,292,http://www.redfin.com/CT/Avon/239-Old-Farms-Rd-06001/unit-17D/home/136449918,41.7944185,-72.8358537
Single Family Residential,3 Edgewood Cir #3,Avon,CT,6001,169900,2,1,1110,21780,1978,13,http://www.redfin.com/CT/Avon/3-Edgewood-Cir-06001/unit-3/home/146982463,41.8097133,-72.8495863
Single Family Residential,1 Hudson St,Bethel,CT,6801,274000,2,1,960,7840,1957,0,http://www.redfin.com/CT/Bethel/1-Hudson-St-06801/home/107281831,41.376423,-73.4297807
Condo/Co-op,26 Crocus Ln #26,Avon,CT,6001,149900,2,2,1200,0,1970,375,http://www.redfin.com/CT/Avon/26-Crocus-Ln-06001/unit-26/home/144528482,41.766841,-72.8757849
Condo/Co-op,45 Byron Dr #45,Avon,CT,6001,239900,2,2,1254,0,1978,409,http://www.redfin.com/CT/Avon/45-Byron-Dr-06001/unit-45/home/172333780,41.77596,-72.879092
Single Family Residential,39 South St,Bethel,CT,6801,185000,3,1,1022,5227,1914,0,http://www.redfin.com/CT/Bethel/39-South-St-06801/home/107282781,41.3699868,-73.4115867
Single Family Residential,55 Payne Rd,Bethel,CT,6801,320000,3,1,1056,10454,1955,0,http://www.redfin.com/CT/Bethel/55-Payne-Rd-06801/home/107279881,41.4046655,-73.4012844
Single Family Residential,23 Maplewood Ave,Bloomfield,CT,6002,50000,3,1,1206,7405,1930,0,http://www.redfin.com/CT/Bloomfield/23-Maplewood-Ave-06002/home/53944777,41.8152699,-72.6965653
Single Family Residential,32 Packard St,Bloomfield,CT,6002,199000,3,1,1008,7840,1972,0,http://www.redfin.com/CT/Bloomfield/32-Packard-St-06002/home/53945334,41.8197813,-72.6898978
Single Family Residential,70 Ellsworth Dr,Bloomfield,CT,6002,139900,3,1,984,12196,1953,0,http://www.redfin.com/CT/Bloomfield/70-Ellsworth-Dr-06002/home/53943432,41.8293768,-72.6898338
