SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Mobile/Manufactured Home,35250 SW 177th Ct,Homestead,FL,33034,130000,3,2,GATEWAY ESTATES PARK COND,1690,5770,1995,69,77,132,Active,,,http://www.redfin.com/FL/Miami/35250-SW-177-CT-Unknown/home/171205249,MARMLS,A10867173,N,Y,25.7616798,-80.1917902
MLS Listing,,Single Family Residential,1200 Brickell Bay Dr,Miami,FL,33131,438500,3,2,THE CLUB AT BRICKELL BAY,1232,,2005,49,356,850,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-2308/home/42702966,MARMLS,A10878153,N,Y,25.7618036,-80.1905887
MLS Listing,,Condo/Co-op,1200 Brickell Bay Dr #2417,Miami,FL,33131,285000,1,1,THE CLUB AT BRICKELL BAY,836,,2004,70,341,585,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-2417/home/43318944,MARMLS,A10866546,N,Y,25.7618036,-80.1905887
MLS Listing,,Condo/Co-op,1200 Brickell Bay Dr #3919,Miami,FL,33131,280000,1,1,THE CLUB AT BRICKELL BAY,825,,2005,47,339,585,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-3919/home/43304447,MARMLS,A10879321,N,Y,25.7618036,-80.1905887
MLS Listing,,Condo/Co-op,1200 Brickell Bay Dr #1704,Miami,FL,33131,289000,1,1,THE CLUB AT BRICKELL BAY,825,,2004,3,350,584,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-1704/home/43317782,MARMLS,A10903812,N,Y,25.7618036,-80.1905887
MLS Listing,,Condo/Co-op,1200 Brickell Bay Dr #3609,Miami,FL,33131,425000,2,2,THE CLUB AT BRICKELL BAY,1183,,2005,149,359,,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-3609/home/43304335,MARMLS,A10831676,N,Y,25.7618036,-80.1905887
MLS Listing,,Condo/Co-op,1200 Brickell Bay Dr #3709,Miami,FL,33131,460000,2,2,THE CLUB AT BRICKELL BAY,1183,,2005,1,389,838,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-3709/home/43320831,MARMLS,A10905429,N,Y,25.7618036,-80.1905887
MLS Listing,,Condo/Co-op,1200 Brickell Bay Dr #2007,Miami,FL,33131,450000,1,1,THE CLUB AT BRICKELL BAY,778,,2004,146,578,585,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-2007/home/43311304,MARMLS,A10833671,N,Y,25.7618036,-80.1905887
MLS Listing,,Condo/Co-op,1200 Brickell Bay Dr #3515,Miami,FL,33131,450000,2,2,Club At Brickell Bay Plaz,,,2005,43,,729,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-3515/home/43321422,MARMLS,A10875260,N,Y,25.7618036,-80.1905887
MLS Listing,,Condo/Co-op,1200 Brickell Bay Dr #1608,Miami,FL,33131,275000,1,1,THE CLUB AT BRICKELL BAY,825,,2004,44,333,584,Active,,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-1608/home/43317818,MARMLS,A10881059,N,Y,25.7618036,-80.1905887
