SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1 Bay Club Dr Unit 1R,Bayside,NY,11360,638000,2,1,The Bay Club Condo,892,,1983,1,715,742,Active,,,http://www.redfin.com/NY/Bayside/1-Bay-Club-Dr-11360/unit-1R/home/20840734,OneKey,3240176,N,Y,40.7784405,-73.7804294
MLS Listing,,Single Family Residential,28-31 215 St,Bayside,NY,11360,1299000,4,3,Bayside,,5017,1930,1,,,Active,August-9-2020 02:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/NY/Flushing/28-31-215th-St-11360/home/20836997,OneKey,3240168,N,Y,40.776973,-73.772345
MLS Listing,,Single Family Residential,53-25 210 St,Bayside,NY,11364,749000,3,1,Bayside,,2844,1940,1,,,Active,August-8-2020 12:00 PM,August-8-2020 02:00 PM,http://www.redfin.com/NY/Flushing/53-25-210th-St-11364/home/20812281,OneKey,3240051,N,Y,40.750646,-73.768576
MLS Listing,,Condo/Co-op,23-20 Bell Blvd Unit 2H,Bayside,NY,11360,448000,2,2,Bay Terrace Section 12,1200,,1963,1,373,1543,Active,August-11-2020 06:00 PM,August-11-2020 07:30 PM,http://www.redfin.com/NY/Bayside/23-20-Bell-Blvd-11360/unit-2H/home/112971337,OneKey,3240044,N,Y,40.781705,-73.7765137
MLS Listing,,Single Family Residential,81-03 252nd St,Bellerose,NY,11426,1149000,5,3,Bellerose,,5000,1950,1,,,Active,,,http://www.redfin.com/NY/Jamaica/81-03-252nd-St-11426/home/20798423,OneKey,3240266,N,Y,40.74129,-73.717369
MLS Listing,,Single Family Residential,82-51 242 St,Bellerose,NY,11426,619888,2,2,Bellerose,,4000,1950,1,,,Active,,,http://www.redfin.com/NY/Jamaica/82-51-242nd-St-11426/home/20805551,OneKey,3240127,N,Y,40.7362899,-73.72515
MLS Listing,,Single Family Residential,244-24 84th Rd,Bellerose,NY,11426,679000,4,2,Bellerose,,3563,1945,1,,,Active,August-8-2020 01:00 PM,August-8-2020 03:00 PM,http://www.redfin.com/NY/Jamaica/244-24-84th-Rd-11426/home/20798170,OneKey,3240069,N,Y,40.7334109,-73.721716
MLS Listing,,Condo/Co-op,143-20 Hoover Ave #506,Briarwood,NY,11435,529000,2,1,Briar Manor,788,10741,2009,1,671,377,Active,,,http://www.redfin.com/NY/Jamaica/14320-Hoover-Ave-11435/unit-506/home/25830650,OneKey,3240122,N,Y,40.7140261,-73.8143475
MLS Listing,,Single Family Residential,3276 Spencer Dr,Bronx,NY,10465,649000,2,2.5,Country Club,1140,3559,1925,118,569,,Active,,,http://www.redfin.com/NY/The-Bronx/3276-Spencer-Dr-10465/home/44789396,OneKey,H6025684,N,Y,40.8422593,-73.8180917
MLS Listing,,Single Family Residential,317 E 234th St,Bronx,NY,10470,549000,3,2,BRONX,1764,2500,1925,1,311,,Active,,,http://www.redfin.com/NY/The-Bronx/317-E-234th-St-10470/home/44755688,OneKey,H6060097,N,Y,40.8971869,-73.8663254
