SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,834 Lamont St NW Unit A,Washington DC,DC,20010,549900,1,1.5,COLUMBIA HEIGHTS,760,,2005,1,724,114,Active,,,http://www.redfin.com/DC/Washington/834-Lamont-St-NW-20010/unit-A/home/96689117,BRIGHT MLS,DCDC480622,N,Y,38.9306603,-77.0260819
MLS Listing,,Townhouse,4919 7th St NW,Washington DC,DC,20011,809000,4,3.5,PETWORTH,2000,1530,1927,1,405,,Active,,,http://www.redfin.com/DC/Washington/4919-7th-St-NW-20011/home/10057672,BRIGHT MLS,DCDC479542,N,Y,38.9504788,-77.0218232
MLS Listing,,Townhouse,1111 R St NW,Washington DC,DC,20009,899900,2,2,OLD CITY II,1398,497,1900,1,644,,Active,,,http://www.redfin.com/DC/Washington/1111-R-St-NW-20009/home/9875540,BRIGHT MLS,DCDC480796,N,Y,38.9127789,-77.0274908
MLS Listing,,Condo/Co-op,1423 R St NW Unit G1,Washington DC,DC,20009,369000,1,1,OLD CITY II,581,,1925,1,635,255,Active,,,http://www.redfin.com/DC/Washington/1423-R-St-NW-20009/unit-G1/home/9869940,BRIGHT MLS,DCDC480636,N,Y,38.9128892,-77.0331238
MLS Listing,,Condo/Co-op,437 New York Ave NW #222,Washington DC,DC,20001,525000,1,1,OLD CITY II,870,,2008,1,603,614,Active,,,http://www.redfin.com/DC/Washington/437-New-York-Ave-NW-20001/unit-222/home/21645108,BRIGHT MLS,DCDC479538,N,Y,38.9049478,-77.017092
MLS Listing,,Condo/Co-op,3911 Langley Ct NW Unit A559,Washington DC,DC,20016,595000,2,2.5,CLEVELAND PARK,1322,,1942,1,450,696,Active,,,http://www.redfin.com/DC/Washington/3911-Langley-Ct-NW-20016/unit-A559/home/9963442,BRIGHT MLS,DCDC479534,N,Y,38.9369921,-77.0776586
MLS Listing,,Single Family Residential,4815 47th St NW,Washington DC,DC,20016,925000,3,2,AMERICAN UNIV. PARK,1884,4000,1932,1,491,,Active,,,http://www.redfin.com/DC/Washington/4815-47th-St-NW-20016/home/9947760,BRIGHT MLS,DCDC479324,N,Y,38.9526637,-77.0923971
MLS Listing,,Townhouse,4113 Stanley St SE,Washington DC,DC,20019,340000,3,1.5,FORT DUPONT PARK,1088,2625,1947,2,313,,Active,,,http://www.redfin.com/DC/Washington/4113-Stanley-St-SE-20019/home/10137376,BRIGHT MLS,DCDC479810,N,Y,38.871597,-76.9379359
MLS Listing,,Condo/Co-op,922 24th St NW #621,Washington DC,DC,20037,444900,1,1,FOGGY BOTTOM,641,,1962,2,694,842,Active,,,http://www.redfin.com/DC/Washington/922-24th-St-NW-20037/unit-621/home/9044755,BRIGHT MLS,DCDC479522,N,Y,38.9011382,-77.0512337
MLS Listing,,Condo/Co-op,625 3rd St NE #6,Washington DC,DC,20002,825000,2,2.5,OLD CITY I,1319,,1910,2,625,407,Active,,,http://www.redfin.com/DC/Washington/625-3rd-St-NE-20002/unit-6/home/9892813,BRIGHT MLS,DCDC477306,N,Y,38.8977244,-77.0018537
MLS Listing,,Condo/Co-op,1441 Rhode Island Ave NW #205,Washington DC,DC,20005,519000,1,1,OLD CITY II,689,,2003,4,753,446,Active,,,http://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-205/home/21647954,BRIGHT MLS,DCDC479946,N,Y,38.9086412,-77.0337767
MLS Listing,,Townhouse,36 Florida Ave NW,Washington DC,DC,20001,949000,3,2.5,OLD CITY II,2364,750,1900,5,401,,Active,,,http://www.redfin.com/DC/Washington/36-Florida-Ave-NW-20002/home/9888093,BRIGHT MLS,DCDC480100,N,Y,38.91148575,-77.01111065
MLS Listing,,Condo/Co-op,901 D St NE #208,Washington DC,DC,20002,899000,2,2,OLD CITY I,1478,,1903,6,608,550,Active,,,http://www.redfin.com/DC/Washington/901-D-St-NE-20002/unit-208/home/81803517,BRIGHT MLS,DCDC480062,N,Y,38.8944368,-76.9934083
MLS Listing,,Condo/Co-op,1435 Corcoran St NW #5,Washington DC,DC,20009,595000,2,1,OLD CITY II,810,,1981,7,735,250,Active,,,http://www.redfin.com/DC/Washington/1435-Corcoran-St-NW-20009/unit-5/home/9870241,BRIGHT MLS,DCDC479580,N,Y,38.9120071,-77.032842
MLS Listing,,Condo/Co-op,1830 17th St NW #402,Washington DC,DC,20009,450000,1,1,OLD CITY II,678,,1901,7,664,349,Active,,,http://www.redfin.com/DC/Washington/1830-17th-St-NW-20009/unit-402/home/9859017,BRIGHT MLS,DCDC479376,N,Y,38.914991,-77.0386462
MLS Listing,,Condo/Co-op,1421 Columbia Rd NW #404,Washington DC,DC,20009,559000,3,2,COLUMBIA HEIGHTS,956,,1910,8,585,542,Active,,,http://www.redfin.com/DC/Washington/1421-Columbia-Rd-NW-20009/unit-404/home/10014039,BRIGHT MLS,DCDC479318,N,Y,38.9277056,-77.0335781
MLS Listing,,Condo/Co-op,1632 30th St NW #1,Washington DC,DC,20007,739900,2,2.5,GEORGETOWN,1023,,1940,14,723,413,Active,,,http://www.redfin.com/DC/Washington/1632-30th-St-NW-20007/unit-1/home/9931447,BRIGHT MLS,DCDC478696,N,Y,38.911476,-77.0594413
MLS Listing,,Condo/Co-op,800 4th St SW Unit S425,Washington DC,DC,20024,309000,0,1,R.L.A. SW,517,,1959,14,598,369,Active,,,http://www.redfin.com/DC/Washington/800-4th-St-SW-20024/unit-S425/home/12532042,BRIGHT MLS,DCDC478278,N,Y,38.8802737,-77.0167905
MLS Listing,,Townhouse,1217 10th St NW Unit A,Washington DC,DC,20001,1499000,2,2.5,OLD CITY II,2152,,1890,14,697,300,Active,,,http://www.redfin.com/DC/Washington/1217-10th-St-NW-20001/unit-A/home/12295189,BRIGHT MLS,DCDC478184,N,Y,38.9064358,-77.0258382
MLS Listing,,Condo/Co-op,3500 13th St NW #302,Washington DC,DC,20010,379000,1,1,COLUMBIA HEIGHTS,621,,1928,15,610,341,Active,,,http://www.redfin.com/DC/Washington/3500-13th-St-NW-20010/unit-302/home/11745077,BRIGHT MLS,DCDC477912,N,Y,38.932434,-77.0300677
MLS Listing,,Condo/Co-op,2920 Georgia NW #303,Washington DC,DC,20001,599900,2,2,COLUMBIA HEIGHTS,971,,2014,15,618,497,Active,,,http://www.redfin.com/DC/Washington/2920-Georgia-Ave-NW-20001/unit-303/home/76472547,BRIGHT MLS,DCDC477414,N,Y,38.9277301,-77.0234539
MLS Listing,,Single Family Residential,4108 Martin Luther King Jr Ave SW,Washington DC,DC,20032,540000,3,2,CONGRESS HEIGHTS,1040,5451,1941,18,519,,Active,,,http://www.redfin.com/DC/Washington/4108-Martin-Luther-King-Jr-Ave-SW-20032/home/10169450,BRIGHT MLS,DCDC477016,N,Y,38.8291212,-77.0121508
MLS Listing,,Condo/Co-op,2020 12th St NW Ph 12,Washington DC,DC,20009,1149000,2,2,OLD CITY II,1365,,2005,20,842,914,Active,,,http://www.redfin.com/DC/Washington/2020-12th-St-NW-20009/unit-12/home/143206848,BRIGHT MLS,DCDC477092,N,Y,38.9178211,-77.0284248
MLS Listing,,Condo/Co-op,1524 Independence Ave SE #102,Washington DC,DC,20003,500000,2,2,OLD CITY I,999,,1956,20,501,413,Active,,,http://www.redfin.com/DC/Washington/1524-Independence-Ave-SE-20003/unit-102/home/21647128,BRIGHT MLS,DCDC477148,N,Y,38.8878602,-76.982922
MLS Listing,,Condo/Co-op,1215 N St NW #4,Washington DC,DC,20005,475000,1,1,OLD CITY II,567,,1875,22,838,315,Active,,,http://www.redfin.com/DC/Washington/1215-N-St-NW-20005/unit-4/home/45397407,BRIGHT MLS,DCDC477222,N,Y,38.9074968,-77.0288523
MLS Listing,,Condo/Co-op,1225 Raum St NE #3,Washington DC,DC,20002,574900,2,2,TRINIDAD,1252,,1937,26,459,230,Active,,,http://www.redfin.com/DC/Washington/1225-Raum-St-NE-20002/unit-3/home/172574008,BRIGHT MLS,DCDC473780,N,Y,38.9084136,-76.9850302
MLS Listing,,Townhouse,547 11th St SE,Washington DC,DC,20003,980000,4,3,CAPITOL HILL,2180,1184,1900,27,450,,Active,,,http://www.redfin.com/DC/Washington/547-11th-St-SE-20003/home/9907656,BRIGHT MLS,DCDC475384,N,Y,38.8814749,-76.9917687
MLS Listing,,Condo/Co-op,420 16th St SE Unit A,Washington DC,DC,20003,424900,2,1,OLD CITY I,720,,1947,28,590,306,Active,,,http://www.redfin.com/DC/Washington/420-16th-St-SE-20003/unit-A/home/28496601,BRIGHT MLS,DCDC476610,N,Y,38.8834311,-76.9818127
MLS Listing,,Condo/Co-op,560 N St SW Unit N8906,Washington DC,DC,20024,595000,1,1.5,R.L.A. SW,984,,1966,28,605,1263,Active,,,http://www.redfin.com/DC/Washington/560-N-St-SW-20024/unit-N8906/home/143315453,BRIGHT MLS,DCDC476222,N,Y,38.8744033,-77.0193928
MLS Listing,,Condo/Co-op,920 I St NW #604,Washington DC,DC,20001,750000,1,1.5,CENTRAL,878,,2013,29,854,1048,Active,,,http://www.redfin.com/DC/Washington/920-I-St-NW-20001/unit-604/home/55187025,BRIGHT MLS,DCDC476238,N,Y,38.9003514,-77.02497
MLS Listing,,Condo/Co-op,555 Massachusetts Ave NW #408,Washington DC,DC,20001,474900,1,1,OLD CITY II,658,,2005,29,722,458,Active,,,http://www.redfin.com/DC/Washington/555-Massachusetts-Ave-NW-20001/unit-408/home/10347840,BRIGHT MLS,DCDC475628,N,Y,38.901746,-77.0192927
MLS Listing,,Condo/Co-op,1340 W St NW Unit A,Washington DC,DC,20009,1299000,2,2.5,OLD CITY II,1700,,1895,29,764,250,Active,,,http://www.redfin.com/DC/Washington/1340-W-St-NW-20009/unit-A/home/172275224,BRIGHT MLS,DCDC473996,N,Y,38.918984,-77.031297
MLS Listing,,Condo/Co-op,1333 Euclid St NW #102,Washington DC,DC,20009,549900,1,1.5,COLUMBIA HEIGHTS,832,,1954,30,661,300,Active,,,http://www.redfin.com/DC/Washington/1333-Euclid-St-NW-20009/unit-102/home/55188225,BRIGHT MLS,DCDC475126,N,Y,38.9240579,-77.0309595
MLS Listing,,Townhouse,3645 Winfield Ln NW,Washington DC,DC,20007,1790000,5,5.5,GEORGETOWN,3562,2168,1986,34,503,185,Active,,,http://www.redfin.com/DC/Washington/3645-Winfield-Ln-NW-20007/home/9932151,BRIGHT MLS,DCDC475710,N,Y,38.9120021,-77.0717026
MLS Listing,,Condo/Co-op,777 7th St NW #508,Washington DC,DC,20001,469000,1,1,CENTRAL,793,,2005,35,591,674,Active,,,http://www.redfin.com/DC/Washington/777-7th-St-NW-20001/unit-508/home/10193018,BRIGHT MLS,DCDC475168,N,Y,38.8995021,-77.0217272
MLS Listing,,Condo/Co-op,616 E St NW #403,Washington DC,DC,20004,450000,1,1,CENTRAL,682,,2004,35,660,419,Active,,,http://www.redfin.com/DC/Washington/616-E-St-NW-20004/unit-403/home/10342851,BRIGHT MLS,DCDC475150,N,Y,38.8959928,-77.0202197
MLS Listing,,Condo/Co-op,1340 W St NW Unit B,Washington DC,DC,20009,599000,1,1,OLD CITY II,750,,1895,41,799,250,Active,,,http://www.redfin.com/DC/Washington/1340-W-St-NW-20009/unit-B/home/172274692,BRIGHT MLS,DCDC474006,N,Y,38.918984,-77.031297
MLS Listing,,Condo/Co-op,801 Pennsylvania Ave NW #1125,Washington DC,DC,20004,475000,1,1,CENTRAL,601,,1990,48,790,709,Active,,,http://www.redfin.com/DC/Washington/801-Pennsylvania-Ave-NW-20004/unit-1125/home/9878451,BRIGHT MLS,DCDC473284,N,Y,38.8944313,-77.0234972
MLS Listing,,Condo/Co-op,1855 Calvert St NW #403,Washington DC,DC,20009,550000,2,1.5,MOUNT PLEASANT,925,,1915,49,595,498,Active,,,http://www.redfin.com/DC/Washington/1855-Calvert-St-NW-20009/unit-403/home/10002175,BRIGHT MLS,DCDC473268,N,Y,38.9233771,-77.0448367
MLS Listing,,Condo/Co-op,1845 Kalorama Rd NW #1,Washington DC,DC,20009,494900,1,1,KALORAMA,767,,1921,50,645,205,Active,,,http://www.redfin.com/DC/Washington/1845-Kalorama-Rd-NW-20009/unit-1/home/45474396,BRIGHT MLS,DCDC472962,N,Y,38.9199407,-77.0434198
MLS Listing,,Condo/Co-op,809 6th St NW #51,Washington DC,DC,20001,514900,2,2,CENTRAL,954,,2005,72,540,716,Active,,,http://www.redfin.com/DC/Washington/809-6th-St-NW-20001/unit-51/home/10193494,BRIGHT MLS,DCDC470078,N,Y,38.9002698,-77.0195759
MLS Listing,,Condo/Co-op,3600 Connecticut Ave NW #105,Washington DC,DC,20008,219900,0,1,CLEVELAND PARK,372,,1928,77,591,362,Active,,,http://www.redfin.com/DC/Washington/3600-Connecticut-Ave-NW-20008/unit-105/home/91621996,BRIGHT MLS,DCDC469452,N,Y,38.9370668,-77.0597294
MLS Listing,,Single Family Residential,2508 36th Pl SE,Washington DC,DC,20020,669900,3,2,HILLCREST,2256,4750,1956,87,297,,Active,,,http://www.redfin.com/DC/Washington/2508-36th-Pl-SE-20020/home/10155594,BRIGHT MLS,DCDC467310,N,Y,38.8591588,-76.9544265
MLS Listing,,Single Family Residential,140 Wilmington Pl SE,Washington DC,DC,20032,745000,4,2,CONGRESS HEIGHTS,1933,11250,1951,98,385,,Active,,,http://www.redfin.com/DC/Washington/140-Wilmington-Pl-SE-20032/home/10167429,BRIGHT MLS,DCDC466924,N,Y,38.8363039,-77.0037937
MLS Listing,,Townhouse,2829 Connecticut Ave NW #706,Washington DC,DC,20008,219900,0,1,GARFIELD,535,,1963,120,411,487,Active,,,http://www.redfin.com/DC/Washington/2829-Connecticut-Ave-NW-20008/unit-706/home/9989272,BRIGHT MLS,DCDC464914,N,Y,38.927532,-77.0536371
MLS Listing,,Condo/Co-op,922 24th St NW #103,Washington DC,DC,20037,239000,0,1,FOGGY BOTTOM,413,,1962,133,579,524,Active,,,http://www.redfin.com/DC/Washington/922-24th-St-NW-20037/unit-103/home/9044129,BRIGHT MLS,DCDC463164,N,Y,38.9011382,-77.0512337
MLS Listing,,Condo/Co-op,31 Kennedy St NW #201,Washington DC,DC,20011,335000,2,1,CHILLUM,934,,1954,156,359,343,Active,,,http://www.redfin.com/DC/Washington/31-Kennedy-St-NW-20011/unit-201/home/10345775,BRIGHT MLS,DCDC459658,N,Y,38.9568921,-77.0109467
MLS Listing,,Townhouse,725 Ingraham St NW,Washington DC,DC,20011,674900,3,2,PETWORTH,1488,2750,1923,1,454,,Active,August-9-2020 12:00 PM,August-9-2020 03:00 PM,http://www.redfin.com/DC/Washington/725-Ingraham-St-NW-20011/home/10052178,BRIGHT MLS,DCDC480894,N,Y,38.9544116,-77.023364
MLS Listing,,Condo/Co-op,910 M St NW #808,Washington DC,DC,20001,549900,1,1,OLD CITY II,780,,2006,1,705,534,Active,,,http://www.redfin.com/DC/Washington/910-M-St-NW-20001/unit-808/home/11746867,BRIGHT MLS,DCDC480764,N,Y,38.9074601,-77.02775
MLS Listing,,Townhouse,709 Jefferson St NW,Washington DC,DC,20011,615000,3,2.5,PETWORTH,1360,1781,1915,1,452,,Active,,,http://www.redfin.com/DC/Washington/709-Jefferson-St-NW-20011/home/10052225,BRIGHT MLS,DCDC480416,N,Y,38.9554826,-77.0226704
MLS Listing,,Condo/Co-op,3900 14th St NW Unit P-108,Washington DC,DC,20011,15000,99,99,COLUMBIA HEIGHTS,,,1946,1,,34,Active,,,http://www.redfin.com/DC/Washington/3900-14th-St-NW-20011/unit-P-108/home/172671501,BRIGHT MLS,DCDC481012,N,Y,38.938952,-77.0337394
MLS Listing,,Condo/Co-op,400 Massachusetts Ave NW #1118,Washington DC,DC,20001,599900,2,1,CENTRAL,950,,2004,1,631,582,Active,August-8-2020 11:00 AM,August-8-2020 01:00 PM,http://www.redfin.com/DC/Washington/400-Massachusetts-Ave-NW-20001/unit-1118/home/10343670,BRIGHT MLS,DCDC481000,N,Y,38.9000699,-77.0170276
MLS Listing,,Single Family Residential,3901 17th Pl NE,Washington DC,DC,20018,675000,3,1.5,BROOKLAND,1650,3440,1944,1,409,,Active,,,http://www.redfin.com/DC/Washington/3901-17th-Pl-NE-20018/home/10100128,BRIGHT MLS,DCDC480994,N,Y,38.9372785,-76.9805414
