SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,13321 NW 7th Ct,Yukon,OK,73099,319880,4,2.5,Yukon,2191,12837,2018,4,146,20,Active,,,http://www.redfin.com/OK/Yukon/13321-NW-7th-Ct-73099/home/109888743,MLSOK,921981,N,Y,35.4712401,-97.7678438
MLS Listing,,Single Family Residential,4504 Blackberry Run,Oklahoma City,OK,73112,415880,4,4.0,Oklahoma City,3512,15738,1994,55,118,33,Active,,,http://www.redfin.com/OK/Oklahoma-City/4504-Blackberry-Run-73112/home/78467738,MLSOK,901629,N,Y,35.5174044,-97.5807181
MLS Listing,,Single Family Residential,2508 Gerald Ct,Yukon,OK,73099,270000,4,2.5,Yukon,2007,2688,2019,97,135,35,Active,,,http://www.redfin.com/OK/Yukon/2508-Gerald-Ct-73099/home/169206756,MLSOK,909374,N,Y,35.4397658,-97.702441
MLS Listing,,Single Family Residential,7004 N Shawnee Ave,Oklahoma City,OK,73116,275000,4,3.5,Oklahoma City,3070,9601,1965,1,90,,Active,,,http://www.redfin.com/OK/Oklahoma-City/7004-N-Shawnee-Ave-73116/home/78447259,MLSOK,923047,N,Y,35.5432901,-97.588615
MLS Listing,,Single Family Residential,17613 Sparrowhawk Ln,Edmond,OK,73012,255000,3,2.0,Edmond,1968,8751,2010,1,130,33,Active,,,http://www.redfin.com/OK/Edmond/17613-Sparrowhawk-Ln-73012/home/71951987,MLSOK,923041,N,Y,35.6506358,-97.558112
MLS Listing,,Single Family Residential,15808 Rockwell Parke Ln,Edmond,OK,73013,254000,3,2.0,Edmond,1701,6948,2017,1,149,67,Active,,,http://www.redfin.com/OK/Edmond/15270-Egerton-Pl-73013/home/78543273,MLSOK,923040,N,Y,35.6303941,-97.6402771
MLS Listing,,Single Family Residential,9500 Timberland Ln,Yukon,OK,73099,186075,3,2.0,Yukon,1476,7802,2020,1,126,13,Active,,,http://www.redfin.com/OK/Yukon/9500-Timberland-Ln-73099/home/169206569,MLSOK,923042,N,Y,35.5672919,-97.7230343
MLS Listing,,Single Family Residential,9316 Buttonfield Ave,Moore,OK,73160,150000,3,2.0,Moore,1307,6098,1992,1,115,,Active,,,http://www.redfin.com/OK/Oklahoma-City/9316-Buttonfield-Ave-73160/home/71894941,MLSOK,923028,N,Y,35.373934,-97.4605544
MLS Listing,,Vacant Land,2021 Creekridge Dr,Oklahoma City,OK,73141,28000,,,Oklahoma City,,10298,,1,,,Active,,,http://www.redfin.com/OK/Oklahoma-City/2021-Creekridge-Dr-73141/home/172663510,MLSOK,922909,N,Y,35.4911663,-97.3780542
MLS Listing,,Single Family Residential,12404 SW 10th St,Yukon,OK,73099,149900,3,2.0,Yukon,1340,7131,1997,1,112,,Active,,,http://www.redfin.com/OK/Yukon/12404-SW-10th-St-73099/home/71756085,MLSOK,923025,N,Y,35.4539915,-97.7487365
MLS Listing,,Single Family Residential,522 NW 25th St,Oklahoma City,OK,73103,144900,3,1.0,Oklahoma City,1042,7301,1918,1,139,,Active,,,http://www.redfin.com/OK/Oklahoma-City/522-NW-25th-St-73103/home/71863233,MLSOK,923024,N,Y,35.495215,-97.5221437
MLS Listing,,Single Family Residential,7709 S HILLCREST Dr,Oklahoma City,OK,73159,164999,4,2.0,Oklahoma City,2156,7200,1965,1,77,,Active,August-9-2020 02:00 PM,August-9-2020 04:00 PM,http://www.redfin.com/OK/Oklahoma-City/7709-S-Hillcrest-Dr-73159/home/71858137,MLSOK,922748,N,Y,35.3890055,-97.5564614
MLS Listing,,Single Family Residential,11505 NW 114th St,Yukon,OK,73099,399574,4,3.5,Yukon,3076,11265,2004,1,130,30,Active,,,http://www.redfin.com/OK/Yukon/11505-NW-114th-St-73099/home/71838846,MLSOK,922991,N,Y,35.5856938,-97.7290037
MLS Listing,,Single Family Residential,12217 Lorien Way,Oklahoma City,OK,73170,479000,5,4.0,Oklahoma City,4009,10019,1993,1,119,25,Active,,,http://www.redfin.com/OK/Oklahoma-City/12217-Lorien-Way-73170/home/71631366,MLSOK,921944,N,Y,35.3452359,-97.559195
MLS Listing,,Single Family Residential,11008 NW 114th St,Yukon,OK,73099,169900,3,2.0,Yukon,1601,6538,1983,1,106,18,Active,,,http://www.redfin.com/OK/Yukon/11008-NW-114th-St-73099/home/78419857,MLSOK,922956,N,Y,35.5851568,-97.7194999
MLS Listing,,Single Family Residential,6417 Centennial Ct,Oklahoma City,OK,73116,799000,4,3.0,Oklahoma City,3533,9148,1980,1,226,,Active,,,http://www.redfin.com/OK/Nichols-Hills/6417-Centennial-Ct-73116/home/71615753,MLSOK,922963,N,Y,35.5377933,-97.5417758
MLS Listing,,Condo/Co-op,444 N Central Ave #107,Oklahoma City,OK,73104,265000,2,2.0,Oklahoma City,1028,,2008,1,258,212,Active,,,http://www.redfin.com/OK/Oklahoma-City/444-N-Central-Ave-73104/unit-107/home/71907581,MLSOK,922835,N,Y,35.4714522,-97.5070795
