SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,929 N Astor St Unit 2501-03,Milwaukee,WI,53202,619900,2,2.0,Milwaukee,1791,,1968,1,346,1246,Active,,,http://www.redfin.com/WI/Milwaukee/929-N-Astor-St-53202/unit-2501-03/home/172657564,METROMLS,1702414,N,Y,43.0436496,-87.8998796
MLS Listing,,Multi-Family (2-4 Unit),2540 N 64th St,Wauwatosa,WI,53213,243000,3,2.0,Wauwatosa,2001,5662,1941,19,121,,Active,,,http://www.redfin.com/WI/Wauwatosa/2540-N-64th-St-53213/home/90333704,METROMLS,1699569,N,Y,43.0653344,-87.9918321
MLS Listing,,Single Family Residential,1075 Thornridge Ct,Brookfield,WI,53045,365000,4,2.5,Hawthorne Ridge Highlands,2406,16988,1978,19,152,,Active,,,http://www.redfin.com/WI/Brookfield/1075-Thorn-Ridge-Ct-53045/home/57776583,METROMLS,1699472,N,Y,43.0453025,-88.1727951
MLS Listing,,Single Family Residential,531 Wilmette Rd,Williams Bay,WI,53191,719000,3,2.0,Cedar Point Park Assoc.,1624,5662,1969,47,443,,Active,,,http://www.redfin.com/WI/Williams-Bay/531-Wilmette-Rd-53191/home/89492815,METROMLS,1694895,N,Y,42.5770955,-88.5284127
MLS Listing,,Single Family Residential,5825 Cedar Creek Rd,Grafton,WI,53024,745000,3,3.0,Cedarburg,5000,205167,1869,55,149,,Active,,,http://www.redfin.com/WI/Grafton/5825-Cedar-Creek-Rd-53024/home/57856642,METROMLS,1693337,N,Y,43.3368715,-87.9827245
MLS Listing,,Single Family Residential,1301 53rd Ave,Kenosha,WI,53144,599999,4,3.5,Parkside Springs,5027,21780,2009,83,119,,Active,,,http://www.redfin.com/WI/Kenosha/1301-53rd-Ave-53144/home/57860682,METROMLS,1688863,N,Y,42.6372965,-87.8722752
MLS Listing,,Single Family Residential,1024 E Colfax Pl,Whitefish Bay,WI,53217,574900,4,3.0,Whitefish Bay,3417,7405,1965,90,168,,Active,,,http://www.redfin.com/WI/Whitefish-Bay/1024-E-Colfax-Pl-53217/home/57983318,METROMLS,1687866,N,Y,43.1087834,-87.8976494
MLS Listing,,Vacant Land,Lt2 Hickory Ln,Lake Geneva,WI,53147,105000,,,Geneva,,69696,,1,,,Active,,,http://www.redfin.com/WI/Lake-Geneva/Lt2-Hickory-Ln-53147/home/172664103,METROMLS,1702722,N,Y,42.610388,-88.435486
MLS Listing,,Single Family Residential,4365 E Tomahawk Ln,Janesville,WI,53546,299900,3,2.5,Harmony Hills,1630,68824,1974,1,184,,Active,,,http://www.redfin.com/WI/Janesville/4365-Tomahawk-Ln-53546/home/89829337,SCWMLS,1890173,N,Y,42.7477194,-88.9580871
MLS Listing,,Single Family Residential,10411 W Jonen,Milwaukee,WI,53224,136000,3,1.5,Milwaukee,1104,7405,1995,1,123,,Active,,,http://www.redfin.com/WI/Milwaukee/10411-W-Jonen-St-53224/home/57870324,METROMLS,1702717,N,Y,43.1359041,-88.0417819
