SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,706 N Adams St,Nevada,MO,64772,54900,2,1.0,,1037,,1900,1,53,,Active,,,http://www.redfin.com/MO/Nevada/706-N-Adams-St-64772/home/79942758,Heartland MLS,2234611,N,Y,37.8447159,-94.3599828
MLS Listing,,Single Family Residential,501 E Vernon St,Nevada,MO,64772,49900,3,1.0,,1170,,1900,1,43,,Active,,,http://www.redfin.com/MO/Nevada/501-E-Vernon-St-64772/home/79942556,Heartland MLS,2234610,N,Y,37.8455696,-94.3506724
MLS Listing,,Single Family Residential,14857 E Quarter Master Rd,Nevada,MO,64772,134900,2,2.0,,1224,,1998,1,110,,Active,,,http://www.redfin.com/MO/Nevada/14857-E-Quarter-Master-Rd-64772/home/79949561,Heartland MLS,2232688,N,Y,37.7960978,-94.3690829
MLS Listing,,Single Family Residential,17140 S 1269 Rd,Nevada,MO,64772,197900,3,2.0,Drywood Crest,1871,65340,1996,1,106,50,Active,,,http://www.redfin.com/MO/Nevada/Unknown-64772/home/79941986,Heartland MLS,2234368,N,Y,37.834965,-94.407766
MLS Listing,,Single Family Residential,1507 W Allison St,Nevada,MO,64772,91500,3,2.0,,1638,,,3,56,,Active,,,http://www.redfin.com/MO/Nevada/1507-W-Allison-St-64772/home/79946071,Heartland MLS,2234277,N,Y,37.8417112,-94.3766888
MLS Listing,,Single Family Residential,1327 W Maple St,Nevada,MO,64772,81000,3,1.0,,2170,32670,,6,37,,Active,,,http://www.redfin.com/MO/Nevada/1327-W-Maple-St-64772/home/79949002,Heartland MLS,2233606,N,Y,37.8343456,-94.3734713
MLS Listing,,Single Family Residential,823 N Washington St,Nevada,MO,64772,260000,5,2.5,,5400,41382,1890,7,48,,Active,,,http://www.redfin.com/MO/Nevada/823-N-Washington-St-64772/home/79942831,Heartland MLS,2233460,N,Y,37.8457522,-94.3549388
MLS Listing,,Single Family Residential,501 N Tower St,Nevada,MO,64772,32500,2,2.0,,1292,14374,1905,11,25,,Active,,,http://www.redfin.com/MO/Nevada/501-N-Tower-St-64772/home/79948411,Heartland MLS,2232849,N,Y,37.8428792,-94.3729232
MLS Listing,,Vacant Land,25670 S 1425 Rd,Nevada,MO,64772,285000,,,,,5183640,,11,,,Active,,,http://www.redfin.com/MO/Nevada/25670-S-1425-Rd-64772/home/79947033,Heartland MLS,2232780,N,Y,37.795062,-94.380347
MLS Listing,,Single Family Residential,16222 E Panama Rd,Nevada,MO,64772,256900,4,3.0,,2608,130680,2015,14,99,,Active,,,http://www.redfin.com/MO/Nevada/16222-E-Panama-Rd-64772/home/109462661,Heartland MLS,2232098,N,Y,37.82133,-94.3426542
MLS Listing,,Single Family Residential,419 W Cherry St,Nevada,MO,64772,81500,2,1.0,,1224,,1880,19,67,,Active,,,http://www.redfin.com/MO/Nevada/419-W-Cherry-St-64772/home/79943582,Heartland MLS,2231223,N,Y,37.8380963,-94.3614308
MLS Listing,,Single Family Residential,931 N Commercial St,Nevada,MO,64772,126500,2,1.0,,1134,,2020,20,112,,Active,,,http://www.redfin.com/MO/Nevada/931-N-Commercial-St-64772/home/79941997,Heartland MLS,2230967,N,Y,37.8467942,-94.3497385
MLS Listing,,Single Family Residential,921 Commercial St,Nevada,MO,64772,126500,2,1.0,,1134,,2020,20,112,,Active,,,http://www.redfin.com/MO/Nevada/921-N-Commercial-St-64772/home/172501590,Heartland MLS,2230965,N,Y,37.8466693,-94.3498118
MLS Listing,,Single Family Residential,20742 S 1600 Rd,Nevada,MO,64772,262500,2,1.5,,2436,1550736,1975,22,108,,Active,,,http://www.redfin.com/MO/Nevada/20742-S-1600-Rd-64772/home/79937185,Heartland MLS,2230661,N,Y,37.7822479,-94.348692
MLS Listing,,Single Family Residential,19205 E Overland Rd,Nevada,MO,64772,248900,3,2.0,,1485,914760,2017,25,168,,Active,,,http://www.redfin.com/MO/Nevada/19205-E-Overland-Rd-64772/home/79946453,Heartland MLS,230867,N,Y,37.8292012,-94.2863951
MLS Listing,,Single Family Residential,12657 E Oliver Pass N/A,Nevada,MO,64772,214900,4,2.0,Drywood Crest,2204,142876,1997,35,98,50,Active,,,http://www.redfin.com/MO/Nevada/12657-E-Oliver-Pass-64772/home/79941946,Heartland MLS,2228576,N,Y,37.8372692,-94.4083004
MLS Listing,,Single Family Residential,18860 S 1485 Rd,Nevada,MO,64772,299900,4,2.5,,2400,33541,1992,35,125,,Active,,,http://www.redfin.com/MO/Nevada/18860-S-1485-Rd-64772/home/79949445,Heartland MLS,2228483,N,Y,37.8101947,-94.3701118
