,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,21 Grimes St,Boston,MA,2127,649999,2,2,1176,825,1890,0,http://www.redfin.com/MA/Boston/21-Grimes-St-02127/home/9195612,42.3337604,-71.0518366
1,Condo/Co-op,16 Mystic St #2,Boston,MA,2129,620000,2,1,758,0,1870,119,http://www.redfin.com/MA/Boston/16-Mystic-St-02129/unit-2/home/79084414,42.3797169,-71.0629213
2,Multi-Family (2-4 Unit),15 Jess St,Boston,MA,2130,699000,5,2,1785,2169,1885,0,http://www.redfin.com/MA/Boston/15-Jess-St-02130/home/9145085,42.3152015,-71.1038742
3,Condo/Co-op,146 Marlborough St #1,Boston,MA,2116,498000,1,1,486,486,1880,190,http://www.redfin.com/MA/Boston/146-Marlborough-St-02116/unit-1/home/9250275,42.3527521,-71.0781483
4,Condo/Co-op,1 Howard Pl Unit C,Boston,MA,2125,469000,3,1,1189,0,1905,193,http://www.redfin.com/MA/Boston/1-Howard-Pl-02125/unit-C/home/171582102,42.3197761,-71.0719246
5,Condo/Co-op,43 Park Vale Ave #7,Boston,MA,2134,499000,3,1,780,780,1910,343,http://www.redfin.com/MA/Boston/43-Park-Vale-Ave-02134/unit-7/home/8996202,42.3523074,-71.1329914
6,Single Family Residential,43 Leyden St #43,Boston,MA,2128,649900,3,2.5,1397,1889,2006,441,http://www.redfin.com/MA/Boston/43-Leyden-St-02128/unit-43/home/172266516,42.3901295,-71.0109725
7,Single Family Residential,9 Sherman St,Boston,MA,2119,559900,5,1.5,2088,2540,1905,0,http://www.redfin.com/MA/Boston/9-Sherman-St-02119/home/9292570,42.3211583,-71.083088
8,Condo/Co-op,180 Telford St #415,Boston,MA,2135,659000,1,1,719,0,2018,481,http://www.redfin.com/MA/Boston/180-Telford-St-02135/unit-415/home/171787852,42.3638661,-71.1376193
9,Condo/Co-op,42 8th St #4301,Boston,MA,2129,799000,2,2,1149,0,1899,805,http://www.redfin.com/MA/Boston/42-8th-St-02129/unit-4301/home/9328682,42.3749988,-71.0520878
10,Condo/Co-op,603 E 6Th St #1,Boston,MA,2127,1199000,3,2.5,2018,0,1900,320,http://www.redfin.com/MA/Boston/603-E-6th-St-02127/unit-1/home/81971909,42.332858,-71.0362643
11,Condo/Co-op,944 Dorchester Ave #10,Boston,MA,2125,610000,2,1,1238,1238,1910,617,http://www.redfin.com/MA/Boston/944-Dorchester-Ave-02125/unit-10/home/39913645,42.3185087,-71.0560755
12,Condo/Co-op,1 Avery St Unit 14A,Boston,MA,2111,1474000,2,2.5,1488,1488,2000,2071,http://www.redfin.com/MA/Boston/1-Avery-St-02111/unit-14A/home/11511027,42.3533168,-71.0628507
13,Condo/Co-op,99 Tremont St #213,Boston,MA,2135,749000,2,2,1091,0,2017,462,http://www.redfin.com/MA/Boston/99-Tremont-St-02135/unit-213/home/144759630,42.351377,-71.1723764
14,Condo/Co-op,88 Kingston St Unit 1D,Boston,MA,2111,689000,1,1,816,816,1899,409,http://www.redfin.com/MA/Boston/88-Kingston-St-02111/unit-1D/home/12310497,42.3526558,-71.0592399
15,Condo/Co-op,16 Leverett Ave #10,Boston,MA,2128,409000,2,1.5,1014,1014,1982,416,http://www.redfin.com/MA/Boston/16-Leverett-Ave-02128/unit-10/home/9108544,42.38943216,-70.99586248
16,Condo/Co-op,21 Father Francis Gilday St #301,Boston,MA,2118,949900,2,1.5,971,971,1858,773,http://www.redfin.com/MA/Boston/21-Father-Francis-Gilday-St-02118/unit-301/home/17393101,42.3371558,-71.0732041
17,Condo/Co-op,463 Commonwealth Ave #6,Boston,MA,2215,645000,1,1,668,668,1900,219,http://www.redfin.com/MA/Boston/463-Commonwealth-Ave-02215/unit-6/home/9240247,42.3494022,-71.0931228
18,Condo/Co-op,126 Jersey St #402,Boston,MA,2215,729900,1,1,624,624,2007,357,http://www.redfin.com/MA/Boston/126-Jersey-St-02215/unit-402/home/18983038,42.3425746,-71.0965461
19,Condo/Co-op,109 N St #1,Boston,MA,2127,425000,1,1,480,480,1920,140,http://www.redfin.com/MA/Boston/109-N-St-02127/unit-1/home/11511722,42.3344853,-71.0314719
20,Condo/Co-op,181 Warren Ave #1,Boston,MA,2116,1290000,2,2,1112,1112,1899,368,http://www.redfin.com/MA/Boston/181-Warren-Ave-02116/unit-1/home/9325859,42.3439271,-71.0766076
21,Condo/Co-op,407 Washington St #2,Boston,MA,2124,350000,2,1,907,0,1900,294,http://www.redfin.com/MA/Boston/407-Washington-St-02124/unit-2/home/9305738,42.29734,-71.0728171
22,Condo/Co-op,407 W 1st #202,Boston,MA,2127,1225000,2,2,1663,0,2014,422,http://www.redfin.com/MA/Boston/407-W-First-St-02127/unit-202/home/55120426,42.3373474,-71.0437053
23,Condo/Co-op,18 Chelsea St #2,Boston,MA,2128,529999,2,2,757,0,1900,330,http://www.redfin.com/MA/Boston/18-Chelsea-St-02128/unit-2/home/124544953,42.3705787,-71.0382936
24,Condo/Co-op,533 E Second #102,Boston,MA,2127,925000,2,2,1060,0,2020,0,http://www.redfin.com/MA/Boston/533-E-2nd-St-02127/unit-102/home/172671660,42.337013,-71.041996
25,Condo/Co-op,108 Peterborough St Unit PHN,Boston,MA,2215,949000,2,1.5,836,0,1990,454,http://www.redfin.com/MA/Boston/108-Peterborough-St-02215/unit-PHN/home/12441472,42.3427617,-71.0999457
26,Condo/Co-op,11 Park Dr #17,Boston,MA,2215,649000,2,1,680,0,1920,319,http://www.redfin.com/MA/Boston/11-Park-Dr-02215/unit-17/home/9273493,42.3446127,-71.0952214
27,Condo/Co-op,99-105 Broad St Unit 4B,Boston,MA,2110,715000,1,1,702,702,1910,540,http://www.redfin.com/MA/Boston/99-Broad-St-02110/unit-4B/home/12379260,42.357323,-71.05262
28,Multi-Family (2-4 Unit),18 Arbroth St,Boston,MA,2122,799000,5,2,2328,3600,1929,0,http://www.redfin.com/MA/Dorchester/18-Arbroth-St-02122/home/9094528,42.2906859,-71.0519357
29,Multi-Family (2-4 Unit),30 Hewlett St,Boston,MA,2131,1375000,8,3,3780,5908,1910,0,http://www.redfin.com/MA/Roslindale/30-Hewlett-St-02131/home/9170379,42.2897862,-71.1351734
30,Condo/Co-op,1 Dalton St #2905,Boston,MA,2119,8475000,4,3.5,3124,0,2019,3490,http://www.redfin.com/MA/Boston/1-Dalton-St-02199/unit-2905/home/172671321,42.345,-71.084314
31,Condo/Co-op,135 Seaport Blvd #820,Boston,MA,2210,1994000,2,2.5,1424,0,2020,1805,http://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-820/home/172671273,42.3509604,-71.0439013
32,Condo/Co-op,66 Mora St #3,Boston,MA,2124,485000,3,1,1350,4425,1905,221,http://www.redfin.com/MA/Boston/66-Mora-St-02124/unit-3/home/113710393,42.2818817,-71.0739422
33,Condo/Co-op,135 Seaport Blvd #906,Boston,MA,2210,1497400,2,2,1024,0,2019,1019,http://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-906/home/168965266,42.3509604,-71.0439013
34,Condo/Co-op,100 Fulton St Unit 2M,Boston,MA,2109,685000,1,1,664,664,1890,585,http://www.redfin.com/MA/Boston/100-Fulton-St-02109/unit-2M/home/9231173,42.362617,-71.053035
35,Condo/Co-op,40 Traveler St #510,Boston,MA,2118,2300000,2,2.5,1571,0,2018,1382,http://www.redfin.com/MA/Boston/40-Traveler-St-02118/unit-510/home/92078684,42.3442232,-71.0623254
36,Single Family Residential,31 Plainfield St #1,Boston,MA,2130,749000,2,2.5,1984,4000,1890,0,http://www.redfin.com/MA/Jamaica-Plain/31-Plainfield-St-02130/unit-1/home/144277854,42.3034434,-71.1073211
37,Condo/Co-op,65 Lewis St #316,Boston,MA,2128,665000,1,1,787,0,2019,485,http://www.redfin.com/MA/Boston/65-Lewis-St-02128/unit-316/home/168998147,42.367142,-71.041588
38,Single Family Residential,541 Lagrange St,Boston,MA,2132,679000,4,2,1654,5100,1915,0,http://www.redfin.com/MA/West-Roxbury/541-Lagrange-St-02132/home/9211094,42.284764,-71.1622811
39,Condo/Co-op,36 Myrtle St #3,Boston,MA,2114,689000,2,1,657,0,1900,315,http://www.redfin.com/MA/Boston/36-Myrtle-St-02114/unit-3/home/9257849,42.359193,-71.0658458
40,Condo/Co-op,45 Vinton St #3,Boston,MA,2127,745000,2,2,1207,1207,2008,371,http://www.redfin.com/MA/Boston/45-Vinton-St-02127/unit-3/home/18322064,42.329698,-71.0531063
41,Condo/Co-op,73 Mt. Ida Rd #3,Boston,MA,2122,549900,3,1,1067,0,1920,175,http://www.redfin.com/MA/Dorchester/73-Mt-Ida-Rd-02122/unit-3/home/143937037,42.3046199,-71.0643319
42,Condo/Co-op,9 Wales St #1,Boston,MA,2124,515000,3,2,1500,6921,1905,175,http://www.redfin.com/MA/Boston/9-Wales-St-02124/unit-1/home/172669551,42.2980353,-71.0860592
43,Condo/Co-op,1784 Columbia Rd #1,Boston,MA,1227,1799000,3,1.5,1750,7543,1962,0,http://www.redfin.com/MA/Boston/1784-Columbia-Rd-02127/unit-1/home/172669517,42.3317716,-71.0297887
44,Townhouse,25 Harrison St Unit F,Boston,MA,2131,419000,3,2.5,1729,1742,1989,346,http://www.redfin.com/MA/Boston/25-Harrison-St-02131/unit-F/home/9166500,42.287925,-71.120094
45,Condo/Co-op,204 W Brookline St #4,Boston,MA,2118,899000,2,1,822,822,1900,231,http://www.redfin.com/MA/Boston/204-W-Brookline-St-02118/unit-4/home/9301336,42.3434166,-71.0768976
46,Multi-Family (2-4 Unit),132 High St,Boston,MA,2129,1289000,4,3,2600,1750,1989,0,http://www.redfin.com/MA/Charlestown/132-High-St-02129/home/9046815,42.3785283,-71.0666881
47,Townhouse,51 Pier 7 #51,Boston,MA,2129,1349000,2,2.5,1825,0,1987,1431,http://www.redfin.com/MA/Boston/51-9th-St-02129/unit-51/home/39996502,42.3760539,-71.0523564
48,Single Family Residential,324 Pond St,Boston,MA,2130,1350000,4,3,3068,9059,1954,0,http://www.redfin.com/MA/Jamaica-Plain/324-Pond-St-02130/home/9328124,42.3111429,-71.1285354
49,Condo/Co-op,12 Bellvista Rd #6,Boston,MA,2135,549900,2,1,802,802,1900,437,http://www.redfin.com/MA/Boston/12-Bellvista-Rd-02135/unit-6/home/9223545,42.3465307,-71.1379467
50,Condo/Co-op,234 Paris St #1,Boston,MA,2128,540000,2,2,813,0,2017,220,http://www.redfin.com/MA/Boston/234-Paris-St-02128/unit-1/home/129803219,42.3751582,-71.0344277
51,Condo/Co-op,172-178 Green St #13,Boston,MA,2130,699900,2,1,1279,1306,1890,351,http://www.redfin.com/MA/Boston/172-Green-St-02130/unit-13/home/9299973,42.310264,-71.1057154
52,Condo/Co-op,92-94 Walnut St #4,Boston,MA,2122,525000,2,1,812,0,1900,208,http://www.redfin.com/MA/Boston/92-Walnut-St-02122/unit-4/home/9326325,42.2879004,-71.0402709
53,Condo/Co-op,280 Beacon St #5,Boston,MA,2116,1100000,1,1,964,964,1930,738,http://www.redfin.com/MA/Boston/280-Beacon-St-02116/unit-5/home/9248281,42.3533964,-71.0812001
54,Single Family Residential,12 March Ave,Boston,MA,2132,899900,5,2,2890,7000,1790,0,http://www.redfin.com/MA/West-Roxbury/12-March-Ave-02132/home/9209527,42.2837234,-71.1546224
55,Condo/Co-op,770 E 3rd St #3,Boston,MA,2127,979000,2,2,1274,0,2010,391,http://www.redfin.com/MA/Boston/770-E-3rd-St-02127/unit-3/home/40352599,42.3367302,-71.0289407
56,Condo/Co-op,63 Maverick Sq #11,Boston,MA,2128,734999,2,1,1471,1471,1930,548,http://www.redfin.com/MA/Boston/63-Maverick-Sq-02128/unit-11/home/9112451,42.3695199,-71.0385249
57,Townhouse,62-64 Wrentham St #3,Boston,MA,2124,559000,4,2,1482,0,1910,240,http://www.redfin.com/MA/Boston/62-Wrentham-St-02124/unit-3/home/11838321,42.2884672,-71.0603135
58,Condo/Co-op,78 Train St #2,Boston,MA,2122,525000,3,1,1177,0,1905,280,http://www.redfin.com/MA/Boston/78-Train-St-02122/unit-2/home/9305552,42.2931729,-71.0541364
59,Single Family Residential,14 Sanford St,Boston,MA,2136,585000,3,1.5,1650,4960,1970,0,http://www.redfin.com/MA/Hyde-Park/14-Sanford-St-02136/home/11835639,42.2422783,-71.1409409
60,Multi-Family (2-4 Unit),66 Montcalm Ave,Boston,MA,2135,999900,5,3,2478,2584,1900,0,http://www.redfin.com/MA/Brighton/66-Montcalm-Ave-02135/home/9015378,42.3531027,-71.1485418
61,Townhouse,126 Florence St #126,Boston,MA,2131,799000,3,2.5,2000,0,2008,200,http://www.redfin.com/MA/Boston/126-Florence-St-02131/unit-126/home/28857451,42.2870173,-71.1238066
62,Condo/Co-op,188 Brookline Ave Unit 23D,Boston,MA,2215,1299000,1,1,762,0,2018,865,http://www.redfin.com/MA/Boston/188-Brookline-Ave-02215/unit-23D/home/171787704,42.3437734,-71.1017218
63,Condo/Co-op,370 Chestnut Hill Ave #5,Boston,MA,2135,429000,2,1,770,0,1950,579,http://www.redfin.com/MA/Boston/370-Chestnut-Hill-Ave-02135/unit-5/home/9308487,42.3366018,-71.1509181
64,Condo/Co-op,463 Rutherford Ave #402,Boston,MA,2129,689000,2,2,850,0,2015,499,http://www.redfin.com/MA/Boston/463-Rutherford-Ave-02129/unit-402/home/146212801,42.3808565,-71.0713251
65,Condo/Co-op,605 Massachusetts Ave #7,Boston,MA,2118,469900,1,1,415,378,1900,293,http://www.redfin.com/MA/Boston/605-Massachusetts-Ave-02118/unit-7/home/9287417,42.3370628,-71.0780854
66,Multi-Family (2-4 Unit),5-A Lorenzo St,Boston,MA,2122,599999,4,2,1782,3042,1905,0,http://www.redfin.com/MA/Dorchester/5A-Lorenzo-St-02122/home/132314565,42.287053,-71.041914
67,Condo/Co-op,280 W 5Th St #101,Boston,MA,2127,1249000,2,2.5,1624,0,2017,295,http://www.redfin.com/MA/Boston/280-W-Fifth-St-02127/unit-101/home/141860342,42.3350973,-71.0483935
68,Condo/Co-op,357 Commercial St #210,Boston,MA,2109,1000000,2,1.5,905,0,1900,535,http://www.redfin.com/MA/Boston/357-Commercial-St-02109/unit-210/home/9230233,42.3661069,-71.0505699
69,Multi-Family (2-4 Unit),48 Pearl St,Boston,MA,2129,1398000,3,3,3030,1433,1870,0,http://www.redfin.com/MA/Charlestown/48-Pearl-St-02129/home/9060449,42.379355,-71.0639257
70,Condo/Co-op,100 Lovejoy Wharf Ph 3B,Boston,MA,2114,1688000,2,2,1275,0,2017,1770,http://www.redfin.com/MA/Boston/100-Lovejoy-Wharf-02114/unit-3B/home/146992744,42.3670218,-71.0600856
71,Multi-Family (2-4 Unit),60 Lithgow St,Boston,MA,2124,850000,9,3,4410,5392,1905,0,http://www.redfin.com/MA/Dorchester-Center/60-Lithgow-St-02124/home/9068714,42.2907089,-71.0679532
72,Condo/Co-op,100 Saint Marys St #5,Boston,MA,2215,599000,2,1,652,5756,1880,479,http://www.redfin.com/MA/Boston/100-St-Marys-St-02215/unit-5/home/9251185,42.3465444,-71.1067982
73,Condo/Co-op,2 Harvard Pl #2,Boston,MA,2129,529000,1,1,500,0,1900,225,http://www.redfin.com/MA/Boston/2-Harvard-Pl-02129/unit-2/home/113226939,42.3723388,-71.0633492
74,Condo/Co-op,1625 Commonwealth Ave #1,Boston,MA,2135,360000,1,1,471,471,1930,325,http://www.redfin.com/MA/Boston/1625-Commonwealth-Ave-02135/unit-1/home/9002414,42.3428162,-71.1449067
75,Townhouse,77 Mount Vernon St Unit B,Somerville,MA,2145,639900,2,2,942,1403,1988,281,http://www.redfin.com/MA/Somerville/77-Mt-Vernon-St-02145/unit-B/home/8748445,42.382996,-71.081598
76,Condo/Co-op,151 Tremont St Unit 16C,Boston,MA,2111,625000,1,1,735,735,1968,460,http://www.redfin.com/MA/Boston/151-Tremont-St-02111/unit-16C/home/9279685,42.3544996,-71.0633802
77,Single Family Residential,108 Waldemar Ave,Boston,MA,2128,379000,3,1,1100,3864,1952,0,http://www.redfin.com/MA/Boston/108-Waldemar-Ave-02128/home/9109147,42.3920554,-71.0030437
78,Condo/Co-op,150 Orleans St #206,Boston,MA,2128,639900,1,1,948,948,1920,575,http://www.redfin.com/MA/Boston/150-Orleans-St-02128/unit-206/home/9107399,42.3702907,-71.0362555
79,Condo/Co-op,465-469 Hanover St Unit 5R,Boston,MA,2113,499900,1,1,445,445,1899,206,http://www.redfin.com/MA/Boston/465-Hanover-St-02113/unit-5R/home/21639926,42.3667607,-71.0524344
80,Multi-Family (2-4 Unit),202 South St,Boston,MA,2130,1200000,8,3,3628,4041,1905,0,http://www.redfin.com/MA/Jamaica-Plain/202-South-St-02130/home/9150111,42.3032331,-71.1143772
81,Condo/Co-op,130 Hyde Park Ave,Boston,MA,2130,699000,3,2,1720,0,1885,300,http://www.redfin.com/MA/Boston/130-Hyde-Park-Ave-02130/home/9151607,42.2965552,-71.1155377
82,Condo/Co-op,59 Congreve St #1,Boston,MA,2131,575000,2,1,1443,0,1910,200,http://www.redfin.com/MA/Boston/59-Congreve-St-02131/unit-1/home/104491023,42.2898315,-71.1385552
83,Townhouse,319 Grove St #319,Boston,MA,2132,449000,2,1.5,1206,1206,1983,371,http://www.redfin.com/MA/West-Roxbury/319-Grove-St-02132/unit-319/home/172664179,42.2589607,-71.1568942
84,Condo/Co-op,34 E Newton #1,Boston,MA,2118,489000,1,1,380,0,1900,239,http://www.redfin.com/MA/Boston/34-E-Newton-St-02118/unit-1/home/9285026,42.3379877,-71.0723858
85,Condo/Co-op,147 Trenton St #2,Boston,MA,2128,499000,3,1,1007,1007,1880,160,http://www.redfin.com/MA/Boston/147-Trenton-St-02128/unit-2/home/18974362,42.3796922,-71.0336144
86,Single Family Residential,65 Oak Square Ave,Boston,MA,2135,759000,4,1.5,1984,3224,1900,0,http://www.redfin.com/MA/Brighton/65-Oak-Square-Ave-02135/home/9035150,42.351966,-71.1634879
