,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,21 Grimes St,Boston,MA,2127.0,649999.0,2.0,2.0,1176.0,825.0,1890,0.0,http://www.redfin.com/MA/Boston/21-Grimes-St-02127/home/9195612,42.3337604,-71.05183659999999
1,Condo/Co-op,16 Mystic St #2,Boston,MA,2129.0,620000.0,2.0,1.0,758.0,0.0,1870,119.0,http://www.redfin.com/MA/Boston/16-Mystic-St-02129/unit-2/home/79084414,42.3797169,-71.0629213
2,Condo/Co-op,146 Marlborough St #1,Boston,MA,2116.0,498000.0,1.0,1.0,486.0,486.0,1880,190.0,http://www.redfin.com/MA/Boston/146-Marlborough-St-02116/unit-1/home/9250275,42.3527521,-71.0781483
3,Condo/Co-op,1 Howard Pl Unit C,Boston,MA,2125.0,469000.0,3.0,1.0,1189.0,0.0,1905,193.0,http://www.redfin.com/MA/Boston/1-Howard-Pl-02125/unit-C/home/171582102,42.3197761,-71.07192459999997
4,Condo/Co-op,43 Park Vale Ave #7,Boston,MA,2134.0,499000.0,3.0,1.0,780.0,780.0,1910,343.0,http://www.redfin.com/MA/Boston/43-Park-Vale-Ave-02134/unit-7/home/8996202,42.3523074,-71.13299140000002
5,Single Family Residential,43 Leyden St #43,Boston,MA,2128.0,649900.0,3.0,2.5,1397.0,1889.0,2006,441.0,http://www.redfin.com/MA/Boston/43-Leyden-St-02128/unit-43/home/172266516,42.3901295,-71.0109725
6,Single Family Residential,9 Sherman St,Boston,MA,2119.0,559900.0,5.0,1.5,2088.0,2540.0,1905,0.0,http://www.redfin.com/MA/Boston/9-Sherman-St-02119/home/9292570,42.3211583,-71.083088
7,Condo/Co-op,180 Telford St #415,Boston,MA,2135.0,659000.0,1.0,1.0,719.0,0.0,2018,481.0,http://www.redfin.com/MA/Boston/180-Telford-St-02135/unit-415/home/171787852,42.3638661,-71.1376193
8,Condo/Co-op,42 8th St #4301,Boston,MA,2129.0,799000.0,2.0,2.0,1149.0,0.0,1899,805.0,http://www.redfin.com/MA/Boston/42-8th-St-02129/unit-4301/home/9328682,42.37499879999999,-71.05208780000002
9,Condo/Co-op,603 E 6Th St #1,Boston,MA,2127.0,1199000.0,3.0,2.5,2018.0,0.0,1900,320.0,http://www.redfin.com/MA/Boston/603-E-6th-St-02127/unit-1/home/81971909,42.332858,-71.0362643
10,Condo/Co-op,944 Dorchester Ave #10,Boston,MA,2125.0,610000.0,2.0,1.0,1238.0,1238.0,1910,617.0,http://www.redfin.com/MA/Boston/944-Dorchester-Ave-02125/unit-10/home/39913645,42.3185087,-71.0560755
11,Condo/Co-op,1 Avery St Unit 14A,Boston,MA,2111.0,1474000.0,2.0,2.5,1488.0,1488.0,2000,2071.0,http://www.redfin.com/MA/Boston/1-Avery-St-02111/unit-14A/home/11511027,42.3533168,-71.0628507
