,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Condo/Co-op,929 N Astor St Unit 2501-03,Milwaukee,WI,53202,619900,2.0,2.0,1791.0,0.0,1968.0,1246.0,http://www.redfin.com/WI/Milwaukee/929-N-Astor-St-53202/unit-2501-03/home/172657564,43.0436496,-87.89987959999998
1,Multi-Family (2-4 Unit),2540 N 64th St,Wauwatosa,WI,53213,243000,3.0,2.0,2001.0,5662.0,1941.0,0.0,http://www.redfin.com/WI/Wauwatosa/2540-N-64th-St-53213/home/90333704,43.0653344,-87.9918321
2,Single Family Residential,1075 Thornridge Ct,Brookfield,WI,53045,365000,4.0,2.5,2406.0,16988.0,1978.0,0.0,http://www.redfin.com/WI/Brookfield/1075-Thorn-Ridge-Ct-53045/home/57776583,43.04530250000001,-88.17279509999999
3,Single Family Residential,531 Wilmette Rd,Williams Bay,WI,53191,719000,3.0,2.0,1624.0,5662.0,1969.0,0.0,http://www.redfin.com/WI/Williams-Bay/531-Wilmette-Rd-53191/home/89492815,42.5770955,-88.5284127
4,Single Family Residential,5825 Cedar Creek Rd,Grafton,WI,53024,745000,3.0,3.0,5000.0,205167.0,1869.0,0.0,http://www.redfin.com/WI/Grafton/5825-Cedar-Creek-Rd-53024/home/57856642,43.3368715,-87.9827245
5,Single Family Residential,1301 53rd Ave,Kenosha,WI,53144,599999,4.0,3.5,5027.0,21780.0,2009.0,0.0,http://www.redfin.com/WI/Kenosha/1301-53rd-Ave-53144/home/57860682,42.63729650000001,-87.8722752
6,Single Family Residential,1024 E Colfax Pl,Whitefish Bay,WI,53217,574900,4.0,3.0,3417.0,7405.0,1965.0,0.0,http://www.redfin.com/WI/Whitefish-Bay/1024-E-Colfax-Pl-53217/home/57983318,43.1087834,-87.8976494
7,Vacant Land,Lt2 Hickory Ln,Lake Geneva,WI,53147,105000,0.0,0.0,0.0,69696.0,unknown,0.0,http://www.redfin.com/WI/Lake-Geneva/Lt2-Hickory-Ln-53147/home/172664103,42.610388,-88.435486
8,Single Family Residential,4365 E Tomahawk Ln,Janesville,WI,53546,299900,3.0,2.5,1630.0,68824.0,1974.0,0.0,http://www.redfin.com/WI/Janesville/4365-Tomahawk-Ln-53546/home/89829337,42.7477194,-88.95808709999999
9,Single Family Residential,10411 W Jonen,Milwaukee,WI,53224,136000,3.0,1.5,1104.0,7405.0,1995.0,0.0,http://www.redfin.com/WI/Milwaukee/10411-W-Jonen-St-53224/home/57870324,43.13590410000001,-88.0417819
10,Single Family Residential,14300 W Redwood Dr,New Berlin,WI,53151,309900,3.0,1.5,1144.0,10890.0,1972.0,0.0,http://www.redfin.com/WI/New-Berlin/14300-W-Redwood-Dr-53151/home/90037604,42.9791406,-88.0923087
