,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,832 Southbend Ln,Vestavia Hills,AL,35243,650000,3,2.5,,9147.0,2020.0,67,http://www.redfin.com/AL/Vestavia-Hills/Unknown-35216/home/167823281,33.4399,-86.7936
1,Single Family Residential,833 Southbend Ln,Vestavia Hills,AL,35243,650000,3,2.5,,15681.0,2020.0,67,http://www.redfin.com/AL/Vestavia-Hills/Unknown-35216/home/167823263,33.4399,-86.7936
2,Single Family Residential,829 Southbend Ln,Vestavia Hills,AL,35243,650000,3,2.5,,28749.0,2020.0,67,http://www.redfin.com/AL/Vestavia-Hills/Unknown-35216/home/167823262,33.4399,-86.7936
3,Single Family Residential,Lot 3 Sunset Rdg,Homewood,AL,35226,449500,4,3.0,2180.0,18730.0,2020.0,0,http://www.redfin.com/AL/Birmingham/Lot-3-Sunset-RDG-35226/home/172644077,33.4092779,-86.8320743
4,Single Family Residential,3784 Poe Dr,Vestavia Hills,AL,35223,789900,5,4.0,3305.0,6969.0,2020.0,0,http://www.redfin.com/AL/Vestavia-Hills/3784-Poe-Dr-35223/home/165183411,33.468364,-86.733714
5,Single Family Residential,1803 Helen Ridge Cir,Vestavia Hills,AL,35242,551465,4,3.0,2771.0,7405.0,2020.0,54,http://www.redfin.com/AL/Vestavia-Hills/1803-Helen-Ridge-Cir-35243/home/172616008,33.453198,-86.7151199
6,Single Family Residential,4577 Reflection Cv,Vestavia Hills,AL,35242,616408,5,4.0,3102.0,,2020.0,117,http://www.redfin.com/AL/Vestavia-Hills/Reflection-Cv-35242/home/167786351,33.49341,-86.65450200000001
7,Single Family Residential,3328 Bend Cir,Vestavia Hills,AL,35216,719000,4,3.5,3289.0,,2020.0,67,http://www.redfin.com/AL/Hoover/3328-S-Bend-Cir-35216/home/167823246,33.4085502,-86.78241159999999
8,Single Family Residential,3320 Bend Cir,Vestavia Hills,AL,35216,699900,4,3.5,3485.0,,2020.0,67,http://www.redfin.com/AL/Vestavia-Hills/3320-S-Bend-Cir-35216/home/167823248,33.4085109,-86.78219179999999
9,Single Family Residential,4712 Jackson Loop,Vestavia Hills,AL,35242,535853,4,3.5,2772.0,,2020.0,117,http://www.redfin.com/AL/Vestavia-Hills/4712-Jackson-Loop-35242/home/165218882,33.4878761,-86.65597729999999
10,Single Family Residential,1789 Helen Ridge Cir,Vestavia Hills,AL,35242,558230,4,3.0,2778.0,8712.0,2020.0,54,http://www.redfin.com/AL/Vestavia-Hills/1789-Helen-Ridge-Cir-35243/home/171297886,33.452856,-86.715131
11,Single Family Residential,1796 Helen Ridge Cir,Vestavia Hills,AL,35242,596000,5,4.5,3368.0,12632.0,2020.0,54,http://www.redfin.com/AL/Vestavia-Hills/1796-Helen-Ridge-Cir-35243/home/171351862,33.453198,-86.7151199
12,Single Family Residential,1739 Helen Ridge Dr,Vestavia Hills,AL,35242,603000,5,4.5,3667.0,10454.0,2020.0,54,http://www.redfin.com/AL/Vestavia-Hills/1739-Vestlake-Ridge-Dr-35242/home/171477323,33.4911,-86.6546578
13,Single Family Residential,1727 Helen Ridge Dr,Vestavia Hills,AL,35242,559806,4,3.5,2988.0,12632.0,2020.0,54,http://www.redfin.com/AL/Vestavia-Hills/1727-Helen-Ridge-Dr-35243/home/172666571,33.454746899999996,-86.7147144
14,Single Family Residential,1712 Collinwood Ct,Birmingham,AL,35243,615900,4,3.5,3190.0,4791.0,2020.0,50,http://www.redfin.com/AL/Birmingham/1712-Collinwood-Ct-35243/home/102268617,33.428567,-86.771221
15,Townhouse,3773 Fairhaven Dr,Vestavia Hills,AL,35223,699900,3,2.5,3245.0,5227.0,2020.0,0,http://www.redfin.com/AL/Mountain-Brook/3773-Fairhaven-Dr-35223/home/170949862,33.4684842,-86.7320203
16,Townhouse,3771 Fairhaven Dr,Vestavia Hills,AL,35223,679900,3,2.5,3290.0,5227.0,2020.0,0,http://www.redfin.com/AL/Vestavia-Hills/3771-Fairhaven-Dr-35223/home/165183404,33.4695528,-86.7320225
17,Townhouse,3769 Fairhaven Dr,Vestavia Hills,AL,35223,699900,4,3.5,3310.0,6534.0,2020.0,0,http://www.redfin.com/AL/Mountain-Brook/3769-Fairhaven-Dr-35223/home/170948519,33.46866,-86.7320215
