,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,2100 N 17th St,Boise,ID,83702,899000,3,2.5,2500,6098.0,2020,,http://www.redfin.com/ID/Boise/2100-N-17th-St-83702/home/106787373,43.6392354,-116.20905829999998
1,Single Family Residential,4797 Arrowhead Way,Boise,ID,83709,268900,3,1.0,1127,9583.0,1982,,http://www.redfin.com/ID/Boise/4797-Arrowhead-Way-83709/home/106757342,43.55943370000001,-116.27636670000001
2,Single Family Residential,12572 W Hidden Valley Dr,Boise,ID,83709,359000,3,2.0,2008,8712.0,2006,28.0,http://www.redfin.com/ID/Boise/12572-W-Hidden-Valley-Dr-83709/home/106695360,43.537023,-116.33832340000002
3,Single Family Residential,547 E Orion Ct,Boise,ID,83702,2490000,5,4.5,4695,25351.0,2007,117.0,http://www.redfin.com/ID/Boise/547-E-Orion-Ct-83702/home/106678567,43.6367055,-116.18300719999999
4,Townhouse,5883 S Blue Nile Ave,Boise,ID,83709,299900,3,2.5,1667,3876.0,2008,23.0,http://www.redfin.com/ID/Boise/5883-S-Blue-Nile-Ave-83709/home/106715138,43.549817100000006,-116.33388049999999
5,Single Family Residential,3878 E Collingwood St,Meridian,ID,83642,340900,3,2.0,1618,7100.0,2020,67.0,http://www.redfin.com/ID/Meridian/3878-E-Collingwood-St-83642/home/172660841,43.5482851,-116.3459123
6,Single Family Residential,3460 N Jullion St,Boise,ID,83704,309900,3,2.0,1387,8276.0,1975,,http://www.redfin.com/ID/Boise/3460-Jullion-St-83704/home/106749822,43.6362621,-116.30650220000001
7,Single Family Residential,9052 W Donnybrook Ct,Boise,ID,83709,339000,3,2.0,1706,7056.0,1978,30.0,http://www.redfin.com/ID/Boise/W-Donnybrook-Dr-83709/home/106734633,43.601796,-116.29501299999998
8,Single Family Residential,12763 W Broadleaf St,Boise,ID,83713,379900,4,2.5,2648,7405.0,2009,30.0,http://www.redfin.com/ID/Boise/12763-W-Broadleaf-St-83713/home/106782876,43.6349125,-116.3415095
9,Single Family Residential,4713 W Catalpa Dr,Boise,ID,83703,449000,3,2.5,2142,6098.0,2004,,http://www.redfin.com/ID/Boise/4713-W-Catalpa-Dr-83703/home/106803222,43.655336,-116.247621
10,Single Family Residential,11438 W Jennie Lakes St,Boise,ID,83709,349900,3,2.5,1710,6534.0,2007,25.0,http://www.redfin.com/ID/Boise/11438-W-Jennie-Lakes-St-83709/home/106676953,43.5485468,-116.3250011
11,Single Family Residential,9722 W Blue Meadows St,Boise,ID,83709,339900,3,2.5,1934,6098.0,2006,26.0,http://www.redfin.com/ID/Boise/9722-W-Blue-Meadows-St-83709/home/106691738,43.5607951,-116.30313829999999
12,Single Family Residential,1215 W Melrose St,Boise,ID,83706,314900,2,1.0,960,6098.0,1955,,http://www.redfin.com/ID/Boise/1215-W-Melrose-St-83706/home/106683920,43.5815026,-116.19682320000001
13,Single Family Residential,5490 S Pepperridge Way,Boise,ID,83709,437900,3,2.0,2008,10890.0,2008,23.0,http://www.redfin.com/ID/Boise/5490-S-Pepperridge-Way-83709/home/106711768,43.5531359,-116.32077779999999
14,Single Family Residential,1502 N 24th St,Boise,ID,83702,1400000,5,4.0,3752,11761.0,2004,,http://www.redfin.com/ID/Boise/1502-N-24th-St-83702/home/106766640,43.6340584,-116.21800459999999
15,Townhouse,5643 S Caper Ln,Boise,ID,83716-6930,249500,2,1.5,1101,3484.0,1998,104.0,http://www.redfin.com/ID/Boise/5643-S-Caper-Pl-83716/home/106693464,43.550812,-116.13424199999999
16,Single Family Residential,2026 E Goodman Ct,Boise,ID,83712,1100000,5,3.5,4234,9583.0,1994,30.0,http://www.redfin.com/ID/Boise/2026-E-Goodman-Ct-83712/home/106747513,43.600479,-116.1699787
17,Single Family Residential,2589 S Georgetown Pl #8129,Boise,ID,83709,399900,3,2.0,2011,10018.0,1998,20.0,http://www.redfin.com/ID/Boise/2589-S-Georgetown-Pl-83709/unit-8129/home/172650629,43.579646200000006,-116.30923030000001
18,Townhouse,3455 S Poco Loco,Boise,ID,83705,235000,2,1.5,956,2613.0,1994,,http://www.redfin.com/ID/Boise/3455-S-Poco-Loco-Pl-83705/home/106701199,43.5711352,-116.2014982
19,Single Family Residential,3595 E Mardia St,Meridian,ID,83642,479900,4,2.5,2570,7927.0,2020,50.0,http://www.redfin.com/ID/Meridian/3595-E-Mardia-St-83642/home/172647401,43.550483299999996,-116.34941359999999
20,Single Family Residential,421 S Curtis #33,Boise,ID,83705,259900,3,2.0,1452,,2014,,http://www.redfin.com/ID/Boise/421-S-Curtis-Rd-83705/unit-33/home/145176973,43.6012261,-116.25680179999999
21,Single Family Residential,1907 S lake Heron Ln,Boise,ID,83706-0000,710000,3,3.0,2650,5227.0,1980,239.0,http://www.redfin.com/ID/Boise/1907-Lake-Heron-Ln-83706/home/106703885,43.589835,-116.17108999999999
22,Single Family Residential,7056 E Los Carneros Dr,Boise,ID,83706,615000,3,2.5,2055,6229.0,2020,50.0,http://www.redfin.com/ID/Boise/7056-E-Los-Carneros-DR-83706/home/172644840,43.5921208,-116.19333020000002
23,Single Family Residential,7062 E Los Carneros Dr,Boise,ID,83716,615000,3,2.5,2070,6229.0,2020,50.0,http://www.redfin.com/ID/Boise/7062-E-Los-Carneros-DR-Unknown/home/172644834,43.6150186,-116.2023137
24,Single Family Residential,7044 E Los Carneros Dr,Boise,ID,83716,615000,3,2.5,2070,6229.0,2020,50.0,http://www.redfin.com/ID/Boise/7044-E-Los-Carneros-DR-Unknown/home/172644320,43.6150186,-116.2023137
25,Single Family Residential,7755 Bridlewood,Boise,ID,83704,350000,4,2.0,1920,9583.0,1969,,http://www.redfin.com/ID/Boise/7755-Bridlewood-Cir-83704/home/106663883,43.641396,-116.2784924
26,Condo/Co-op,1412 N McKinney Ln,Boise,ID,83704,349900,3,2.5,1816,,2011,225.0,http://www.redfin.com/ID/Boise/1412-N-McKinney-Ln-83704/home/106671953,43.617745500000005,-116.26706270000001
27,Single Family Residential,2003 N Cole,Boise,ID,83704,429000,9,4.0,3400,10890.0,1956,,http://www.redfin.com/ID/Boise/2003-N-Cole-Rd-83704/home/106652968,43.623244299999996,-116.2745084
28,Single Family Residential,1305 N Chelsea St,Boise,ID,83704,314900,4,2.0,1510,7840.0,1965,,http://www.redfin.com/ID/Boise/1305-Chelsea-St-83704/home/106744432,43.6171006,-116.2765811
29,Single Family Residential,6577 E Bend Ridge St,Boise,ID,83716,359000,4,2.5,1621,4007.0,2016,40.0,http://www.redfin.com/ID/Boise/6577-E-Bend-Ridge-St-83716/home/109561084,43.5303502,-116.1023388
30,Single Family Residential,3575 E Mardia St,Meridian,ID,83642,524900,4,3.5,2775,7971.0,2020,50.0,http://www.redfin.com/ID/Meridian/3575-E-Mardia-St-83642/home/172642699,43.550481,-116.3496663
31,Single Family Residential,45 Rocky Canyon Rd,Boise,ID,83716,2499000,4,4.0,5098,35719200.0,2017,,http://www.redfin.com/ID/Boise/45-Rocky-Canyon-Rd-83716/home/115180749,43.6372893,-116.0198848
32,Single Family Residential,10241 W Guinevere Dr,Boise,ID,83704,313500,3,1.5,1496,8712.0,1973,,http://www.redfin.com/ID/Boise/10241-Guinevere-Dr-83704/home/106650275,43.632549700000006,-116.31020159999998
33,Single Family Residential,1207 N Happy Dr,Boise,ID,83706,785000,3,3.0,3430,13068.0,1956,,http://www.redfin.com/ID/Boise/1207-Happy-Dr-83706/home/106703595,43.615482799999995,-116.23132620000001
34,Single Family Residential,3004 N 36th St,Boise,ID,83703,325000,2,1.0,805,4791.0,1912,,http://www.redfin.com/ID/Boise/3004-36th-St-83703/home/106701138,43.6474581,-116.233122
35,Condo/Co-op,119 S 10th #401,Boise,ID,83702,685000,2,2.0,1500,,2016,323.0,http://www.redfin.com/ID/Boise/119-S-10th-St-83702/unit-401/home/109561086,43.6165374,-116.206601
36,Single Family Residential,2713 W Hazel St,Boise,ID,83702,349999,2,1.0,881,3049.0,1920,,http://www.redfin.com/ID/Boise/2713-W-Hazel-St-83702/home/106668205,43.6344899,-116.22285929999998
37,Condo/Co-op,5122 S Surprise Way #205,Boise,ID,83716,340000,2,2.0,1470,,1997,286.0,http://www.redfin.com/ID/Boise/5122-S-Surprise-Way-83716/unit-205/home/106775234,43.5565172,-116.12325859999999
