,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,7712 Unicorn Tapestry Ct,Las Vegas,NV,89149,289000,3.0,2.5,2222.0,1742.0,2007.0,80.0,http://www.redfin.com/NV/Las-Vegas/7712-Unicorn-Tapestry-Ct-89149/home/29060658,36.3013617,-115.2915501
1,Single Family Residential,10749 Moon Flower Arbor Pl,Las Vegas,NV,89144,404000,4.0,2.5,1707.0,8712.0,2000.0,50.0,http://www.redfin.com/NV/Las-Vegas/10749-Moon-Flower-Arbor-Pl-89144/home/29114387,36.1698807,-115.330868
2,Single Family Residential,7285 Mer Soliel Ct,Las Vegas,NV,89118,405000,5.0,2.5,2641.0,3485.0,2018.0,24.0,http://www.redfin.com/NV/Las-Vegas/7285-Mer-Soliel-Ct-89118/home/146416878,36.056596299999995,-115.2327757
3,Condo/Co-op,7950 Flamingo Rd #2098,Las Vegas,NV,89147,153000,2.0,1.0,957.0,1358.0,1994.0,150.0,http://www.redfin.com/NV/Las-Vegas/7950-W-Flamingo-Rd-89147/unit-2098/home/29550535,36.1175564,-115.2644523
4,Single Family Residential,2813 Red Springs Dr,Las Vegas,NV,89135,680000,3.0,3.5,2508.0,6970.0,1999.0,245.0,http://www.redfin.com/NV/Las-Vegas/2813-Red-Springs-Dr-89135/home/29587231,36.13894260000001,-115.33778909999998
5,Townhouse,10411 Kitty Joyce Ave,Las Vegas,NV,89129,249900,3.0,2.5,1611.0,1307.0,2007.0,200.0,http://www.redfin.com/NV/Las-Vegas/10411-Kitty-Joyce-Ave-89129/home/29277188,36.247521,-115.32431729999999
6,Single Family Residential,12310 Kings Meadow Ct,Las Vegas,NV,89138,505000,4.0,2.5,2407.0,5663.0,2014.0,40.0,http://www.redfin.com/NV/Las-Vegas/12310-Kings-Meadow-Ct-89138/home/65558762,36.169186700000004,-115.36702269999999
7,Single Family Residential,2745 Mccoy Dr,Las Vegas,NV,89134,340000,2.0,1.75,1629.0,7841.0,1990.0,122.0,http://www.redfin.com/NV/Las-Vegas/2745-McCoy-Dr-89134/home/29153594,36.21087429999999,-115.3045709
8,Single Family Residential,7651 Lots Hills Dr,Las Vegas,NV,89179,300000,3.0,2.5,1740.0,2178.0,2014.0,38.0,http://www.redfin.com/NV/Las-Vegas/7651-Hills-Dr-89179/home/65558925,35.9952242,-115.2584993
9,Single Family Residential,10701 Button Willow Dr,Las Vegas,NV,89134,540000,3.0,2.5,2577.0,8276.0,1995.0,137.0,http://www.redfin.com/NV/Las-Vegas/10701-Button-Willow-Dr-89134/home/29105516,36.2069944,-115.3295254
10,Single Family Residential,8039 Villa Cano St,Las Vegas,NV,89131,499900,5.0,4.25,3775.0,6534.0,2004.0,80.0,http://www.redfin.com/NV/Las-Vegas/8039-Villa-Cano-St-89131/home/29855139,36.3062783,-115.2614861
11,Single Family Residential,8409 Lomack Ct,Las Vegas,NV,89145,273950,2.0,2.0,1184.0,4356.0,1983.0,,http://www.redfin.com/NV/Las-Vegas/8409-Lomack-Ct-89145/home/29215517,36.1709109,-115.27567859999998
12,Single Family Residential,9972 Erie Stream Way,Las Vegas,NV,89148,225000,2.0,2.5,1188.0,1742.0,2005.0,47.0,http://www.redfin.com/NV/Las-Vegas/9972-Erie-Stream-Way-89148/home/29032141,36.073792700000006,-115.3108676
13,Single Family Residential,807 Calstock Ct,Las Vegas,NV,89178,399900,3.0,2.5,2943.0,4356.0,2007.0,51.0,http://www.redfin.com/NV/Las-Vegas/807-Calstock-Ct-89178/home/29066329,36.039463299999994,-115.3074183
14,Single Family Residential,9709 Sienna Valley Ave,Las Vegas,NV,89149,429999,4.0,3.0,2026.0,6970.0,2005.0,70.0,http://www.redfin.com/NV/Las-Vegas/9709-Sienna-Valley-Ave-89149/home/29007433,36.302426000000004,-115.30778870000002
15,Single Family Residential,8804 Marble Dr,Las Vegas,NV,89134,388900,2.0,2.0,1637.0,7841.0,1989.0,138.0,http://www.redfin.com/NV/Las-Vegas/8804-Marble-Dr-89134/home/29149495,36.216029,-115.2869765
16,Townhouse,6442 Spring Jog St #6,Las Vegas,NV,89166,305900,3.0,2.5,1448.0,1307.0,2021.0,160.0,http://www.redfin.com/NV/Las-Vegas/6442-Spring-Jog-ST-89166/unit-6/home/172670115,36.430307899999995,-115.5207358
17,Condo/Co-op,555 Silverado Ranch Blvd #1044,Las Vegas,NV,89183,146500,1.0,1.0,705.0,,1999.0,163.0,http://www.redfin.com/NV/Las-Vegas/555-E-Silverado-Ranch-Blvd-89183/unit-1044/home/29070178,36.0119165,-115.15163740000001
18,Condo/Co-op,2000 Fashion Show Dr #3204,Las Vegas,NV,89109,218000,0.0,1.0,533.0,,2006.0,560.0,http://www.redfin.com/NV/Las-Vegas/2000-Fashion-Show-Dr-89109/unit-3204/home/29805665,36.129563,-115.17263500000001
19,Townhouse,6444 Spring Jog St #5,Las Vegas,NV,89166,305900,3.0,2.5,1448.0,1307.0,2021.0,160.0,http://www.redfin.com/NV/Las-Vegas/6444-Spring-Jog-ST-89166/unit-5/home/172670085,36.430307899999995,-115.5207358
20,Single Family Residential,6531 American Eagle Ave,Las Vegas,NV,89131,540000,4.0,2.75,3231.0,7841.0,2014.0,65.0,http://www.redfin.com/NV/Las-Vegas/6531-American-Eagle-Ave-89131/home/61437959,36.2762865,-115.23623970000001
21,Single Family Residential,9563 Vega Carpio Ave,Las Vegas,NV,89178,315000,3.0,2.5,2145.0,3485.0,2013.0,85.0,http://www.redfin.com/NV/Las-Vegas/9563-Vega-Carpio-Ave-89178/home/65556788,36.0221355,-115.3017466
22,Townhouse,10567 Ridge Glow Ave #30,Las Vegas,NV,89166,318900,3.0,2.5,1552.0,1307.0,2021.0,160.0,http://www.redfin.com/NV/Las-Vegas/10567-Ridge-Glow-AVE-89166/unit-30/home/172670055,36.430307899999995,-115.5207358
23,Condo/Co-op,2000 Fashion Show Dr #3203,Las Vegas,NV,89109,218000,0.0,1.0,534.0,,2006.0,560.0,http://www.redfin.com/NV/Las-Vegas/2000-Fashion-Show-Dr-89109/unit-3203/home/29805662,36.129563,-115.17263500000001
24,Condo/Co-op,2000 Fashion Show Dr #3202,Las Vegas,NV,89109,218000,0.0,1.0,533.0,,2006.0,560.0,http://www.redfin.com/NV/Las-Vegas/2000-Fashion-Show-Dr-89109/unit-3202/home/29805663,36.129563,-115.17263500000001
25,Townhouse,10563 Ridge Glow Ave #28,Las Vegas,NV,89166,295900,3.0,2.5,1448.0,1307.0,2021.0,160.0,http://www.redfin.com/NV/Las-Vegas/10563-Ridge-Glow-AVE-89166/unit-28/home/172670017,36.430307899999995,-115.5207358
