,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,9765 Vena Ave,Arleta,CA,91331.0,795000,5,3.0,2080.0,7250.0,1948.0,,http://www.redfin.com/CA/Arleta/9765-Vena-Ave-91331/home/5603468,34.2478523,-118.4281074
1,Townhouse,3152 Casitas Ave,Atwater Village,CA,90039.0,1189000,4,3.5,1482.0,5398.0,1938.0,,http://www.redfin.com/CA/Los-Angeles/3152-Casitas-Ave-90039/home/7065155,34.1138743,-118.2497144
2,Single Family Residential,221 S Willaman Dr,Beverly Hills,CA,90211.0,4295000,4,5.5,4081.0,6499.0,2018.0,,http://www.redfin.com/CA/Beverly-Hills/221-S-Willaman-Dr-90211/home/6813621,34.0634956,-118.38068490000002
3,Condo/Co-op,300 N Swall Dr #451,Beverly Hills,CA,90211.0,1799000,2,2.5,2676.0,99725.0,1981.0,2275.0,http://www.redfin.com/CA/Beverly-Hills/300-N-Swall-Dr-90211/unit-451/home/6815751,34.0710592,-118.385249
4,Single Family Residential,3570 Mandeville Canyon Rd,Brentwood,CA,90049.0,2195000,3,3.0,2477.0,8959.0,1956.0,,http://www.redfin.com/CA/Los-Angeles/3570-Mandeville-Canyon-Rd-90049/home/6859276,34.1136106,-118.5003324
5,Condo/Co-op,23500 Park Sorrento Unit C23,Calabasas,CA,91302.0,1799000,3,4.0,2370.0,16037.0,2016.0,752.0,http://www.redfin.com/CA/Calabasas/23500-Park-Sorrento-91302/unit-C23/home/167197624,34.1556085,-118.6406539
6,Condo/Co-op,7226 Jordan Ave #3,Canoga Park,CA,91303.0,345000,2,2.5,1180.0,7427.0,1982.0,350.0,http://www.redfin.com/CA/Canoga-Park/7226-Jordan-Ave-91303/unit-3/home/3730620,34.2018725,-118.6025236
7,Single Family Residential,21742 Merridy St,Chatsworth,CA,91311.0,649000,4,2.0,1573.0,5000.0,1977.0,,http://www.redfin.com/CA/Chatsworth/21742-Merridy-St-91311/home/5841431,34.2526686,-118.6031858
8,Townhouse,11215 Sierra Pass Pl,Chatsworth,CA,91311.0,549000,3,3.0,1586.0,268184.0,1989.0,440.0,http://www.redfin.com/CA/Chatsworth/11215-Sierra-Pass-Pl-91311/home/5801139,34.274854,-118.60965
9,Single Family Residential,9803 Cactus Ave,Chatsworth,CA,91311.0,1129000,4,2.5,2712.0,16756.0,1978.0,,http://www.redfin.com/CA/Chatsworth/9803-Cactus-Ave-91311/home/5803044,34.2481648,-118.6211688
10,Single Family Residential,22552 S Summit Ridge Cir,Chatsworth,CA,91311.0,1845000,4,4.5,5006.0,45134.0,2001.0,475.0,http://www.redfin.com/CA/Chatsworth/22552-S-Summit-Ridge-Cir-91311/home/5809333,34.2394632,-118.61891729999999
11,Single Family Residential,9840 Andora Ave,Chatsworth,CA,91311.0,1089000,4,3.0,2346.0,16295.0,1973.0,,http://www.redfin.com/CA/Chatsworth/9840-Andora-Ave-91311/home/5803058,34.2487819,-118.62062179999998
12,Single Family Residential,10235 De Soto Ave Unit E,Chatsworth,CA,91311.0,330000,2,2.0,701.0,47323.0,1984.0,300.0,http://www.redfin.com/CA/Chatsworth/10235-De-Soto-Ave-91311/unit-E/home/5835901,34.256327,-118.589254
13,Single Family Residential,11316 Matteson Ave,Culver City,CA,90066.0,1149000,3,2.0,1296.0,2628.0,1955.0,,http://www.redfin.com/CA/Los-Angeles/11316-Matteson-Ave-90066/home/6726802,34.0091411,-118.41871770000002
14,Single Family Residential,4044 Coolidge Ave,Culver City,CA,90066.0,1050000,3,2.0,1464.0,5400.0,1941.0,,http://www.redfin.com/CA/Los-Angeles/4044-Coolidge-Ave-90066/home/6737962,34.0039656,-118.41947730000001
15,Single Family Residential,5008 Lockhaven Ave,Eagle Rock,CA,90041.0,829000,2,2.0,1118.0,7293.0,1922.0,,http://www.redfin.com/CA/Los-Angeles/5008-Lockhaven-Ave-90041/home/7176454,34.1393684,-118.2236742
16,Single Family Residential,1020 Glen Arbor Ave,Eagle Rock,CA,90041.0,1100000,2,2.0,1962.0,4420.0,1921.0,,http://www.redfin.com/CA/Los-Angeles/1020-Glen-Arbor-Ave-90041/home/7084473,34.1331239,-118.18815729999999
17,Condo/Co-op,945 Pepper St #209,El Segundo,CA,90245.0,295000,2,2.0,1175.0,,1982.0,,http://www.redfin.com/CA/El-Segundo/945-Pepper-St-90245/unit-209/home/6644806,33.93014229999999,-118.4154807
18,Condo/Co-op,5500 Lindley Ave #224,Encino,CA,91316.0,499000,2,1.75,1287.0,40493.0,1979.0,409.0,http://www.redfin.com/CA/Encino/5500-Lindley-Ave-91316/unit-224/home/4116220,34.170618499999996,-118.5265107
19,Condo/Co-op,5328 Newcastle Ave #42,Encino,CA,91316.0,329999,1,1.0,802.0,60951.0,1971.0,300.0,http://www.redfin.com/CA/Encino/5328-Newcastle-Ave-91316/unit-42/home/4129242,34.167824100000004,-118.5235896
20,Single Family Residential,16485 Garvin Dr,Encino,CA,91436.0,2695000,4,5.0,3939.0,20022.0,1985.0,,http://www.redfin.com/CA/Encino/16485-Garvin-Dr-91436/home/4913098,34.1505468,-118.49219939999999
21,Condo/Co-op,5151 Balboa Blvd #201,Encino,CA,91316.0,459000,2,2.0,956.0,23071.0,1988.0,325.0,http://www.redfin.com/CA/Encino/5151-Balboa-Blvd-91316/unit-201/home/4782199,34.1645761,-118.5014717
22,Single Family Residential,18016 Boris Dr,Encino,CA,91316.0,1575000,3,2.0,2163.0,20288.0,1951.0,,http://www.redfin.com/CA/Encino/18016-Boris-Dr-91316/home/4299082,34.15396679999999,-118.52572679999999
23,Single Family Residential,706 W Alondra Blvd,Gardena,CA,90247.0,475000,2,1.0,955.0,5851.0,1926.0,,http://www.redfin.com/CA/Gardena/706-W-Alondra-Blvd-90247/home/7333795,33.8850872,-118.28740049999999
24,Single Family Residential,1514 Fairfield St,Glendale,CA,91201.0,795000,4,2.5,1460.0,4781.0,1937.0,,http://www.redfin.com/CA/Glendale/1514-Fairfield-St-91201/home/7150655,34.1603953,-118.2952561
