,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Mobile/Manufactured Home,35250 SW 177th Ct,Homestead,FL,33034.0,130000,3,2.0,1690.0,5770.0,1995,132.0,http://www.redfin.com/FL/Miami/35250-SW-177-CT-Unknown/home/171205249,25.7616798,-80.1917902
1,Single Family Residential,1200 Brickell Bay Dr,Miami,FL,33131.0,438500,3,2.0,1232.0,,2005,850.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-2308/home/42702966,25.761803600000004,-80.19058869999999
2,Condo/Co-op,1200 Brickell Bay Dr #2417,Miami,FL,33131.0,285000,1,1.0,836.0,,2004,585.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-2417/home/43318944,25.761803600000004,-80.19058869999999
3,Condo/Co-op,1200 Brickell Bay Dr #3919,Miami,FL,33131.0,280000,1,1.0,825.0,,2005,585.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-3919/home/43304447,25.761803600000004,-80.19058869999999
4,Condo/Co-op,1200 Brickell Bay Dr #1704,Miami,FL,33131.0,289000,1,1.0,825.0,,2004,584.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-1704/home/43317782,25.761803600000004,-80.19058869999999
5,Condo/Co-op,1200 Brickell Bay Dr #3609,Miami,FL,33131.0,425000,2,2.0,1183.0,,2005,,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-3609/home/43304335,25.761803600000004,-80.19058869999999
6,Condo/Co-op,1200 Brickell Bay Dr #3709,Miami,FL,33131.0,460000,2,2.0,1183.0,,2005,838.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-3709/home/43320831,25.761803600000004,-80.19058869999999
7,Condo/Co-op,1200 Brickell Bay Dr #2007,Miami,FL,33131.0,450000,1,1.0,778.0,,2004,585.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-2007/home/43311304,25.761803600000004,-80.19058869999999
8,Condo/Co-op,1200 Brickell Bay Dr #3515,Miami,FL,33131.0,450000,2,2.0,,,2005,729.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-3515/home/43321422,25.761803600000004,-80.19058869999999
9,Condo/Co-op,1200 Brickell Bay Dr #1608,Miami,FL,33131.0,275000,1,1.0,825.0,,2004,584.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-1608/home/43317818,25.761803600000004,-80.19058869999999
10,Condo/Co-op,1200 Brickell Bay Dr #4208,Miami,FL,33131.0,350000,1,1.0,825.0,,2005,584.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-4208/home/43306287,25.761803600000004,-80.19058869999999
11,Condo/Co-op,1200 Brickell Bay Dr #4217,Miami,FL,33131.0,350000,1,1.0,836.0,,2005,592.0,http://www.redfin.com/FL/Miami/1200-Brickell-Bay-Dr-33131/unit-4217/home/43303907,25.761803600000004,-80.19058869999999
