,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,7516 Old Harding Pike,Nashville,TN,37221,375000.0,3.0,2.0,2034.0,13939.0,1988.0,35.0,http://www.redfin.com/TN/Nashville/7516-Old-Harding-Pike-37221/home/108090209,36.062684999999995,-86.94281540000001
1,Single Family Residential,5864 Seven Points Trce,Hermitage,TN,37076,389900.0,4.0,3.0,2464.0,13503.0,2000.0,18.0,http://www.redfin.com/TN/Hermitage/5864-Seven-Points-Trce-37076/home/60767004,36.1502761,-86.578165
2,Townhouse,101 Morton Mill Cir,Nashville,TN,37221,379999.0,4.0,3.5,3450.0,1306.0,1987.0,288.0,http://www.redfin.com/TN/Nashville/101-Morton-Mill-Cir-37221/home/60790949,36.065512,-86.95780490000001
3,Single Family Residential,5954 Temple Rd,Nashville,TN,37221,399900.0,4.0,3.5,2050.0,40075.0,2000.0,,http://www.redfin.com/TN/Nashville/5954-Temple-Rd-37221/home/104285352,36.041489,-86.95158599999999
4,Single Family Residential,3504 Lealand Ln,Nashville,TN,37204,915000.0,4.0,3.5,3654.0,16988.0,1988.0,,http://www.redfin.com/TN/Nashville/3504-Lealand-Ln-37204/home/87822376,36.1103655,-86.7870927
5,Single Family Residential,811 Singleton Ln,Brentwood,TN,37027,1040000.0,5.0,5.5,4303.0,26136.0,2018.0,100.0,http://www.redfin.com/TN/Brentwood/811-Singleton-Ln-37027/home/144122180,36.003327500000005,-86.7088887
6,Condo/Co-op,1400 Quail Run,Nashville,TN,37214,192900.0,3.0,2.0,1200.0,,1983.0,235.0,http://www.redfin.com/TN/Nashville/1400-Quail-Run-37214/home/108008176,36.138515000000005,-86.637599
7,Single Family Residential,1953 Deep Woods Trl,Nashville,TN,37214,324000.0,3.0,2.5,2260.0,5662.0,2002.0,35.0,http://www.redfin.com/TN/Nashville/1953-Deep-Woods-Trl-37214/home/108016151,36.1222126,-86.6245652
8,Single Family Residential,111 Ashlawn Ct,Nashville,TN,37215,320000.0,2.0,2.0,1343.0,1306.0,1986.0,315.0,http://www.redfin.com/TN/Nashville/111-Ashlawn-Ct-37215/home/68719384,36.092959,-86.81865
9,Single Family Residential,3429 Shelby Bottoms,Nashville,TN,37206,639900.0,4.0,3.5,2769.0,,2020.0,145.0,http://www.redfin.com/TN/Nashville/3429-Shelby-Bottoms-Bnd-37206/home/112484586,36.184784,-86.708208
10,Single Family Residential,1510 Demonbreun St Apt 506,Nashville,TN,37203,349900.0,1.0,1.0,855.0,,2009.0,350.0,http://www.redfin.com/TN/Nashville/1510-Demonbreun-St-37203/unit-506/home/60664455,36.15364829999999,-86.7893837
11,Single Family Residential,5212 Alyadar Dr,Hermitage,TN,37076,289900.0,3.0,2.0,1814.0,20037.0,1979.0,,http://www.redfin.com/TN/Hermitage/5212-Alyadar-Dr-37076/home/68839270,36.1668745,-86.5781885
12,Single Family Residential,1605 Benjamin St,Nashville,TN,37206,325000.0,2.0,1.0,1060.0,14810.0,1940.0,,http://www.redfin.com/TN/Nashville/1605-Benjamin-St-37206/home/108020535,36.1867289,-86.7391032
13,Single Family Residential,916 Carolyn Ave,Nashville,TN,37216,300000.0,2.0,1.0,925.0,10454.0,1933.0,,http://www.redfin.com/TN/Nashville/916-Carolyn-Ave-37216/home/108113232,36.198511700000005,-86.7471178
14,Single Family Residential,1709 Primrose Ave,Nashville,TN,37212,675000.0,3.0,3.0,2826.0,7840.0,1930.0,,http://www.redfin.com/TN/Nashville/1709-Primrose-Ave-37212/home/108004837,36.1199843,-86.79792509999999
15,Single Family Residential,8325 Parkfield Dr,Nolensville,TN,37135,539500.0,5.0,3.5,2965.0,9147.0,2009.0,65.0,http://www.redfin.com/TN/Nolensville/8325-Parkfield-Dr-37135/home/87878507,35.9833399,-86.6702964
16,Townhouse,949 Todd Preis Dr,Nashville,TN,37221,270000.0,3.0,2.5,1716.0,871.0,1976.0,250.0,http://www.redfin.com/TN/Nashville/949-Todd-Preis-Dr-37221/unit-949/home/87806805,36.074205,-86.95096099999999
17,Single Family Residential,225 53rd Ave N,Nashville,TN,37209,410000.0,2.0,1.0,884.0,6969.0,1947.0,,http://www.redfin.com/TN/Nashville/225-53rd-Ave-N-37209/home/107999340,36.147593799999996,-86.8511882
18,Single Family Residential,2312 Shadow Ln,Nashville,TN,37216,214900.0,2.0,1.0,914.0,11325.0,1953.0,,http://www.redfin.com/TN/Nashville/2312-Shadow-Ln-37216/home/108109302,36.20693120000001,-86.70589340000001
19,Single Family Residential,219 Sterling Point Cir,Nashville,TN,37209,435000.0,3.0,3.5,1994.0,871.0,2020.0,165.0,http://www.redfin.com/TN/Nashville/Sterling-St-37209/home/148402048,36.157727,-86.863679
20,Single Family Residential,217 Sterling Point Cir,Nashville,TN,37209,440000.0,3.0,3.5,2028.0,871.0,2020.0,165.0,http://www.redfin.com/TN/Nashville/Sterling-St-37209/home/148402047,36.157727,-86.863679
21,Townhouse,2261 Belle Creek Way,Nashville,TN,37221,330000.0,3.0,2.5,1493.0,871.0,2019.0,105.0,http://www.redfin.com/TN/Nashville/2261-Belle-Creek-Way-37221/home/148401523,36.075670200000005,-86.9657687
22,Townhouse,2308 Patrick Ave,Old Hickory,TN,37138,217625.0,2.0,2.5,1177.0,,2020.0,135.0,http://www.redfin.com/TN/Nashville/2308-Patrick-AVE-37138/home/172669876,36.26505578,-86.66276592
23,Single Family Residential,6315 Percy Dr,Nashville,TN,37205,464000.0,4.0,3.0,1880.0,19602.0,1966.0,,http://www.redfin.com/TN/Nashville/6315-Percy-Dr-37205/home/107984410,36.0897245,-86.8827734
24,Single Family Residential,1010 48th Ave N,Nashville,TN,37209,584900.0,3.0,3.0,2237.0,871.0,2015.0,,http://www.redfin.com/TN/Nashville/1010-48th-Ave-N-37209/home/102793423,36.1596125,-86.8449373
25,Single Family Residential,1101 Ozark St,Nashville,TN,37206,975000.0,5.0,5.0,3863.0,7405.0,2019.0,,http://www.redfin.com/TN/Nashville/1101-Ozark-St-37206/home/102802593,36.163421,-86.75196
26,Townhouse,729 Westcott Ln #128,Nolensville,TN,37135,311000.0,2.0,2.5,1480.0,2178.0,2015.0,165.0,http://www.redfin.com/TN/Nolensville/729-Westcott-Ln-37135/unit-128/home/144669077,35.98770570000001,-86.6669349
27,Single Family Residential,201 Scotland Pl,Nashville,TN,37205,1199500.0,4.0,3.5,3501.0,28749.0,1945.0,,http://www.redfin.com/TN/Nashville/201-Scotland-Pl-37205/home/108048593,36.1053201,-86.8626886
28,Vacant Land,41 Harbor Cove Dr,Old Hickory,TN,37138,360000.0,,,,20908.0,,150.0,http://www.redfin.com/TN/Old-Hickory/41-Harbor-Cove-Dr-37138/home/68906806,36.241259,-86.61269
29,Single Family Residential,831 Crestridge Dr,Nashville,TN,37204,910000.0,4.0,3.5,3196.0,,2020.0,,http://www.redfin.com/TN/Nashville/831-Crestridge-Dr-37204/home/68828612,36.1109589,-86.7763856
30,Single Family Residential,1723B Nubell St Unit B,Nashville,TN,37208,349000.0,3.0,2.5,1489.0,871.0,2017.0,,http://www.redfin.com/TN/Nashville/1723B-Nubell-St-37208/unit-B/home/172669388,36.1883699,-86.8141246
31,Single Family Residential,700 N 2nd St,Nashville,TN,37207,535000.0,4.0,3.0,2468.0,7405.0,2013.0,,http://www.redfin.com/TN/Nashville/700-N-2nd-St-37207/home/60736800,36.1831185,-86.7717035
32,Single Family Residential,909 Waggoner Ct E,Nashville,TN,37214,199900.0,3.0,2.5,1496.0,7840.0,1998.0,,http://www.redfin.com/TN/Nashville/909-Waggoner-Ct-E-37214/home/108056441,36.147495,-86.639783
33,Condo/Co-op,239 5th Ave N #402,Nashville,TN,37219,549000.0,2.0,2.0,1370.0,1306.0,1900.0,516.0,http://www.redfin.com/TN/Nashville/239-5th-Ave-N-37219/unit-402/home/60643705,36.1640295,-86.7813843
34,Townhouse,1720 Delta Ave,Nashville,TN,37208,417000.0,4.0,3.5,1979.0,,2020.0,195.0,http://www.redfin.com/TN/Nashville/1720-Delta-Ave-37208/home/167937450,36.180888,-86.79929859999999
35,Condo/Co-op,607A 39th Ave N,Nashville,TN,37209,439999.0,3.0,2.5,2023.0,,2020.0,,http://www.redfin.com/TN/Nashville/607-39th-Ave-N-37209/home/108021131,36.155813,-86.833238
36,Single Family Residential,355 Binkley Dr,Nashville,TN,37211,231900.0,3.0,1.5,1200.0,13939.0,1963.0,,http://www.redfin.com/TN/Nashville/355-Binkley-Dr-37211/home/87823684,36.0799396,-86.7455121
37,Single Family Residential,2724 Hartford Dr,Nashville,TN,37210,379900.0,3.0,2.0,1404.0,11325.0,1948.0,,http://www.redfin.com/TN/Nashville/2724-Hartford-Dr-37210/home/60827693,36.1128455,-86.732777
38,Condo/Co-op,162 4th Ave N #203,Nashville,TN,37219,624900.0,1.0,1.5,1067.0,1306.0,1890.0,196.0,http://www.redfin.com/TN/Nashville/162-4th-Ave-N-37219/unit-203/home/108023333,36.163448700000004,-86.7781229
39,Condo/Co-op,162 4th Ave N #211,Nashville,TN,37219,624900.0,1.0,1.5,951.0,1306.0,1890.0,196.0,http://www.redfin.com/TN/Nashville/162-4th-Ave-N-37219/unit-211/home/108107156,36.1633935,-86.77858559999999
40,Single Family Residential,437 Summit Oaks Dr,Nashville,TN,37221,574500.0,4.0,4.0,4286.0,6969.0,2006.0,35.0,http://www.redfin.com/TN/Nashville/437-Summit-Oaks-Dr-37221/home/68774460,36.080948600000006,-86.9215157
41,Single Family Residential,6201 Louisiana Ave,Nashville,TN,37209,299900.0,3.0,2.0,1104.0,7840.0,1998.0,,http://www.redfin.com/TN/Nashville/6201-Louisiana-Ave-37209/home/60681675,36.165052,-86.8642868
42,Single Family Residential,529 Shoreline Ln,Antioch,TN,37013,325000.0,4.0,2.5,2044.0,6534.0,2017.0,20.0,http://www.redfin.com/TN/Antioch/529-Shoreline-Ln-37013/home/102802811,36.0525534,-86.5873993
43,Single Family Residential,101 Summit Run Pl,Hermitage,TN,37076,298000.0,3.0,2.5,2071.0,7405.0,1997.0,23.0,http://www.redfin.com/TN/Hermitage/101-Summit-Run-Pl-37076/home/108051951,36.190371,-86.6045213
44,Single Family Residential,96 Lutie St,Nashville,TN,37210,265000.0,2.0,1.0,965.0,9583.0,1960.0,,http://www.redfin.com/TN/Nashville/96-Lutie-St-37210/home/108093367,36.1172624,-86.740832
45,Single Family Residential,500 N Wilson Blvd,Nashville,TN,37205,849900.0,3.0,2.5,2414.0,,1933.0,,http://www.redfin.com/TN/Nashville/500-N-Wilson-Blvd-37205/home/103942270,36.136992799999994,-86.8333488
46,Single Family Residential,1001 Petway Ave,Nashville,TN,37206,259900.0,2.0,1.0,827.0,12196.0,1951.0,,http://www.redfin.com/TN/Nashville/1001-Petway-Ave-37206/home/108122843,36.1873365,-86.7521459
47,Single Family Residential,1016 Vaughn Crest Dr,Franklin,TN,37069,4550000.0,7.0,9.5,14760.0,168577.0,2007.0,306.0,http://www.redfin.com/TN/Franklin/1016-Vaughn-Crest-Blvd-37069/home/87861187,36.0407435,-86.9030029
48,Single Family Residential,304 April Ln,Nashville,TN,37211,284900.0,3.0,2.0,1517.0,13939.0,1958.0,,http://www.redfin.com/TN/Nashville/304-April-Ln-37211/home/108041251,36.0559882,-86.7121425
49,Single Family Residential,130 Brighton Close,Nashville,TN,37205,959000.0,4.0,4.0,4315.0,3920.0,1998.0,325.0,http://www.redfin.com/TN/Nashville/130-Brighton-Close-37205/home/108035507,36.1277064,-86.8300939
50,Condo/Co-op,703A Cleo Miller Dr,Nashville,TN,37206,269900.0,1.0,1.0,749.0,,2018.0,195.0,http://www.redfin.com/TN/Nashville/703A-Cleo-Miller-Dr-37206/home/147946746,36.18360402,-86.75043476
