,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Condo/Co-op,Unit at 220 E 65th St,New York,NY,10065,899000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/220-E-65th-St-10065/home/45286492,40.764484700000004,-73.9624624
1,Single Family Residential,89-07 96th St,Woodhaven,NY,11421,649000,4.0,2.0,1296.0,2000.0,1920.0,,http://www.redfin.com/NY/Queens/89-07-96th-St-11421/home/20784332,40.691777200000004,-73.8479264
2,Single Family Residential,89-02 120th St,Richmond Hill,NY,11418,609000,3.0,2.5,1328.0,1800.0,1910.0,,http://www.redfin.com/NY/Jamaica/89-02-120th-St-11418/home/20774773,40.697421000000006,-73.82879
3,Condo/Co-op,538 E 84th St Unit 3B,New York,NY,10028,389000,0.0,1.0,450.0,,1957.0,,http://www.redfin.com/NY/New-York/538-E-84th-St-10028/unit-3B/home/45162743,40.773724200000004,-73.94624250000001
4,Condo/Co-op,Unit at 118 E 60th St,New York,NY,10022,589000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/118-E-60th-St-10022/home/172384064,40.762906799999996,-73.9686349
5,Condo/Co-op,82-35 134th St Unit 3G,Jamaica,NY,11435,285000,2.0,1.0,,,1950.0,,http://www.redfin.com/NY/Jamaica/82-35-134th-St-11435/unit-3G/home/172346690,40.713024,-73.822992
6,Condo/Co-op,145 Mcguinness Blvd Unit 3A,Brooklyn,NY,11222,759000,1.0,1.0,652.0,,2003.0,,http://www.redfin.com/NY/Brooklyn/145-McGuinness-Blvd-11222/unit-3A/home/59293510,40.7272818,-73.9500001
7,Condo/Co-op,Unit at 110-45 71 Rd,Queens,NY,11375,480000,2.0,1.0,,,,,http://www.redfin.com/NY/Flushing/110-45-71st-Rd-11375/home/20643804,40.7222907,-73.8398387
8,Condo/Co-op,355A Halsey St #3,Stuyvesant Hts,NY,11216,850000,2.0,2.0,824.0,,1899.0,,http://www.redfin.com/NY/Brooklyn/355A-Halsey-St-11216/unit-3/home/40927998,40.6833487,-73.93851020000001
9,Condo/Co-op,355 Halsey St #3,Brooklyn,NY,11216,850000,2.0,2.0,824.0,,1899.0,,http://www.redfin.com/NY/Brooklyn/355A-Halsey-St-11216/unit-3/home/144975977,40.6833487,-73.93851020000001
10,Condo/Co-op,Unit at 345 E 93rd St,New York,NY,10128,619000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/345-E-93rd-St-10128/home/45162491,40.7818656,-73.946292
11,Condo/Co-op,736 W 187th St #208,New York,NY,10033,769000,2.0,2.0,930.0,,2005.0,699.0,http://www.redfin.com/NY/New-York/736-W-187th-St-10033/unit-208/home/45138477,40.854404200000005,-73.9354054
12,Multi-Family (2-4 Unit),14630 177 St,Jamaica,NY,11434,950000,6.0,4.0,2400.0,4000.0,1930.0,,http://www.redfin.com/NY/Jamaica/146-30-177th-St-11434/home/20689804,40.662123,-73.76943100000001
13,Condo/Co-op,105 W 70th St Unit 3F,New York,NY,10023,750000,1.0,1.0,,,1910.0,,http://www.redfin.com/NY/New-York/105-W-70th-St-10023/unit-3F/home/172040654,40.776418,-73.979925
14,Condo/Co-op,Unit at 416 W 52nd St,New York,NY,10019,1588000,2.0,1.5,,,,,http://www.redfin.com/NY/New-York/416-W-52nd-St-10019/home/114790068,40.764801299999995,-73.9891282
15,Single Family Residential,102-24 46th Ave,Flushing,NY,11368,899000,4.0,1.5,1844.0,2500.0,1915.0,,http://www.redfin.com/NY/Flushing/102-24-46th-Ave-11368/home/20917483,40.745781,-73.86112790000001
16,Condo/Co-op,Unit at 63-14 Queens Blvd,Queens,NY,11377,750000,2.0,2.0,,,,,http://www.redfin.com/NY/Queens/63-14-Queens-Blvd-11377/home/45111917,40.7408476,-73.90181329999999
17,Multi-Family (2-4 Unit),2162 72nd St,Bensonhurst,NY,11204,1799000,7.0,4.0,2480.0,2500.0,1925.0,,http://www.redfin.com/NY/Brooklyn/2162-72nd-St-11204/home/40823365,40.610140200000004,-73.986389
18,Townhouse,Unit at 2162 72nd St,Brooklyn,NY,11204,1799000,7.0,3.5,,,,,http://www.redfin.com/NY/Brooklyn/2162-72nd-St-11204/home/171698705,40.610140200000004,-73.986389
19,Single Family Residential,3276 Spencer Dr,BRONX,NY,10465,649000,2.0,2.5,1140.0,3559.0,1925.0,,http://www.redfin.com/NY/The-Bronx/3276-Spencer-Dr-10465/home/44789396,40.8422593,-73.8180917
20,Condo/Co-op,Unit at 737 Park Ave,New York,NY,10021,17995000,6.0,7.5,,,,,http://www.redfin.com/NY/New-York/737-Park-Ave-10021/home/105844606,40.7703877,-73.9638745
21,Single Family Residential,121 -24 Francis Lewis Blvd,Queens,NY,11413,549000,,,,,,,http://www.redfin.com/NY/Jamaica/121-12-Francis-Lewis-Blvd-11413/home/20701182,40.685227000000005,-73.734217
22,Condo/Co-op,Unit at 26 W 119th St,New York,NY,10026,2165000,3.0,3.5,,,,,http://www.redfin.com/NY/New-York/26-W-119th-St-10026/home/172672006,40.80292360000001,-73.9462662
23,Townhouse,Unit at 313 Hicks St,Brooklyn,NY,11201,1670000,2.0,2.0,,,,,http://www.redfin.com/NY/Brooklyn/313-Hicks-St-11201/home/115052426,40.6918593,-73.99728370000001
24,Condo/Co-op,Unit at 434 Union St,Brooklyn,NY,11231,1650000,2.0,2.0,,,,,http://www.redfin.com/NY/Brooklyn/434-Union-St-11231/home/172671998,40.680039799999996,-73.9902686
25,Condo/Co-op,Unit at 210 E 47th St,New York,NY,10017,575000,0.0,1.0,,,,,http://www.redfin.com/NY/New-York/210-E-47th-St-10017/home/45130449,40.753548200000004,-73.971685
26,Condo/Co-op,Unit at 301 E 63rd St,New York,NY,10021,299000,1.0,1.0,,,,,http://www.redfin.com/NY/New-York/301-E-63rd-St-10065/home/55727146,40.7631466,-73.9622114
27,Multi-Family (2-4 Unit),2034 79th St,Brooklyn,NY,11214,1288000,3.0,2.5,1692.0,2800.0,1925.0,,http://www.redfin.com/NY/Brooklyn/2034-79th-St-11214/home/40827329,40.60786029999999,-73.9933676
28,Multi-Family (2-4 Unit),4205 7th Ave,Brooklyn,NY,11232,1799999,6.0,3.0,2970.0,1600.0,1901.0,,http://www.redfin.com/NY/Brooklyn/4205-7th-Ave-11232/home/40697087,40.646636,-74.0012066
29,Multi-Family (2-4 Unit),2759 Strickland Ave,Brooklyn,NY,11234,1495000,6.0,4.75,2124.0,3300.0,1965.0,,http://www.redfin.com/NY/Brooklyn/2759-Strickland-Ave-11234/home/40904287,40.607797,-73.91515
30,Condo/Co-op,3720 Prince St Unit 11B,Flushing,NY,11354,750000,2.0,1.0,,,2008.0,320.0,http://www.redfin.com/NY/Flushing/37-20-Prince-St-11354/unit-11B/home/50217024,40.760212599999996,-73.8330397
31,Condo/Co-op,1237 Ave Z Ave Unit 6K,Brooklyn,NY,11235,349000,1.0,1.0,800.0,,,,http://www.redfin.com/NY/Brooklyn/1237-Avenue-Z-11235/unit-6K/home/172671798,40.5880505,-73.9565092
32,Townhouse,68 Courtney Loop,Staten Island,NY,10305,675000,3.0,2.0,1460.0,2210.0,1997.0,35.0,http://www.redfin.com/NY/Staten-Island/68-Courtney-Loop-10305/unit-2/home/56119140,40.6126361,-74.06256540000001
33,Condo/Co-op,909 E 29 St Unit 3K,Brooklyn,NY,11230,219000,1.0,1.0,800.0,,1939.0,,http://www.redfin.com/NY/Brooklyn/909-E-29th-St-11210/unit-3K/home/40653660,40.6288635,-73.9480598
34,Single Family Residential,317 E 234th St,BRONX,NY,10470,549000,3.0,2.0,1764.0,2500.0,1925.0,,http://www.redfin.com/NY/The-Bronx/317-E-234th-St-10470/home/44755688,40.8971869,-73.86632540000001
35,Condo/Co-op,629 Kappock St Unit 6N,BRONX,NY,10463,229000,1.0,1.0,800.0,,1960.0,775.0,http://www.redfin.com/NY/The-Bronx/629-Kappock-St-10463/unit-6N/home/108524522,40.88025579999999,-73.91683420000001
36,Multi-Family (2-4 Unit),113-05 205th St,St. Albans,NY,11412,725000,4.0,3.0,,1800.0,1945.0,,http://www.redfin.com/NY/Jamaica/113-05-205th-St-11412/home/20738975,40.702364,-73.750462
37,Single Family Residential,151 Hillside Ave,Staten Island,NY,10304,489000,2.0,1.0,1263.0,3306.0,1915.0,,http://www.redfin.com/NY/Staten-Island/151-Hillside-Ave-10304/home/56097414,40.61676129999999,-74.08956059999998
38,Single Family Residential,81-03 252nd St,Bellerose,NY,11426,1149000,5.0,3.0,,5000.0,1950.0,,http://www.redfin.com/NY/Jamaica/81-03-252nd-St-11426/home/20798423,40.74129,-73.71736899999999
39,Single Family Residential,46-38 247th St,Flushing,NY,11362,868000,3.0,2.0,,3956.0,1955.0,,http://www.redfin.com/NY/Flushing/46-38-247th-St-11362/home/20797971,40.763816999999996,-73.738556
40,Single Family Residential,155-31 16th Dr,Flushing,NY,11357,1268000,5.0,3.5,2440.0,1890.0,1960.0,,http://www.redfin.com/NY/Flushing/155-31-16th-Dr-11357/home/20865301,40.784659000000005,-73.80635
