,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,2808 NW 81st Pl,Portland,OR,97229,675000,3.0,3.0,2542.0,21344.0,1991.0,4.0,http://www.redfin.com/OR/Portland/2808-NW-81st-Pl-97229/home/143049911,45.542664200000004,-122.7619486
1,Single Family Residential,15821 NW Trakehner Way,Portland,OR,97229,575000,5.0,3.0,2436.0,,1997.0,,http://www.redfin.com/OR/Portland/15821-NW-Trakehner-Way-97229/home/26584609,45.558034899999996,-122.8398279
2,Single Family Residential,2425 NE 44th Ave,Portland,OR,97213,699900,3.0,2.0,2622.0,4791.0,1920.0,,http://www.redfin.com/OR/Portland/2425-NE-44th-Ave-97213/home/26616082,45.540127399999996,-122.6181918
3,Single Family Residential,4014 SE 171st Ave,Portland,OR,97236,300000,3.0,1.0,1000.0,10018.0,1970.0,,http://www.redfin.com/OR/Portland/4014-SE-171st-Ave-97236/home/26539753,45.493264399999994,-122.48627169999999
4,Single Family Residential,227 SE 30th Pl Unit A & B,Portland,OR,97214,1025000,3.0,4.5,3148.0,2613.0,2016.0,,http://www.redfin.com/OR/Portland/227-SE-30th-Pl-97214/unit-A-B/home/172669782,45.5209611,-122.6341929
5,Single Family Residential,6925 SW Barbara Ln,Tigard,OR,97223,574900,3.0,2.5,2362.0,10454.0,1977.0,8.0,http://www.redfin.com/OR/Tigard/6925-SW-Barbara-Ln-97223/home/26725489,45.4501955,-122.7483862
6,Condo/Co-op,1420 NW Lovejoy St #201,Portland,OR,97209,364990,1.0,1.0,831.0,,1910.0,425.0,http://www.redfin.com/OR/Portland/1420-NW-Lovejoy-St-97209/unit-201/home/26372212,45.5299022,-122.6862342
7,Single Family Residential,7053 NW Snowdrop Ter,Portland,OR,97229,500000,4.0,2.5,1764.0,3049.0,2016.0,,http://www.redfin.com/OR/Portland/7053-NW-Ashbrook-Dr-97229/home/112776074,45.570628,-122.830794
8,Single Family Residential,7315 SE 66th Ave,Portland,OR,97206,549000,4.0,2.5,2448.0,4791.0,2017.0,,http://www.redfin.com/OR/Portland/7315-SE-66th-Ave-97206/home/26440124,45.4701777,-122.59545800000001
9,Single Family Residential,1805 NE 55th Ave,Portland,OR,97213,675000,3.0,2.0,2769.0,4791.0,1930.0,,http://www.redfin.com/OR/Portland/1805-NE-55th-Ave-97213/home/26589852,45.5358064,-122.6070977
10,Single Family Residential,1905 SE Division St,Portland,OR,97202,699000,4.0,2.0,2288.0,5227.0,1924.0,,http://www.redfin.com/OR/Portland/1905-SE-Division-St-97202/home/26552803,45.505003,-122.6465749
11,Condo/Co-op,6621 N Columbia Way #4,Portland,OR,97203,269900,3.0,1.5,1017.0,,1999.0,300.0,http://www.redfin.com/OR/Portland/6621-N-Columbia-Way-97203/unit-4/home/26577015,45.5935755,-122.73094420000001
12,Condo/Co-op,6744 N Pittsburg Ave,Portland,OR,97203,320000,2.0,1.5,1007.0,,2007.0,360.0,http://www.redfin.com/OR/Portland/6744-N-Pittsburg-Ave-97203/home/26445881,45.5868404,-122.7585557
13,Townhouse,6917 N Newcastle Ave,Portland,OR,97217,575000,4.0,2.5,2304.0,2613.0,2010.0,,http://www.redfin.com/OR/Portland/6917-N-Newcastle-Ave-97217/home/25838891,45.572795299999996,-122.69016640000001
14,Townhouse,1612 SE Clatsop St,Portland,OR,97202,749900,3.0,2.5,2440.0,2613.0,2016.0,,http://www.redfin.com/OR/Portland/1612-SE-Clatsop-St-97202/home/101096363,45.4606044,-122.6486176
15,Condo/Co-op,1926 W Burnside St #1108,Portland,OR,97209,315000,1.0,1.0,718.0,,2006.0,306.0,http://www.redfin.com/OR/Portland/1926-W-Burnside-St-97209/unit-1108/home/25742860,45.522831599999996,-122.6908851
16,Single Family Residential,4000 SW View Point Ter,Portland,OR,97239,549900,4.0,2.0,2140.0,4791.0,1925.0,,http://www.redfin.com/OR/Portland/4000-SW-View-Point-Ter-97239/home/26507656,45.4942855,-122.67783829999999
17,Single Family Residential,11390 NW Odeon Ln,Portland,OR,97229,685000,3.0,2.5,2803.0,4356.0,2014.0,30.0,http://www.redfin.com/OR/Portland/11390-NW-Odeon-Ln-97229/home/56335592,45.53672529999999,-122.7936916
