,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Condo/Co-op,2920 Briarwood Rd Unit B10,Bonita,CA,91902,325000,1,1.0,599,,1980,257.0,http://www.redfin.com/CA/Bonita/2920-Briarwood-Rd-91902/unit-B10/home/6056880,32.6801289,-117.03032079999998
1,Townhouse,273 Rancho Unit D,Chula Vista,CA,91911,425000,3,1.5,1274,,1976,175.0,http://www.redfin.com/CA/Chula-Vista/273-Rancho-Dr-91911/unit-D/home/6139051,32.5919014,-117.0389548
2,Condo/Co-op,247 Rancho Dr Unit A,Chula Vista,CA,91911,370000,3,1.5,1228,957.0,1977,225.0,http://www.redfin.com/CA/Chula-Vista/247-Rancho-Dr-91911/unit-A/home/6139199,32.592208899999996,-117.04149699999999
3,Condo/Co-op,271 Sea Forest Ct,Del Mar,CA,92014,1098000,2,2.0,1308,,1974,701.0,http://www.redfin.com/CA/Del-Mar/271-Sea-Forest-Ct-92014/home/4427275,32.9468249,-117.261325
4,Single Family Residential,14705 Caminito Mar De Plata,Del Mar,CA,92014,1599000,3,2.5,2444,6203.0,1980,350.0,http://www.redfin.com/CA/Del-Mar/14705-Caminito-Mar-De-Plata-92014/home/4401966,32.982359,-117.2474956
5,Single Family Residential,14778 Caminito Punta Arenas,Del Mar,CA,92014,1550000,4,2.5,3057,5763.0,1988,415.0,http://www.redfin.com/CA/Del-Mar/14778-Caminito-Punta-Arenas-92014/home/4402227,32.9842934,-117.2446416
6,Condo/Co-op,914 Intrepid Ct,Del Mar,CA,92014,774999,2,2.5,1298,,1985,573.0,http://www.redfin.com/CA/Del-Mar/914-Intrepid-Ct-92014/home/4394862,32.982933,-117.252324
7,Single Family Residential,12911 Biscayne Cv,Del Mar,CA,92014,1495000,3,2.0,1518,8600.0,1972,,http://www.redfin.com/CA/Del-Mar/12911-Biscayne-Cv-92014/home/4438754,32.935740700000004,-117.24471580000001
8,Single Family Residential,2939 SUNSET Hls,Escondido,CA,92025,1500000,4,3.0,2053,46173.0,2017,,http://www.redfin.com/CA/Escondido/2939-Sunset-Hls-92025/home/4198193,33.0767843,-117.0363652
9,Condo/Co-op,1450 Iris Ave #16,Imperial Beach,CA,91932,265000,1,1.0,610,,1969,196.0,http://www.redfin.com/CA/Imperial-Beach/1450-Iris-Ave-91932/unit-16/home/17108470,32.5694505,-117.10248759999999
10,Condo/Co-op,8870 Villa La Jolla Dr #301,La Jolla,CA,92037,649900,2,2.0,1080,95224.0,1985,461.0,http://www.redfin.com/CA/La-Jolla/8870-Villa-La-Jolla-Dr-92037/unit-301/home/4867353,32.8698143,-117.23555420000001
11,Condo/Co-op,3138 Morning Way,La Jolla,CA,92037,899000,2,2.5,1714,,1980,390.0,http://www.redfin.com/CA/La-Jolla/3138-Morning-Way-92037/home/4866833,32.868848,-117.23480900000001
12,Condo/Co-op,2420 Torrey Pines Rd Unit A104,La Jolla,CA,92037,899000,3,2.5,1656,,1977,500.0,http://www.redfin.com/CA/La-Jolla/2420-Torrey-Pines-Rd-92037/unit-A104/home/4879172,32.8512212,-117.2500886
13,Condo/Co-op,7555 Eads Ave #17,La Jolla,CA,92037,1150000,2,2.0,1646,21004.0,1990,605.0,http://www.redfin.com/CA/La-Jolla/7555-Eads-Ave-92037/unit-17/home/6629222,32.8411186,-117.27492009999999
14,Condo/Co-op,8440 Via Mallorca #229,La Jolla,CA,92037,365000,1,1.0,506,292032.0,2005,220.0,http://www.redfin.com/CA/La-Jolla/8440-Via-Mallorca-92037/unit-229/home/6681278,32.8605743,-117.23478020000002
15,Single Family Residential,8946 La Jolla Scenic Dr N,La Jolla,CA,92037,1595000,4,3.0,2458,8500.0,1982,,http://www.redfin.com/CA/La-Jolla/8946-La-Jolla-Scenic-Dr-N-92037/home/4864681,32.8690194,-117.24077120000001
16,Townhouse,7597 EADS Ave Unit E,La Jolla,CA,92037,1768000,3,2.5,2362,12088.0,1987,400.0,http://www.redfin.com/CA/La-Jolla/7597-Eads-Ave-92037/unit-E/home/4911207,32.8419766,-117.27521229999999
17,Single Family Residential,6075 Caroldale Row,La Jolla,CA,92037,1495000,4,3.5,2939,6204.0,1996,350.0,http://www.redfin.com/CA/La-Jolla/6075-Caroldale-Row-92037/home/4944259,32.8308783,-117.23828519999999
18,Condo/Co-op,5460 La Jolla Blvd Unit G102,La Jolla,CA,92037,1259000,3,2.0,1827,77467.0,2005,629.0,http://www.redfin.com/CA/La-Jolla/5460-La-Jolla-Blvd-92037/unit-G102/home/6650652,32.8118562,-117.2683023
19,Condo/Co-op,7514 Girard Ave Unit G,La Jolla,CA,92037,639000,2,1.0,734,20994.0,1996,738.0,http://www.redfin.com/CA/La-Jolla/7514-Girard-Ave-92037/unit-G/home/12110189,32.840688899999996,-117.2728013
