,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Single Family Residential,2122 42nd Ave,San Francisco,CA,94116,1249000,2.0,1.0,,2996.0,1947.0,,http://www.redfin.com/CA/San-Francisco/2122-42nd-Ave-94116/home/650255,37.7470845,-122.5004754
1,Condo/Co-op,3690 17th St,San Francisco,CA,94114,1495000,3.0,2.0,1336.0,,1994.0,325.0,http://www.redfin.com/CA/San-Francisco/3690-17th-St-94114/home/1873817,37.7630045,-122.42823729999999
2,Single Family Residential,28-30 Santa Marina,San Francisco,CA,94110,2600000,6.0,4.0,2872.0,2500.0,,,http://www.redfin.com/CA/San-Francisco/28-30-Santa-Marina-St-94110/home/172641283,37.74017952,-122.4225591
3,Condo/Co-op,1998 Broadway #807,San Francisco,CA,94109,1495000,2.0,2.0,1030.0,,1964.0,1251.0,http://www.redfin.com/CA/San-Francisco/1998-Broadway-94109/unit-807/home/1865773,37.7952766,-122.4297868
4,Condo/Co-op,47 Beideman St,San Francisco,CA,94115,1695000,2.0,1.5,1962.0,,1900.0,285.0,http://www.redfin.com/CA/San-Francisco/47-Beideman-St-94115/home/594065,37.782188,-122.438629
5,Condo/Co-op,330 Mission Bay Blvd #116,San Francisco,CA,94158,1695000,2.0,2.0,1569.0,,2008.0,1011.0,http://www.redfin.com/CA/San-Francisco/330-Mission-Bay-Blvd-N-94158/unit-116/home/23424492,37.771662,-122.3874533
6,Single Family Residential,1461 7th Ave,San Francisco,CA,94122,1995000,4.0,1.5,2050.0,2996.0,1922.0,,http://www.redfin.com/CA/San-Francisco/1461-7th-Ave-94122/home/634033,37.7611141,-122.46416129999999
7,Condo/Co-op,435 China Basin St #544,San Francisco,CA,94158,1730000,2.0,2.0,1372.0,,2012.0,864.0,http://www.redfin.com/CA/San-Francisco/435-China-Basin-St-94158/unit-544/home/40629363,37.771593599999996,-122.38858929999999
8,Condo/Co-op,28 Santa Marina St,San Francisco,CA,94110,1300000,3.0,2.0,1436.0,,1977.0,,http://www.redfin.com/CA/San-Francisco/28-Santa-Marina-St-94110/home/1986126,37.740176700000006,-122.4225598
9,Condo/Co-op,30 Santa Marina St,San Francisco,CA,94110,1300000,3.0,2.0,1436.0,,1977.0,,http://www.redfin.com/CA/San-Francisco/30-Santa-Marina-St-94110/home/172482739,37.7403117,-122.4225285
