,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Condo/Co-op,1105 Spring St #911,Seattle,WA,98104,299000,1,1.0,630,,1950,455.0,http://www.redfin.com/WA/Seattle/1105-Spring-St-98104/unit-911/home/12305611,47.6099769,-122.32532890000002
1,Townhouse,316 26th Ave S Unit A,Seattle,WA,98144,599950,3,2.25,1110,979.0,2008,,http://www.redfin.com/WA/Seattle/316-26th-Ave-S-98144/unit-A/home/143902,47.5997985,-122.29817290000001
2,Townhouse,3017 S Nevada St,Seattle,WA,98108,615000,2,2.25,1270,1685.0,2012,396.0,http://www.redfin.com/WA/Seattle/3017-S-Nevada-St-98108/home/28582099,47.5645988,-122.2946822
3,Condo/Co-op,211 Summit Ave E Unit S320,Seattle,WA,98102,375000,1,1.0,557,,1984,331.0,http://www.redfin.com/WA/Seattle/211-Summit-Ave-E-98102/unit-S320/home/32120,47.6200652,-122.32588799999999
4,Townhouse,2650 NW 62nd St,Seattle,WA,98107,930000,3,2.25,1880,1170.0,2016,,http://www.redfin.com/WA/Seattle/2650-NW-62nd-St-98107/home/101611444,47.673999,-122.39242820000001
5,Condo/Co-op,530 Broadway E #114,Seattle,WA,98102,545999,1,1.5,814,,2007,505.0,http://www.redfin.com/WA/Seattle/530-Broadway-E-98102/unit-114/home/21616767,47.6238938,-122.32036809999998
6,Single Family Residential,13105 1st Ave NW,Seattle,WA,98177,1125000,4,2.75,3160,10032.0,2005,,http://www.redfin.com/WA/Seattle/13105-1st-Ave-NW-98177/home/95938,47.724484000000004,-122.3585226
7,Single Family Residential,1415 3rd Ave W Unit B,Seattle,WA,98119,949900,2,2.5,1886,973.0,2007,,http://www.redfin.com/WA/Seattle/1415-3rd-Ave-W-98119/unit-B/home/12304132,47.6317743,-122.3609257
8,Townhouse,4714 Delridge Way SW,Seattle,WA,98106,565000,3,1.75,1420,1060.0,2015,,http://www.redfin.com/WA/Seattle/4714-Delridge-Way-SW-98106/home/99782654,47.5606164,-122.36263729999999
9,Single Family Residential,7536 21st Ave SW,Seattle,WA,98106,769000,3,2.5,2100,7178.0,2014,,http://www.redfin.com/WA/Seattle/7536-21st-Ave-SW-98106/home/50269675,47.5343843,-122.36022539999999
