,property_type,address,city,state,zip_code,price,beds,baths,square_feet,lot_size,year_built,hoa_permonth,url,latitude,longitude
0,Condo/Co-op,834 Lamont St NW Unit A,Washington DC,DC,20010,549900,1.0,1.5,760.0,,2005.0,114.0,http://www.redfin.com/DC/Washington/834-Lamont-St-NW-20010/unit-A/home/96689117,38.93066029999999,-77.02608190000001
1,Townhouse,4919 7th St NW,Washington DC,DC,20011,809000,4.0,3.5,2000.0,1530.0,1927.0,,http://www.redfin.com/DC/Washington/4919-7th-St-NW-20011/home/10057672,38.95047879999999,-77.02182320000001
2,Townhouse,1111 R St NW,Washington DC,DC,20009,899900,2.0,2.0,1398.0,497.0,1900.0,,http://www.redfin.com/DC/Washington/1111-R-St-NW-20009/home/9875540,38.9127789,-77.0274908
3,Condo/Co-op,1423 R St NW Unit G1,Washington DC,DC,20009,369000,1.0,1.0,581.0,,1925.0,255.0,http://www.redfin.com/DC/Washington/1423-R-St-NW-20009/unit-G1/home/9869940,38.9128892,-77.0331238
4,Condo/Co-op,437 New York Ave NW #222,Washington DC,DC,20001,525000,1.0,1.0,870.0,,2008.0,614.0,http://www.redfin.com/DC/Washington/437-New-York-Ave-NW-20001/unit-222/home/21645108,38.904947799999995,-77.017092
5,Condo/Co-op,3911 Langley Ct NW Unit A559,Washington DC,DC,20016,595000,2.0,2.5,1322.0,,1942.0,696.0,http://www.redfin.com/DC/Washington/3911-Langley-Ct-NW-20016/unit-A559/home/9963442,38.936992100000005,-77.07765859999999
6,Single Family Residential,4815 47th St NW,Washington DC,DC,20016,925000,3.0,2.0,1884.0,4000.0,1932.0,,http://www.redfin.com/DC/Washington/4815-47th-St-NW-20016/home/9947760,38.9526637,-77.09239709999999
7,Townhouse,4113 Stanley St SE,Washington DC,DC,20019,340000,3.0,1.5,1088.0,2625.0,1947.0,,http://www.redfin.com/DC/Washington/4113-Stanley-St-SE-20019/home/10137376,38.871596999999994,-76.9379359
8,Condo/Co-op,922 24th St NW #621,Washington DC,DC,20037,444900,1.0,1.0,641.0,,1962.0,842.0,http://www.redfin.com/DC/Washington/922-24th-St-NW-20037/unit-621/home/9044755,38.901138200000005,-77.05123370000001
9,Condo/Co-op,625 3rd St NE #6,Washington DC,DC,20002,825000,2.0,2.5,1319.0,,1910.0,407.0,http://www.redfin.com/DC/Washington/625-3rd-St-NE-20002/unit-6/home/9892813,38.8977244,-77.0018537
10,Condo/Co-op,1441 Rhode Island Ave NW #205,Washington DC,DC,20005,519000,1.0,1.0,689.0,,2003.0,446.0,http://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-205/home/21647954,38.9086412,-77.0337767
11,Townhouse,36 Florida Ave NW,Washington DC,DC,20001,949000,3.0,2.5,2364.0,750.0,1900.0,,http://www.redfin.com/DC/Washington/36-Florida-Ave-NW-20002/home/9888093,38.91148575,-77.01111065
12,Condo/Co-op,901 D St NE #208,Washington DC,DC,20002,899000,2.0,2.0,1478.0,,1903.0,550.0,http://www.redfin.com/DC/Washington/901-D-St-NE-20002/unit-208/home/81803517,38.894436799999994,-76.9934083
13,Condo/Co-op,1435 Corcoran St NW #5,Washington DC,DC,20009,595000,2.0,1.0,810.0,,1981.0,250.0,http://www.redfin.com/DC/Washington/1435-Corcoran-St-NW-20009/unit-5/home/9870241,38.9120071,-77.032842
14,Condo/Co-op,1830 17th St NW #402,Washington DC,DC,20009,450000,1.0,1.0,678.0,,1901.0,349.0,http://www.redfin.com/DC/Washington/1830-17th-St-NW-20009/unit-402/home/9859017,38.914991,-77.0386462
15,Condo/Co-op,1421 Columbia Rd NW #404,Washington DC,DC,20009,559000,3.0,2.0,956.0,,1910.0,542.0,http://www.redfin.com/DC/Washington/1421-Columbia-Rd-NW-20009/unit-404/home/10014039,38.9277056,-77.0335781
16,Condo/Co-op,1632 30th St NW #1,Washington DC,DC,20007,739900,2.0,2.5,1023.0,,1940.0,413.0,http://www.redfin.com/DC/Washington/1632-30th-St-NW-20007/unit-1/home/9931447,38.911476,-77.05944129999999
17,Condo/Co-op,800 4th St SW Unit S425,Washington DC,DC,20024,309000,0.0,1.0,517.0,,1959.0,369.0,http://www.redfin.com/DC/Washington/800-4th-St-SW-20024/unit-S425/home/12532042,38.880273700000004,-77.0167905
18,Townhouse,1217 10th St NW Unit A,Washington DC,DC,20001,1499000,2.0,2.5,2152.0,,1890.0,300.0,http://www.redfin.com/DC/Washington/1217-10th-St-NW-20001/unit-A/home/12295189,38.9064358,-77.0258382
19,Condo/Co-op,3500 13th St NW #302,Washington DC,DC,20010,379000,1.0,1.0,621.0,,1928.0,341.0,http://www.redfin.com/DC/Washington/3500-13th-St-NW-20010/unit-302/home/11745077,38.932434,-77.0300677
20,Condo/Co-op,2920 Georgia NW #303,Washington DC,DC,20001,599900,2.0,2.0,971.0,,2014.0,497.0,http://www.redfin.com/DC/Washington/2920-Georgia-Ave-NW-20001/unit-303/home/76472547,38.927730100000005,-77.0234539
21,Single Family Residential,4108 Martin Luther King Jr Ave SW,Washington DC,DC,20032,540000,3.0,2.0,1040.0,5451.0,1941.0,,http://www.redfin.com/DC/Washington/4108-Martin-Luther-King-Jr-Ave-SW-20032/home/10169450,38.8291212,-77.01215079999999
22,Condo/Co-op,2020 12th St NW Ph 12,Washington DC,DC,20009,1149000,2.0,2.0,1365.0,,2005.0,914.0,http://www.redfin.com/DC/Washington/2020-12th-St-NW-20009/unit-12/home/143206848,38.9178211,-77.0284248
23,Condo/Co-op,1524 Independence Ave SE #102,Washington DC,DC,20003,500000,2.0,2.0,999.0,,1956.0,413.0,http://www.redfin.com/DC/Washington/1524-Independence-Ave-SE-20003/unit-102/home/21647128,38.8878602,-76.982922
24,Condo/Co-op,1215 N St NW #4,Washington DC,DC,20005,475000,1.0,1.0,567.0,,1875.0,315.0,http://www.redfin.com/DC/Washington/1215-N-St-NW-20005/unit-4/home/45397407,38.9074968,-77.0288523
25,Condo/Co-op,1225 Raum St NE #3,Washington DC,DC,20002,574900,2.0,2.0,1252.0,,1937.0,230.0,http://www.redfin.com/DC/Washington/1225-Raum-St-NE-20002/unit-3/home/172574008,38.9084136,-76.9850302
26,Townhouse,547 11th St SE,Washington DC,DC,20003,980000,4.0,3.0,2180.0,1184.0,1900.0,,http://www.redfin.com/DC/Washington/547-11th-St-SE-20003/home/9907656,38.8814749,-76.99176870000001
27,Condo/Co-op,420 16th St SE Unit A,Washington DC,DC,20003,424900,2.0,1.0,720.0,,1947.0,306.0,http://www.redfin.com/DC/Washington/420-16th-St-SE-20003/unit-A/home/28496601,38.883431099999996,-76.98181269999999
28,Condo/Co-op,560 N St SW Unit N8906,Washington DC,DC,20024,595000,1.0,1.5,984.0,,1966.0,1263.0,http://www.redfin.com/DC/Washington/560-N-St-SW-20024/unit-N8906/home/143315453,38.8744033,-77.01939279999999
29,Condo/Co-op,920 I St NW #604,Washington DC,DC,20001,750000,1.0,1.5,878.0,,2013.0,1048.0,http://www.redfin.com/DC/Washington/920-I-St-NW-20001/unit-604/home/55187025,38.9003514,-77.02497
30,Condo/Co-op,555 Massachusetts Ave NW #408,Washington DC,DC,20001,474900,1.0,1.0,658.0,,2005.0,458.0,http://www.redfin.com/DC/Washington/555-Massachusetts-Ave-NW-20001/unit-408/home/10347840,38.901746,-77.01929270000001
31,Condo/Co-op,1340 W St NW Unit A,Washington DC,DC,20009,1299000,2.0,2.5,1700.0,,1895.0,250.0,http://www.redfin.com/DC/Washington/1340-W-St-NW-20009/unit-A/home/172275224,38.918984,-77.031297
32,Condo/Co-op,1333 Euclid St NW #102,Washington DC,DC,20009,549900,1.0,1.5,832.0,,1954.0,300.0,http://www.redfin.com/DC/Washington/1333-Euclid-St-NW-20009/unit-102/home/55188225,38.924057899999994,-77.0309595
