PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Single Family Residential,832 Southbend Ln,Vestavia Hills,AL,35243,650000,3,2.5,,9147,2020,67,http://www.redfin.com/AL/Vestavia-Hills/Unknown-35216/home/167823281,33.4399,-86.7936
Single Family Residential,833 Southbend Ln,Vestavia Hills,AL,35243,650000,3,2.5,,15681,2020,67,http://www.redfin.com/AL/Vestavia-Hills/Unknown-35216/home/167823263,33.4399,-86.7936
Single Family Residential,829 Southbend Ln,Vestavia Hills,AL,35243,650000,3,2.5,,28749,2020,67,http://www.redfin.com/AL/Vestavia-Hills/Unknown-35216/home/167823262,33.4399,-86.7936
Single Family Residential,Lot 3 Sunset Rdg,Homewood,AL,35226,449500,4,3,2180,18730,2020,0,http://www.redfin.com/AL/Birmingham/Lot-3-Sunset-RDG-35226/home/172644077,33.4092779,-86.8320743
Single Family Residential,3784 Poe Dr,Vestavia Hills,AL,35223,789900,5,4,3305,6969,2020,0,http://www.redfin.com/AL/Vestavia-Hills/3784-Poe-Dr-35223/home/165183411,33.468364,-86.733714
Single Family Residential,1803 Helen Ridge Cir,Vestavia Hills,AL,35242,551465,4,3,2771,7405,2020,54,http://www.redfin.com/AL/Vestavia-Hills/1803-Helen-Ridge-Cir-35243/home/172616008,33.453198,-86.7151199
Single Family Residential,4577 Reflection Cv,Vestavia Hills,AL,35242,616408,5,4,3102,,2020,117,http://www.redfin.com/AL/Vestavia-Hills/Reflection-Cv-35242/home/167786351,33.49341,-86.654502
Single Family Residential,3328 Bend Cir,Vestavia Hills,AL,35216,719000,4,3.5,3289,,2020,67,http://www.redfin.com/AL/Hoover/3328-S-Bend-Cir-35216/home/167823246,33.4085502,-86.7824116
Single Family Residential,3320 Bend Cir,Vestavia Hills,AL,35216,699900,4,3.5,3485,,2020,67,http://www.redfin.com/AL/Vestavia-Hills/3320-S-Bend-Cir-35216/home/167823248,33.4085109,-86.7821918
Single Family Residential,4712 Jackson Loop,Vestavia Hills,AL,35242,535853,4,3.5,2772,,2020,117,http://www.redfin.com/AL/Vestavia-Hills/4712-Jackson-Loop-35242/home/165218882,33.4878761,-86.6559773
Single Family Residential,1789 Helen Ridge Cir,Vestavia Hills,AL,35242,558230,4,3,2778,8712,2020,54,http://www.redfin.com/AL/Vestavia-Hills/1789-Helen-Ridge-Cir-35243/home/171297886,33.452856,-86.715131
Single Family Residential,1796 Helen Ridge Cir,Vestavia Hills,AL,35242,596000,5,4.5,3368,12632,2020,54,http://www.redfin.com/AL/Vestavia-Hills/1796-Helen-Ridge-Cir-35243/home/171351862,33.453198,-86.7151199
Single Family Residential,1739 Helen Ridge Dr,Vestavia Hills,AL,35242,603000,5,4.5,3667,10454,2020,54,http://www.redfin.com/AL/Vestavia-Hills/1739-Vestlake-Ridge-Dr-35242/home/171477323,33.4911,-86.6546578
Single Family Residential,1727 Helen Ridge Dr,Vestavia Hills,AL,35242,559806,4,3.5,2988,12632,2020,54,http://www.redfin.com/AL/Vestavia-Hills/1727-Helen-Ridge-Dr-35243/home/172666571,33.4547469,-86.7147144
Single Family Residential,1712 Collinwood Ct,Birmingham,AL,35243,615900,4,3.5,3190,4791,2020,50,http://www.redfin.com/AL/Birmingham/1712-Collinwood-Ct-35243/home/102268617,33.428567,-86.771221
Townhouse,3773 Fairhaven Dr,Vestavia Hills,AL,35223,699900,3,2.5,3245,5227,2020,0,http://www.redfin.com/AL/Mountain-Brook/3773-Fairhaven-Dr-35223/home/170949862,33.4684842,-86.7320203
Townhouse,3771 Fairhaven Dr,Vestavia Hills,AL,35223,679900,3,2.5,3290,5227,2020,0,http://www.redfin.com/AL/Vestavia-Hills/3771-Fairhaven-Dr-35223/home/165183404,33.4695528,-86.7320225
Townhouse,3769 Fairhaven Dr,Vestavia Hills,AL,35223,699900,4,3.5,3310,6534,2020,0,http://www.redfin.com/AL/Mountain-Brook/3769-Fairhaven-Dr-35223/home/170948519,33.46866,-86.7320215
Single Family Residential,912 Stonecrest Ct,Vestavia Hills,AL,35242,492390,4,3,2742,,2020,117,http://www.redfin.com/AL/Birmingham/912-Stonecrest-Ct-35242/home/167786370,33.49341,-86.654502
Single Family Residential,3187 Overton Cv,Vestavia Hills,AL,35223,969900,5,4,3593,9583,2020,150,http://www.redfin.com/AL/Mountain-Brook/3187-Overton-Cv-35223/home/165220432,33.4710861,-86.7315736
Single Family Residential,1789 Murray Hill Rd,Homewood,AL,35216,1750000,7,6.5,5870,26136,2020,0,http://www.redfin.com/AL/Vestavia-Hills/1789-Murray-Hill-Rd-35216/home/80981644,33.450316,-86.803544
Single Family Residential,3982 Natchez Dr,Vestavia Hills,AL,35243,634900,4,3.5,2909,6969,2020,0,http://www.redfin.com/AL/Vestavia-Hills/3982-Natchez-Dr-35243/home/80950064,33.4615202,-86.7441035
Single Family Residential,1109 Winward Ln,Vestavia Hills,AL,35216,629900,4,3.5,2909,10018,2020,0,http://www.redfin.com/AL/Vestavia-Hills/1109-Winward-Ln-35216/home/165079258,33.438037,-86.793312
Single Family Residential,2428 Dolly Ridge Rd,Vestavia Hills,AL,35243,839900,4,4,3308,20037,2020,0,http://www.redfin.com/AL/Vestavia-Hills/2428-Dolly-Ridge-Rd-35243/home/169436844,33.4232357,-86.7693262
Single Family Residential,2424 Dolly Ridge Rd,Vestavia Hills,AL,35243,849900,4,4,3523,27007,2020,0,http://www.redfin.com/AL/Vestavia-Hills/2424-Dolly-Ridge-Rd-35243/home/80957876,33.4230601,-86.7693771
