SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2100 N 17th St,Boise,ID,83702,899000,3,2.5,Thatcher Add,2500,6098,2020,1,360,,Active,,,http://www.redfin.com/ID/Boise/2100-N-17th-St-83702/home/106787373,IMLS,98776112,N,Y,43.6392354,-116.2090583
MLS Listing,,Single Family Residential,4797 Arrowhead Way,Boise,ID,83709,268900,3,1,Southwestern Su,1127,9583,1982,1,239,,Active,,,http://www.redfin.com/ID/Boise/4797-Arrowhead-Way-83709/home/106757342,IMLS,98776108,N,Y,43.5594337,-116.2763667
MLS Listing,,Single Family Residential,12572 W Hidden Valley Dr,Boise,ID,83709,359000,3,2,Umpqua,2008,8712,2006,1,179,28,Active,,,http://www.redfin.com/ID/Boise/12572-W-Hidden-Valley-Dr-83709/home/106695360,IMLS,98776057,N,Y,43.537023,-116.3383234
MLS Listing,,Single Family Residential,547 E Orion Ct,Boise,ID,83702,2490000,5,4.5,Somerset Ridge,4695,25351,2007,1,530,117,Active,,,http://www.redfin.com/ID/Boise/547-E-Orion-Ct-83702/home/106678567,IMLS,98776083,N,Y,43.6367055,-116.1830072
MLS Listing,,Townhouse,5883 S Blue Nile Ave,Boise,ID,83709,299900,3,2.5,Anaheim,1667,3876,2008,1,180,23,Active,,,http://www.redfin.com/ID/Boise/5883-S-Blue-Nile-Ave-83709/home/106715138,IMLS,98776061,N,Y,43.5498171,-116.3338805
MLS Listing,,Single Family Residential,3878 E Collingwood St,Meridian,ID,83642,340900,3,2,Meridian SW - 1010,1618,7100,2020,1,211,67,Active,,,http://www.redfin.com/ID/Meridian/3878-E-Collingwood-St-83642/home/172660841,IMLS,98776070,N,Y,43.5482851,-116.3459123
MLS Listing,,Single Family Residential,3460 N Jullion St,Boise,ID,83704,309900,3,2,Meadowlark Sub,1387,8276,1975,1,223,,Active,,,http://www.redfin.com/ID/Boise/3460-Jullion-St-83704/home/106749822,IMLS,98776036,N,Y,43.6362621,-116.3065022
MLS Listing,,Single Family Residential,9052 W Donnybrook Ct,Boise,ID,83709,339000,3,2,Maple Hill Sub,1706,7056,1978,1,199,30,Active,,,http://www.redfin.com/ID/Boise/W-Donnybrook-Dr-83709/home/106734633,IMLS,98775999,N,Y,43.601796,-116.295013
MLS Listing,,Single Family Residential,12763 W Broadleaf St,Boise,ID,83713,379900,4,2.5,Anthem,2648,7405,2009,1,143,30,Active,,,http://www.redfin.com/ID/Boise/12763-W-Broadleaf-St-83713/home/106782876,IMLS,98776043,N,Y,43.6349125,-116.3415095
MLS Listing,,Single Family Residential,4713 W Catalpa Dr,Boise,ID,83703,449000,3,2.5,Boise NW - 0800,2142,6098,2004,1,210,,Active,,,http://www.redfin.com/ID/Boise/4713-W-Catalpa-Dr-83703/home/106803222,IMLS,98776042,N,Y,43.655336,-116.247621
MLS Listing,,Single Family Residential,11438 W Jennie Lakes St,Boise,ID,83709,349900,3,2.5,Sequoia Ridge,1710,6534,2007,1,205,25,Active,,,http://www.redfin.com/ID/Boise/11438-W-Jennie-Lakes-St-83709/home/106676953,IMLS,98776025,N,Y,43.5485468,-116.3250011
MLS Listing,,Single Family Residential,9722 W Blue Meadows St,Boise,ID,83709,339900,3,2.5,Blue Meadows,1934,6098,2006,1,176,26,Active,,,http://www.redfin.com/ID/Boise/9722-W-Blue-Meadows-St-83709/home/106691738,IMLS,98775813,N,Y,43.5607951,-116.3031383
MLS Listing,,Single Family Residential,1215 W Melrose St,Boise,ID,83706,314900,2,1,Orchard Park Ad,960,6098,1955,1,328,,Active,,,http://www.redfin.com/ID/Boise/1215-W-Melrose-St-83706/home/106683920,IMLS,98775969,N,Y,43.5815026,-116.1968232
MLS Listing,,Single Family Residential,5490 S Pepperridge Way,Boise,ID,83709,437900,3,2,Peppertree,2008,10890,2008,1,218,23,Active,,,http://www.redfin.com/ID/Boise/5490-S-Pepperridge-Way-83709/home/106711768,IMLS,98775938,N,Y,43.5531359,-116.3207778
MLS Listing,,Single Family Residential,1502 N 24th St,Boise,ID,83702,1400000,5,4,Ellis Addition,3752,11761,2004,1,373,,Active,,,http://www.redfin.com/ID/Boise/1502-N-24th-St-83702/home/106766640,IMLS,98775937,N,Y,43.6340584,-116.2180046
MLS Listing,,Townhouse,5643 S Caper Ln,Boise,ID,83716-6930,249500,2,1.5,Columbia Villag,1101,3484,1998,1,227,104,Active,,,http://www.redfin.com/ID/Boise/5643-S-Caper-Pl-83716/home/106693464,IMLS,98775905,N,Y,43.550812,-116.134242
MLS Listing,,Single Family Residential,2026 E Goodman Ct,Boise,ID,83712,1100000,5,3.5,Trolley Est,4234,9583,1994,1,260,30,Active,,,http://www.redfin.com/ID/Boise/2026-E-Goodman-Ct-83712/home/106747513,IMLS,98775903,N,Y,43.600479,-116.1699787
MLS Listing,,Single Family Residential,2589 S Georgetown Pl #8129,Boise,ID,83709,399900,3,2,Charleston Plac,2011,10018,1998,1,199,20,Active,,,http://www.redfin.com/ID/Boise/2589-S-Georgetown-Pl-83709/unit-8129/home/172650629,IMLS,98775898,N,Y,43.5796462,-116.3092303
MLS Listing,,Townhouse,3455 S Poco Loco,Boise,ID,83705,235000,2,1.5,Greenland Sub,956,2613,1994,1,246,,Active,,,http://www.redfin.com/ID/Boise/3455-S-Poco-Loco-Pl-83705/home/106701199,IMLS,98775885,N,Y,43.5711352,-116.2014982
MLS Listing,,Single Family Residential,3595 E Mardia St,Meridian,ID,83642,479900,4,2.5,Century Farm,2570,7927,2020,3,187,50,Active,,,http://www.redfin.com/ID/Meridian/3595-E-Mardia-St-83642/home/172647401,IMLS,98775850,N,Y,43.5504833,-116.3494136
MLS Listing,,Single Family Residential,421 S Curtis #33,Boise,ID,83705,259900,3,2,Brooke View,1452,,2014,4,179,,Active,,,http://www.redfin.com/ID/Boise/421-S-Curtis-Rd-83705/unit-33/home/145176973,IMLS,98775814,N,Y,43.6012261,-116.2568018
MLS Listing,,Single Family Residential,1907 S lake Heron Ln,Boise,ID,83706-0000,710000,3,3,River Run Estates,2650,5227,1980,4,268,239,Active,August-5-2020 10:00 AM,August-5-2020 02:00 PM,http://www.redfin.com/ID/Boise/1907-Lake-Heron-Ln-83706/home/106703885,IMLS,98775806,N,Y,43.589835,-116.17109
MLS Listing,,Single Family Residential,7056 E Los Carneros Dr,Boise,ID,83706,615000,3,2.5,Boise NE - 0200,2055,6229,2020,4,299,50,Active,,,http://www.redfin.com/ID/Boise/7056-E-Los-Carneros-DR-83706/home/172644840,IMLS,98775799,N,Y,43.5921208,-116.1933302
MLS Listing,,Single Family Residential,7062 E Los Carneros Dr,Boise,ID,83716,615000,3,2.5,Boise NE - 0200,2070,6229,2020,4,297,50,Active,,,http://www.redfin.com/ID/Boise/7062-E-Los-Carneros-DR-Unknown/home/172644834,IMLS,98775798,N,Y,43.6150186,-116.2023137
MLS Listing,,Single Family Residential,7044 E Los Carneros Dr,Boise,ID,83716,615000,3,2.5,Boise NE - 0200,2070,6229,2020,4,297,50,Active,,,http://www.redfin.com/ID/Boise/7044-E-Los-Carneros-DR-Unknown/home/172644320,IMLS,98775785,N,Y,43.6150186,-116.2023137
MLS Listing,,Single Family Residential,7755 Bridlewood,Boise,ID,83704,350000,4,2,Manorwood Sub,1920,9583,1969,4,182,,Active,,,http://www.redfin.com/ID/Boise/7755-Bridlewood-Cir-83704/home/106663883,IMLS,98775764,N,Y,43.641396,-116.2784924
MLS Listing,,Condo/Co-op,1412 N McKinney Ln,Boise,ID,83704,349900,3,2.5,The Orchards at Fairview,1816,,2011,4,193,225,Active,,,http://www.redfin.com/ID/Boise/1412-N-McKinney-Ln-83704/home/106671953,IMLS,98775754,N,Y,43.6177455,-116.2670627
MLS Listing,,Single Family Residential,2003 N Cole,Boise,ID,83704,429000,9,4,Westland Acres,3400,10890,1956,4,126,,Active,,,http://www.redfin.com/ID/Boise/2003-N-Cole-Rd-83704/home/106652968,IMLS,98775753,N,Y,43.6232443,-116.2745084
