SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,7712 Unicorn Tapestry Ct,Las Vegas,NV,89149,289000,3,2.5,Astoria At Town Center-North,2222,1742,2007,6,130,80,Active,,,http://www.redfin.com/NV/Las-Vegas/7712-Unicorn-Tapestry-Ct-89149/home/29060658,GLVAR,2216877,N,Y,36.3013617,-115.2915501
MLS Listing,,Single Family Residential,10749 Moon Flower Arbor Pl,Las Vegas,NV,89144,404000,4,2.5,Rosewood By Pardee-Phase 2,1707,8712,2000,9,237,50,Active,,,http://www.redfin.com/NV/Las-Vegas/10749-Moon-Flower-Arbor-Pl-89144/home/29114387,GLVAR,2216669,N,Y,36.1698807,-115.330868
MLS Listing,,Single Family Residential,7285 Mer Soliel Ct,Las Vegas,NV,89118,405000,5,2.5,Warm Spgs / Jones,2641,3485,2018,12,153,24,Active,,,http://www.redfin.com/NV/Las-Vegas/7285-Mer-Soliel-Ct-89118/home/146416878,GLVAR,2215603,N,Y,36.0565963,-115.2327757
MLS Listing,,Condo/Co-op,7950 Flamingo Rd #2098,Las Vegas,NV,89147,153000,2,1,Buenos Aires Condo,957,1358,1994,23,160,150,Active,,,http://www.redfin.com/NV/Las-Vegas/7950-W-Flamingo-Rd-89147/unit-2098/home/29550535,GLVAR,2212130,N,Y,36.1175564,-115.2644523
MLS Listing,,Single Family Residential,2813 Red Springs Dr,Las Vegas,NV,89135,680000,3,3.5,Red Rock Cntry Club At Summerlin,2508,6970,1999,27,271,245,Active,,,http://www.redfin.com/NV/Las-Vegas/2813-Red-Springs-Dr-89135/home/29587231,GLVAR,2210323,N,Y,36.1389426,-115.3377891
MLS Listing,,Townhouse,10411 Kitty Joyce Ave,Las Vegas,NV,89129,249900,3,2.5,Cliff Shadows Twnhms,1611,1307,2007,29,155,200,Active,,,http://www.redfin.com/NV/Las-Vegas/10411-Kitty-Joyce-Ave-89129/home/29277188,GLVAR,2208772,N,Y,36.247521,-115.3243173
MLS Listing,,Single Family Residential,12310 Kings Meadow Ct,Las Vegas,NV,89138,505000,4,2.5,Andorra & Castille Phase 2,2407,5663,2014,35,210,40,Active,,,http://www.redfin.com/NV/Las-Vegas/12310-Kings-Meadow-Ct-89138/home/65558762,GLVAR,2208341,N,Y,36.1691867,-115.3670227
MLS Listing,,Single Family Residential,2745 Mccoy Dr,Las Vegas,NV,89134,340000,2,1.75,Sun City Summerlin,1629,7841,1990,36,209,122,Active,,,http://www.redfin.com/NV/Las-Vegas/2745-McCoy-Dr-89134/home/29153594,GLVAR,2207810,N,Y,36.2108743,-115.3045709
MLS Listing,,Single Family Residential,7651 Lots Hills Dr,Las Vegas,NV,89179,300000,3,2.5,Jasmine Falls At Mountains Edge - Phase 2,1740,2178,2014,48,172,38,Active,,,http://www.redfin.com/NV/Las-Vegas/7651-Hills-Dr-89179/home/65558925,GLVAR,2205767,N,Y,35.9952242,-115.2584993
MLS Listing,,Single Family Residential,10701 Button Willow Dr,Las Vegas,NV,89134,540000,3,2.5,Sun City Summerlin,2577,8276,1995,57,210,137,Active,,,http://www.redfin.com/NV/Las-Vegas/10701-Button-Willow-Dr-89134/home/29105516,GLVAR,2203176,N,Y,36.2069944,-115.3295254
MLS Listing,,Single Family Residential,8039 Villa Cano St,Las Vegas,NV,89131,499900,5,4.25,Stone Mountain,3775,6534,2004,82,132,80,Active,,,http://www.redfin.com/NV/Las-Vegas/8039-Villa-Cano-St-89131/home/29855139,GLVAR,2197367,N,Y,36.3062783,-115.2614861
MLS Listing,,Single Family Residential,8409 Lomack Ct,Las Vegas,NV,89145,273950,2,2,Willowcrest,1184,4356,1983,1,231,,Active,,,http://www.redfin.com/NV/Las-Vegas/8409-Lomack-Ct-89145/home/29215517,GLVAR,2219588,N,Y,36.1709109,-115.2756786
