SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9765 Vena Ave,Arleta,CA,91331,795000,5,3,ARL - Arleta,2080,7250,1948,8,382,,Active,,,http://www.redfin.com/CA/Arleta/9765-Vena-Ave-91331/home/5603468,CRISNet,SR20150793,N,Y,34.2478523,-118.4281074
MLS Listing,,Townhouse,3152 Casitas Ave,Atwater Village,CA,90039,1189000,4,3.5,606 - Atwater,1482,5398,1938,7,802,,Active,,,http://www.redfin.com/CA/Los-Angeles/3152-Casitas-Ave-90039/home/7065155,CRMLS,SW20152091,N,Y,34.1138743,-118.2497144
MLS Listing,,Single Family Residential,221 S Willaman Dr,Beverly Hills,CA,90211,4295000,4,5.5,Beverly Hills,4081,6499,2018,7,1052,,Active,,,http://www.redfin.com/CA/Beverly-Hills/221-S-Willaman-Dr-90211/home/6813621,TheMLS,20-611214,N,Y,34.0634956,-118.3806849
MLS Listing,,Condo/Co-op,300 N Swall Dr #451,Beverly Hills,CA,90211,1799000,2,2.5,Beverly Hills,2676,99725,1981,7,672,2275,Active,,,http://www.redfin.com/CA/Beverly-Hills/300-N-Swall-Dr-90211/unit-451/home/6815751,TheMLS,20-611044,N,Y,34.0710592,-118.385249
MLS Listing,,Vacant Land,1414 Donhill Dr,Beverly Hills,CA,90210,6995000,,,Beverly Hills Post Office,,52830,,8,,,Active,,,http://www.redfin.com/CA/Beverly-Hills/1414-Donhill-Dr-90210/home/6823576,TheMLS,20-610968,N,Y,34.0968585,-118.4170141
MLS Listing,,Single Family Residential,3570 Mandeville Canyon Rd,Brentwood,CA,90049,2195000,3,3,Brentwood,2477,8959,1956,8,886,,Active,,,http://www.redfin.com/CA/Los-Angeles/3570-Mandeville-Canyon-Rd-90049/home/6859276,TheMLS,20-606672,N,Y,34.1136106,-118.5003324
MLS Listing,,Condo/Co-op,23500 Park Sorrento Unit C23,Calabasas,CA,91302,1799000,3,4,CLB - Calabasas,2370,16037,2016,7,759,752,Active,,,http://www.redfin.com/CA/Calabasas/23500-Park-Sorrento-91302/unit-C23/home/167197624,CRISNet,SR20143924,N,Y,34.1556085,-118.6406539
MLS Listing,,Condo/Co-op,7226 Jordan Ave #3,Canoga Park,CA,91303,345000,2,2.5,CP - Canoga Park,1180,7427,1982,21,292,350,Contingent,,,http://www.redfin.com/CA/Canoga-Park/7226-Jordan-Ave-91303/unit-3/home/3730620,CRMLS,BB20138279,N,Y,34.2018725,-118.6025236
MLS Listing,,Single Family Residential,21742 Merridy St,Chatsworth,CA,91311,649000,4,2,CHT - Chatsworth,1573,5000,1977,7,413,,Active,,,http://www.redfin.com/CA/Chatsworth/21742-Merridy-St-91311/home/5841431,CRMLS,BB20150486,N,Y,34.2526686,-118.6031858
MLS Listing,,Townhouse,11215 Sierra Pass Pl,Chatsworth,CA,91311,549000,3,3,CHT - Chatsworth,1586,268184,1989,7,346,440,Contingent,,,http://www.redfin.com/CA/Chatsworth/11215-Sierra-Pass-Pl-91311/home/5801139,CRISNet,SR20151343,N,Y,34.274854,-118.60965
MLS Listing,,Single Family Residential,9803 Cactus Ave,Chatsworth,CA,91311,1129000,4,2.5,CHT - Chatsworth,2712,16756,1978,8,416,,Active,,,http://www.redfin.com/CA/Chatsworth/9803-Cactus-Ave-91311/home/5803044,CRISNet,SR20148628,N,Y,34.2481648,-118.6211688
MLS Listing,,Single Family Residential,22552 S Summit Ridge Cir,Chatsworth,CA,91311,1845000,4,4.5,CHT - Chatsworth,5006,45134,2001,8,369,475,Active,,,http://www.redfin.com/CA/Chatsworth/22552-S-Summit-Ridge-Cir-91311/home/5809333,CRISNet,SR20151297,N,Y,34.2394632,-118.6189173
MLS Listing,,Single Family Residential,9840 Andora Ave,Chatsworth,CA,91311,1089000,4,3,CHT - Chatsworth,2346,16295,1973,8,464,,Active,,,http://www.redfin.com/CA/Chatsworth/9840-Andora-Ave-91311/home/5803058,CRISNet,SR20151367,N,Y,34.2487819,-118.6206218
PAST SALE,November-29-1984,Single Family Residential,10235 De Soto Ave Unit E,Chatsworth,CA,91311,330000,2,2,CHT - Chatsworth,701,47323,1984,8,471,300,Pending,,,http://www.redfin.com/CA/Chatsworth/10235-De-Soto-Ave-91311/unit-E/home/5835901,CRISNet,SR20151135,N,Y,34.256327,-118.589254
MLS Listing,,Multi-Family (2-4 Unit),915 N Hazard Ave,City Terrace,CA,90063,688555,5,2,CTER - City Terrace,1709,6263,1925,8,403,,Active,,,http://www.redfin.com/CA/Los-Angeles/915-N-Hazard-Ave-90063/home/79785166,CRMLS,MB20151082,N,Y,34.0466119,-118.1800902
MLS Listing,,Single Family Residential,11316 Matteson Ave,Culver City,CA,90066,1149000,3,2,Culver City,1296,2628,1955,7,887,,Active,,,http://www.redfin.com/CA/Los-Angeles/11316-Matteson-Ave-90066/home/6726802,TheMLS,20-586252,N,Y,34.0091411,-118.4187177
MLS Listing,,Single Family Residential,4044 Coolidge Ave,Culver City,CA,90066,1050000,3,2,Culver City,1464,5400,1941,8,717,,Active,,,http://www.redfin.com/CA/Los-Angeles/4044-Coolidge-Ave-90066/home/6737962,TheMLS,20-610162,N,Y,34.0039656,-118.4194773
MLS Listing,,Single Family Residential,5008 Lockhaven Ave,Eagle Rock,CA,90041,829000,2,2,618 - Eagle Rock,1118,7293,1922,14,742,,Contingent,,,http://www.redfin.com/CA/Los-Angeles/5008-Lockhaven-Ave-90041/home/7176454,CRMLS,BB20145335,N,Y,34.1393684,-118.2236742
MLS Listing,,Single Family Residential,1020 Glen Arbor Ave,Eagle Rock,CA,90041,1100000,2,2,618 - Eagle Rock,1962,4420,1921,7,561,,Active,,,http://www.redfin.com/CA/Los-Angeles/1020-Glen-Arbor-Ave-90041/home/7084473,CRMLS,WS20151151,N,Y,34.1331239,-118.1881573
MLS Listing,,Multi-Family (2-4 Unit),1644 Lucretia Ave,Echo Park,CA,90026,1099995,4,3,699 - Not Defined,1623,3000,1921,8,678,,Active,,,http://www.redfin.com/CA/Los-Angeles/1644-Lucretia-Ave-90026/home/7055580,CRMLS,PW20146522,N,Y,34.0831378,-118.2550606
MLS Listing,,Multi-Family (2-4 Unit),515 W franklin,El Segundo,CA,90245,1850000,6,4,141 - El Segundo,3263,4059,1976,8,567,,Active,,,http://www.redfin.com/CA/El-Segundo/515-W-Franklin-Ave-90245/home/6655541,CRMLS,SB20127583,N,Y,33.9180515,-118.4213136
PAST SALE,,Condo/Co-op,945 Pepper St #209,El Segundo,CA,90245,295000,2,2,,1175,,1982,,251,,,,,http://www.redfin.com/CA/El-Segundo/945-Pepper-St-90245/unit-209/home/6644806,,,N,Y,33.9301423,-118.4154807
MLS Listing,,Condo/Co-op,5500 Lindley Ave #224,Encino,CA,91316,499000,2,1.75,ENC - Encino,1287,40493,1979,8,388,409,Active,,,http://www.redfin.com/CA/Encino/5500-Lindley-Ave-91316/unit-224/home/4116220,CRMLS,BB20149362,N,Y,34.1706185,-118.5265107
MLS Listing,,Condo/Co-op,5328 Newcastle Ave #42,Encino,CA,91316,329999,1,1,ENC - Encino,802,60951,1971,7,411,300,Active,,,http://www.redfin.com/CA/Encino/5328-Newcastle-Ave-91316/unit-42/home/4129242,CRISNet,SR20151471,N,Y,34.1678241,-118.5235896
MLS Listing,,Single Family Residential,16485 Garvin Dr,Encino,CA,91436,2695000,4,5,ENC - Encino,3939,20022,1985,7,684,,Active,,,http://www.redfin.com/CA/Encino/16485-Garvin-Dr-91436/home/4913098,CRISNet,SR20151956,N,Y,34.1505468,-118.4921994
MLS Listing,,Condo/Co-op,5151 Balboa Blvd #201,Encino,CA,91316,459000,2,2,Encino,956,23071,1988,8,480,325,Active,,,http://www.redfin.com/CA/Encino/5151-Balboa-Blvd-91316/unit-201/home/4782199,TheMLS,20-611056,N,Y,34.1645761,-118.5014717
MLS Listing,,Single Family Residential,18016 Boris Dr,Encino,CA,91316,1575000,3,2,ENC - Encino,2163,20288,1951,8,728,,Active,,,http://www.redfin.com/CA/Encino/18016-Boris-Dr-91316/home/4299082,CRISNet,SR20151262,N,Y,34.1539668,-118.5257268
MLS Listing,,Single Family Residential,706 W Alondra Blvd,Gardena,CA,90247,475000,2,1,116 - North Gateway,955,5851,1926,7,497,,Contingent,,,http://www.redfin.com/CA/Gardena/706-W-Alondra-Blvd-90247/home/7333795,CRMLS,SB20151633,N,Y,33.8850872,-118.2874005
MLS Listing,,Single Family Residential,1514 Fairfield St,Glendale,CA,91201,795000,4,2.5,Glendale-Northwest,1460,4781,1937,7,545,,Active,,,http://www.redfin.com/CA/Glendale/1514-Fairfield-St-91201/home/7150655,TheMLS,20-611350,N,Y,34.1603953,-118.2952561
