SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,901 Bayshore Blvd #308,San Francisco,CA,94124,196842,1,1.0,Silver Terrace,530,,2003,88,371,382,Active,,,http://www.redfin.com/CA/San-Francisco/901-Bayshore-Blvd-94124/unit-308/home/12402033,San Francisco MLS,497735,N,Y,37.732633,-122.4042121
MLS Listing,,Condo/Co-op,901 Bayshore Blvd #206,San Francisco,CA,94124,240000,1,1.0,Silver Terrace,506,,2003,88,474,374,Active,,,http://www.redfin.com/CA/San-Francisco/901-Bayshore-Blvd-94124/unit-206/home/12402030,San Francisco MLS,497737,N,Y,37.732633,-122.4042121
MLS Listing,,Condo/Co-op,1220 La Playa St #206,San Francisco,CA,94122,275800,1,1.0,Outer Sunset,606,,1961,55,455,257,Active,,,http://www.redfin.com/CA/San-Francisco/1220-La-Playa-St-94122/unit-206/home/1619696,San Francisco MLS,499430,N,Y,37.763504,-122.5090359
MLS Listing,,Condo/Co-op,1400 Mission St #310,San Francisco,CA,94103,335920,1,1.0,South of Market,631,,2015,14,532,435,Active,,,http://www.redfin.com/CA/San-Francisco/1400-Mission-St-94103/unit-310/home/109315221,San Francisco MLS,499135,N,Y,37.7752826,-122.4164899
MLS Listing,,Condo/Co-op,83 Mcallister St #310,San Francisco,CA,94102,349900,0,1.0,San Francisco,264,,2007,1,1325,390,Active,,,http://www.redfin.com/CA/San-Francisco/83-McAllister-St-94102/unit-310/home/21967093,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40915211,N,Y,37.7806999,-122.4132699
MLS Listing,,Condo/Co-op,1400 Mission St #906,San Francisco,CA,94103,355072,1,1.0,South of Market,635,,2015,26,559,436,Active,,,http://www.redfin.com/CA/San-Francisco/1400-Mission-St-94103/unit-906/home/109315192,San Francisco MLS,501286,N,Y,37.7752826,-122.4164899
MLS Listing,,Condo/Co-op,380 14th St #205,San Francisco,CA,94103,366537,1,1.0,Inner Mission,455,,2012,2,806,571,Active,,,http://www.redfin.com/CA/San-Francisco/380-14th-St-94103/unit-205/home/40625774,San Francisco MLS,502888,N,Y,37.7683409,-122.4217428
MLS Listing,,Condo/Co-op,55 Page St #315,SAN FRANCISCO,CA,94102,371490,1,1.0,SAN FRANCISCO,750,,2008,21,495,542,Active,,,http://www.redfin.com/CA/San-Francisco/55-Page-St-94102/unit-315/home/17304804,MLSListings,ML81801001,N,Y,37.7738899,-122.4218771
MLS Listing,,Condo/Co-op,1160 Mission St #809,San Francisco,CA,94103,372540,1,1.0,South of Market,764,,2008,7,488,781,Active,,,http://www.redfin.com/CA/San-Francisco/1160-Mission-St-94103/unit-809/home/17304458,San Francisco MLS,502563,N,Y,37.7787037,-122.4126341
MLS Listing,,Condo/Co-op,1400 Mission St #313,San Francisco,CA,94103,376375,2,2.0,South of Market,940,,2015,8,400,523,Active,,,http://www.redfin.com/CA/San-Francisco/1400-Mission-St-94103/unit-313/home/109278528,San Francisco MLS,502143,N,Y,37.7752826,-122.4164899
MLS Listing,,Condo/Co-op,855 Folsom St #941,San Francisco,CA,94107,395000,0,1.0,Yerba Buena,503,,2001,208,785,479,Active,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-941/home/12397900,San Francisco MLS,493168,N,Y,37.7807672,-122.4021418
MLS Listing,,Condo/Co-op,776 Tehama St #9,San Francisco,CA,94103,398000,1,1.0,South of Market,418,,2006,204,952,533,Active,,,http://www.redfin.com/CA/San-Francisco/776-Tehama-St-94103/unit-9/home/22886346,San Francisco MLS,493637,N,Y,37.775022,-122.4124606
MLS Listing,,Condo/Co-op,1535 Buchanan St #5,San Francisco,CA,94115,399000,3,2.0,Lower Pacific Height,1050,,,18,380,959,Active,,,http://www.redfin.com/CA/San-Francisco/1535-Buchanan-St-94115/unit-5/home/12401127,San Francisco MLS,501324,N,Y,37.784068,-122.4301069
MLS Listing,,Condo/Co-op,666 Post St #904,San Francisco,CA,94109,400000,1,1.0,Downtown,775,,1926,179,516,934,Active,,,http://www.redfin.com/CA/San-Francisco/666-Post-St-94109/unit-904/home/12400764,San Francisco MLS,494683,N,Y,37.7879056,-122.4129007
MLS Listing,,Condo/Co-op,520 Natoma St #11,San Francisco,CA,94103,410000,0,1.0,South of Market,350,,1911,49,1171,404,Active,,,http://www.redfin.com/CA/San-Francisco/520-Natoma-St-94103/unit-11/home/172079691,San Francisco MLS,499799,N,Y,37.779856,-122.4083003
MLS Listing,,Condo/Co-op,195 7th St #309,San Francisco,CA,94103,425000,0,1.0,South of Market,,,1991,46,,370,Active,,,http://www.redfin.com/CA/San-Francisco/195-7th-St-94103/unit-309/home/1272601,San Francisco MLS,499890,N,Y,37.7782751,-122.4094319
