SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2920 Briarwood Rd Unit B10,Bonita,CA,91902,325000,1,1,Bonita,599,,1980,5,543,257,Active,,,http://www.redfin.com/CA/Bonita/2920-Briarwood-Rd-91902/unit-B10/home/6056880,CRMLS,200036596,N,Y,32.6801289,-117.0303208
MLS Listing,,Townhouse,273 Rancho Unit D,Chula Vista,CA,91911,425000,3,1.5,Chula Vista,1274,,1976,1,334,175,Active,,,http://www.redfin.com/CA/Chula-Vista/273-Rancho-Dr-91911/unit-D/home/6139051,CRMLS,200037480,N,Y,32.5919014,-117.0389548
MLS Listing,,Condo/Co-op,247 Rancho Dr Unit A,Chula Vista,CA,91911,370000,3,1.5,Chula Vista,1228,957,1977,6,301,225,Active,,,http://www.redfin.com/CA/Chula-Vista/247-Rancho-Dr-91911/unit-A/home/6139199,SDMLS,200036325,N,Y,32.5922089,-117.041497
MLS Listing,,Multi-Family (2-4 Unit),3343-47 Lincoln Ave,City Heights,CA,92104,999000,3,3,North Park,,,1936,1,,,Active,,,http://www.redfin.com/CA/San-Diego/3343-Lincoln-Ave-92104/home/5320197,SDMLS,200037369,N,Y,32.7498346,-117.1213508
MLS Listing,,Condo/Co-op,271 Sea Forest Ct,Del Mar,CA,92014,1098000,2,2,Del Mar,1308,,1974,1,839,701,Active,,,http://www.redfin.com/CA/Del-Mar/271-Sea-Forest-Ct-92014/home/4427275,SDMLS,200037484,N,Y,32.9468249,-117.261325
MLS Listing,,Single Family Residential,14705 Caminito Mar De Plata,Del Mar,CA,92014,1599000,3,2.5,Del Mar,2444,6203,1980,1,654,350,Active,,,http://www.redfin.com/CA/Del-Mar/14705-Caminito-Mar-De-Plata-92014/home/4401966,CRMLS,200037421,N,Y,32.982359,-117.2474956
MLS Listing,,Single Family Residential,14778 Caminito Punta Arenas,Del Mar,CA,92014,1550000,4,2.5,DEM - Del Mar,3057,5763,1988,2,507,415,Active,,,http://www.redfin.com/CA/Del-Mar/14778-Caminito-Punta-Arenas-92014/home/4402227,CRMLS,WS20154963,N,Y,32.9842934,-117.2446416
MLS Listing,,Townhouse,,Del Mar,CA,92014,689000,3,2.5,Del Mar,1380,,1972,3,499,385,Active,,,http://www.redfin.com/CA/Del-Mar/Undisclosed-address-92014/home/4440936,SDMLS,200036937,N,Y,32.9374195,-117.2424366
MLS Listing,,Condo/Co-op,914 Intrepid Ct,Del Mar,CA,92014,774999,2,2.5,Del Mar,1298,,1985,3,597,573,Active,,,http://www.redfin.com/CA/Del-Mar/914-Intrepid-Ct-92014/home/4394862,SDMLS,200036857,N,Y,32.982933,-117.252324
MLS Listing,,Single Family Residential,12911 Biscayne Cv,Del Mar,CA,92014,1495000,3,2,Del Mar,1518,8600,1972,3,985,,Active,,,http://www.redfin.com/CA/Del-Mar/12911-Biscayne-Cv-92014/home/4438754,CRMLS,200036830,N,Y,32.9357407,-117.2447158
