SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2122 42nd Ave,San Francisco,CA,94116,1249000,2,1,Outer Parkside,,2996,1947,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/2122-42nd-Ave-94116/home/650255,San Francisco MLS,502548,N,Y,37.7470845,-122.5004754
MLS Listing,,Condo/Co-op,3690 17th St,San Francisco,CA,94114,1495000,3,2,Mission Dolores,1336,,1994,1,1119,325,Active,,,http://www.redfin.com/CA/San-Francisco/3690-17th-St-94114/home/1873817,San Francisco MLS,503050,N,Y,37.7630045,-122.4282373
MLS Listing,,Single Family Residential,28-30 Santa Marina,San Francisco,CA,94110,2600000,6,4,Bernal Heights,2872,2500,,3,905,,Active,,,http://www.redfin.com/CA/San-Francisco/28-30-Santa-Marina-St-94110/home/172641283,San Francisco MLS,501576,N,Y,37.74017952,-122.4225591
MLS Listing,,Condo/Co-op,1998 Broadway #807,San Francisco,CA,94109,1495000,2,2,Pacific Heights,1030,,1964,6,1451,1251,Active,,,http://www.redfin.com/CA/San-Francisco/1998-Broadway-94109/unit-807/home/1865773,San Francisco MLS,502830,N,Y,37.7952766,-122.4297868
MLS Listing,,Condo/Co-op,47 Beideman St,San Francisco,CA,94115,1695000,2,1.5,Western Addition,1962,,1900,8,864,285,Active,,,http://www.redfin.com/CA/San-Francisco/47-Beideman-St-94115/home/594065,San Francisco MLS,502653,N,Y,37.782188,-122.438629
MLS Listing,,Condo/Co-op,330 Mission Bay Blvd #116,San Francisco,CA,94158,1695000,2,2,Mission Bay,1569,,2008,16,1080,1011,Active,,,http://www.redfin.com/CA/San-Francisco/330-Mission-Bay-Blvd-N-94158/unit-116/home/23424492,San Francisco MLS,501809,N,Y,37.771662,-122.3874533
MLS Listing,,Single Family Residential,1461 7th Ave,San Francisco,CA,94122,1995000,4,1.5,Inner Sunset,2050,2996,1922,16,973,,Active,,,http://www.redfin.com/CA/San-Francisco/1461-7th-Ave-94122/home/634033,San Francisco MLS,501802,N,Y,37.7611141,-122.4641613
MLS Listing,,Condo/Co-op,435 China Basin St #544,San Francisco,CA,94158,1730000,2,2,Mission Bay,1372,,2012,22,1261,864,Active,,,http://www.redfin.com/CA/San-Francisco/435-China-Basin-St-94158/unit-544/home/40629363,San Francisco MLS,501363,N,Y,37.7715936,-122.3885893
MLS Listing,,Condo/Co-op,28 Santa Marina St,San Francisco,CA,94110,1300000,3,2,Bernal Heights,1436,,1977,23,905,,Active,,,http://www.redfin.com/CA/San-Francisco/28-Santa-Marina-St-94110/home/1986126,San Francisco MLS,501571,N,Y,37.7401767,-122.4225598
MLS Listing,,Condo/Co-op,30 Santa Marina St,San Francisco,CA,94110,1300000,3,2,Bernal Heights,1436,,1977,24,905,,Active,,,http://www.redfin.com/CA/San-Francisco/30-Santa-Marina-St-94110/home/172482739,San Francisco MLS,501025,N,Y,37.7403117,-122.4225285
MLS Listing,,Condo/Co-op,1734 Funston Ave,San Francisco,CA,94122,1098000,2,1,Golden Gate Heights,1262,,1954,27,870,,Active,,,http://www.redfin.com/CA/San-Francisco/1734-Funston-Ave-94122/home/172405861,San Francisco MLS,501258,N,Y,37.7558095,-122.4699284
MLS Listing,,Condo/Co-op,1781 Oak St #3,San Francisco,CA,94117,998000,2,1,Haight Ashbury,772,,1924,27,1293,250,Active,,,http://www.redfin.com/CA/San-Francisco/1781-Oak-St-94117/unit-3/home/69371364,San Francisco MLS,501021,N,Y,37.7714744,-122.4485572
MLS Listing,,Condo/Co-op,400 Beale St #811,San Francisco,CA,94105,999000,2,2,South Beach,990,,2002,28,1009,894,Active,,,http://www.redfin.com/CA/San-Francisco/400-Beale-St-94105/unit-811/home/869767,San Francisco MLS,501330,N,Y,37.7869049,-122.3909202
MLS Listing,,Condo/Co-op,886 Alabama St,San Francisco,CA,94110,1299000,4,2,Inner Mission,1500,,1900,31,866,,Active,,,http://www.redfin.com/CA/San-Francisco/886-Alabama-St-94110/home/147062861,San Francisco MLS,500379,N,Y,37.757823,-122.4116736
MLS Listing,,Condo/Co-op,1075 Market St #211,San Francisco,CA,94103,569998,0,1,SAN FRANCISCO,423,,2018,36,1348,626,Active,,,http://www.redfin.com/CA/San-Francisco/1075-Market-St-94103/unit-211/home/146122166,MLSListings,ML81799086,N,Y,37.7807996,-122.4118342
MLS Listing,,Condo/Co-op,1548 Jones St,San Francisco,CA,94109,1295000,2,2,Nob Hill,1158,,1910,43,1118,339,Active,,,http://www.redfin.com/CA/San-Francisco/1548-Jones-St-94109/home/56449599,San Francisco MLS,500358,N,Y,37.7956865,-122.4147746
MLS Listing,,Condo/Co-op,2040 Franklin St #1004,San Francisco,CA,94109,998000,1,1,Pacific Heights,919,,1966,49,1086,942,Active,,,http://www.redfin.com/CA/San-Francisco/2040-Franklin-St-94109/unit-1004/home/1483570,San Francisco MLS,499672,N,Y,37.7935189,-122.4243158
MLS Listing,,Condo/Co-op,260 King St #903,San Francisco,CA,94107,1099000,2,2,Mission Bay,1286,,2004,52,855,932,Active,,,http://www.redfin.com/CA/San-Francisco/260-King-St-94107/unit-903/home/22889838,San Francisco MLS,499673,N,Y,37.7776422,-122.3934181
MLS Listing,,Condo/Co-op,125 Gilbert St #5,San Francisco,CA,94103,899000,1,1.5,South of Market,1035,,1996,56,869,667,Active,,,http://www.redfin.com/CA/San-Francisco/125-Gilbert-St-94103/unit-5/home/12396098,San Francisco MLS,499540,N,Y,37.7730847,-122.4020908
MLS Listing,,Condo/Co-op,115 Carl St #3,San Francisco,CA,94117,685000,1,1,Parnassus/Ashbury Heights,572,,1964,66,1198,360,Active,,,http://www.redfin.com/CA/San-Francisco/115-Carl-St-94117/unit-3/home/169630912,San Francisco MLS,498923,N,Y,37.7655847,-122.4504283
MLS Listing,,Single Family Residential,1469 Palou Ave,San Francisco,CA,94124,1100000,4,2,Bayview,2362,2996,1900,72,466,,Active,,,http://www.redfin.com/CA/San-Francisco/1469-Palou-Ave-94124/home/747673,San Francisco MLS,498660,N,Y,37.7324071,-122.3886318
MLS Listing,,Single Family Residential,817 Guerrero St,San Francisco,CA,94110,2600000,2,2,Eureka Valley/Dolore,,2495,1900,92,,,Active,,,http://www.redfin.com/CA/San-Francisco/817-Guerrero-St-94110/home/1711073,San Francisco MLS,497382,N,Y,37.758045,-122.4232997
MLS Listing,,Condo/Co-op,51 Innes Ct #207,San Francisco,CA,94124,699777,1,1,San Francisco,720,,2017,118,972,504,Active,,,http://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/unit-207/home/160765879,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40901285,N,Y,37.7272117,-122.367848
MLS Listing,,Townhouse,13 Jennifer Pl,San Francisco,CA,94107,1099000,2,1,South of Market,1384,,2000,1,794,129,Active,,,http://www.redfin.com/CA/San-Francisco/13-Jennifer-Pl-94107/home/12396914,San Francisco MLS,503128,N,Y,37.7800244,-122.4023748
MLS Listing,,Condo/Co-op,3241 Mission St #8,San Francisco,CA,94110,675000,1,1,SAN FRANCISCO,639,,1980,1,1056,230,Active,,,http://www.redfin.com/CA/San-Francisco/3241-3243-Mission-St-94110/unit-8/home/144284923,MLSListings,ML81804663,N,Y,37.744802,-122.4199728
MLS Listing,,Single Family Residential,2205 Scott St,San Francisco,CA,94115,5900000,3,2.5,Pacific Heights,3158,2250,1924,1,1868,,Active,,,http://www.redfin.com/CA/San-Francisco/2205-Scott-St-94115/home/586557,San Francisco MLS,500201,N,Y,37.7903302,-122.4394361
MLS Listing,,Condo/Co-op,190 Cervantes Blvd #104,San Francisco,CA,94123,975000,1,1,Marina,775,,1992,1,1258,375,Active,,,http://www.redfin.com/CA/San-Francisco/190-Cervantes-Blvd-94123/unit-104/home/560183,San Francisco MLS,502842,N,Y,37.8049611,-122.440363
MLS Listing,,Condo/Co-op,140 South Van Ness Ave #740,San Francisco,CA,94103,1098000,2,2,South of Market,1115,,2002,1,985,598,Active,,,http://www.redfin.com/CA/San-Francisco/140-S-Van-Ness-Ave-94103/unit-740/home/1009232,San Francisco MLS,501277,N,Y,37.7715637,-122.4188013
MLS Listing,,Condo/Co-op,1800 Bryant St #213,San Francisco,CA,94110,1249000,1,2,Inner Mission,1124,,2000,1,1111,544,Active,,,http://www.redfin.com/CA/San-Francisco/1800-Bryant-St-94110/unit-213/home/1737371,San Francisco MLS,503120,N,Y,37.7640877,-122.4108277
MLS Listing,,Single Family Residential,67 Arago St,San Francisco,CA,94112,1750000,4,4,Mission Terrace,1816,1698,1930,1,964,,Active,,,http://www.redfin.com/CA/San-Francisco/67-Arago-St-94112/home/1130880,San Francisco MLS,502362,N,Y,37.7271455,-122.4432515
MLS Listing,,Single Family Residential,537 Grove St,San Francisco,CA,94102,4495000,4,4,Hayes Valley,3300,1304,1900,1,1362,,Active,,,http://www.redfin.com/CA/San-Francisco/537-Grove-St-94102/home/580313,San Francisco MLS,503168,N,Y,37.777262,-122.42545
MLS Listing,,Single Family Residential,440 Ivy St,San Francisco,CA,94102,6250000,4,4,Hayes Valley,3300,3150,1900,1,1894,,Active,,,http://www.redfin.com/CA/San-Francisco/440-Ivy-St-94102/home/144404592,San Francisco MLS,503158,N,Y,37.7771593,-122.4254234
MLS Listing,,Condo/Co-op,127 Belvedere St Unit A,San Francisco,CA,94110,1590000,3,2,Parnassus/Ashbury Heights,1850,,1900,1,859,562,Active,,,http://www.redfin.com/CA/San-Francisco/127-Belvedere-St-94117/unit-A/home/145294891,San Francisco MLS,503141,N,Y,37.7681502,-122.4496211
MLS Listing,,Condo/Co-op,568 Missouri St Unit A,San Francisco,CA,94107,1595000,2,2.5,Potrero Hill,1570,,2003,1,1016,340,Active,,,http://www.redfin.com/CA/San-Francisco/568-Missouri-St-94107/unit-A/home/102818852,San Francisco MLS,502649,N,Y,37.759129,-122.39651
MLS Listing,,Condo/Co-op,451 Kansas St #559,San Francisco,CA,94107,899000,1,1,Potrero Hill,784,,2007,1,1147,546,Active,,,http://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-559/home/23424592,San Francisco MLS,503212,N,Y,37.764113,-122.4029865
MLS Listing,,Condo/Co-op,1215 Rhode Island St,San Francisco,CA,94107,1495000,3,3,Potrero Hill,1857,,1900,1,805,,Active,,,http://www.redfin.com/CA/San-Francisco/1215-Rhode-Island-St-94107/home/1767801,San Francisco MLS,503105,N,Y,37.7543411,-122.4013086
MLS Listing,,Single Family Residential,232 Detroit St,San Francisco,CA,94131,1095000,2,1,Sunnyside,1372,2500,1925,1,798,,Active,,,http://www.redfin.com/CA/San-Francisco/232-Detroit-St-94131/home/1093336,San Francisco MLS,503209,N,Y,37.729582,-122.4440477
MLS Listing,,Condo/Co-op,250 King St #912,San Francisco,CA,94107,895000,1,1,Mission Bay,888,,2004,1,1008,850,Active,,,http://www.redfin.com/CA/San-Francisco/250-King-St-94107/unit-912/home/22889616,San Francisco MLS,503100,N,Y,37.7776422,-122.3934181
MLS Listing,,Condo/Co-op,355 1st St Unit S2103,San Francisco,CA,94105,985000,1,1,South Beach,722,,2004,1,1364,807,Active,,,http://www.redfin.com/CA/San-Francisco/355-1st-St-94105/unit-S2103/home/879020,San Francisco MLS,503203,N,Y,37.7870311,-122.3936421
