August 2019 Contiguous U.S. City Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1981-2010 base period)","1981-2010 Mean"
USW00013876,"Birmingham, Alabama",82.1,71,1.0,81.1
USW00003856,"Huntsville, Alabama",80.0,36,0.1,79.9
USW00013894,"Mobile, Alabama",82.8,63,1.2,81.6
USW00013895,"Montgomery, Alabama",83.7,63,1.9,81.8
USW00026451,"Anchorage, Alaska",62.7,68,5.8,56.9
USW00027502,"Barrow, Alaska",42.7,90,3.7,39
USW00026615,"Bethel, Alaska",56.5,87,2.6,53.9
USW00026411,"Fairbanks, Alaska",55.6,44,-0.7,56.3
USW00025309,"Juneau, Alaska",58.3,71,2.8,55.5
USW00026617,"Nome, Alaska",50.1,58,0.0,50.1
USW00003103,"Flagstaff, Arizona",67.3,90,3.3,64
USW00023183,"Phoenix, Arizona",96.8,80,3.6,93.2
USW00023160,"Tucson, Arizona",89.3,71,3.1,86.2
USW00003125,"Yuma, Arizona",95.9,59,2.3,93.6
USW00013964,"Fort Smith, Arkansas",83.0,50,0.6,82.4
USW00013963,"Little Rock, Arkansas",81.9,63,0.9,81
USW00024213,"Eureka, California",61.9,78,4.0,57.9
USH00043257,"Fresno, California",83.8,120,2.7,81.1
USW00023174,"Los Angeles, California",69.7,51,0.3,69.4
USW00023232,"Sacramento, California",77.9,70,3.0,74.9
USW00023188,"San Diego, California",71.6,45,-0.7,72.3
USW00023234,"San Francisco, California",67.2,74,2.9,64.3
USW00023061,"Alamosa, Colorado",64.2,62,1.6,62.6
USW00093037,"Colorado Springs, Colorado",73.1,71,4.1,69
USW00023066,"Grand Junction, Colorado",78.9,120,3.3,75.6
USW00093058,"Pueblo, Colorado",78.1,64,3.4,74.7
USW00094702,"Bridgeport, Connecticut",74.4,51,1.1,73.3
USW00014740,"Hartford, Connecticut",72.8,48,0.8,72
USW00013781,"Wilmington, Delaware",76.7,56,1.5,75.2
USW00012834,"Daytona Beach, Florida",82.9,76,1.4,81.5
USW00012835,"Fort Myers, Florida",83.4,66,0.1,83.3
USW00013889,"Jacksonville, Florida",83.1,72,1.0,82.1
USH00084570,"Key West, Florida",85.2,112,1.1,84.1
USW00012839,"Miami, Florida",84.1,49,0.2,83.9
USW00012815,"Orlando, Florida",83.6,57,0.8,82.8
USH00088758,"Tallahassee, Florida",83.6,119,1.6,82
USW00012842,"Tampa, Florida",84.6,74,0.8,83.8
USW00012844,"West Palm Beach, Florida",83.8,68,0.7,83.1
