January 2019 Contiguous U.S. City Average Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1981-2010 base period)","1981-2010 Mean"
USW00013876,"Birmingham, Alabama",45.1,54,1.0,44.1
USW00003856,"Huntsville, Alabama",42.9,44,1.6,41.3
USW00013894,"Mobile, Alabama",51.5,46,1.2,50.3
USW00013895,"Montgomery, Alabama",48.5,48,1.7,46.8
USW00026451,"Anchorage, Alaska",20.4,52,3.0,17.4
USW00027502,"Barrow, Alaska",-8.6,86,4.8,-13.4
USW00026615,"Bethel, Alaska",14.0,75,7.0,7
USW00026411,"Fairbanks, Alaska",-6.7,54,1.0,-7.7
USW00025309,"Juneau, Alaska",29.8,55,1.9,27.9
USW00026617,"Nome, Alaska",7.7,71,2.4,5.3
USW00003103,"Flagstaff, Arizona",30.8,70,1.3,29.5
USW00023183,"Phoenix, Arizona",56.0,56,0.0,56
USW00023160,"Tucson, Arizona",52.7,36,-0.8,53.5
USW00003125,"Yuma, Arizona",55.6,27,-1.3,56.9
USW00013964,"Fort Smith, Arkansas",40.0,47,0.3,39.7
USW00013963,"Little Rock, Arkansas",41.8,55,1.4,40.4
USW00024213,"Eureka, California",49.5,64,1.6,47.9
USH00043257,"Fresno, California",51.5,122,5.0,46.5
USW00023174,"Los Angeles, California",57.7,60,1.1,56.6
USW00023232,"Sacramento, California",50.2,72,3.6,46.6
USW00023188,"San Diego, California",58.7,60,0.9,57.8
USW00023234,"San Francisco, California",54.0,74,4.0,50
USW00023061,"Alamosa, Colorado",8.9,12,-7.3,16.2
USW00093037,"Colorado Springs, Colorado",33.1,56,2.3,30.8
USW00023066,"Grand Junction, Colorado",26.9,73,-0.5,27.4
USW00093058,"Pueblo, Colorado",33.6,50,2.1,31.5
USW00094702,"Bridgeport, Connecticut",31.3,45,1.2,30.1
USW00014740,"Hartford, Connecticut",26.0,36,-0.2,26.2
USW00013781,"Wilmington, Delaware",32.6,44,0.2,32.4
USW00012834,"Daytona Beach, Florida",59.0,55,1.2,57.8
USW00012835,"Fort Myers, Florida",63.5,49,-0.4,63.9
USW00013889,"Jacksonville, Florida",54.9,58,1.5,53.4
USH00084570,"Key West, Florida",69.6,70,0.7,68.9
USW00012839,"Miami, Florida",68.6,47,0.8,67.8
USW00012815,"Orlando, Florida",60.6,42,0.4,60.2
USH00088758,"Tallahassee, Florida",52.4,71,0.9,51.5
USW00012842,"Tampa, Florida",61.6,48,0.2,61.4
USW00012844,"West Palm Beach, Florida",65.3,42,-0.4,65.7
USW00013874,"Atlanta, Georgia",45.9,59,1.9,44
USW00003820,"Augusta, Georgia",49.1,55,2.7,46.4
USW00093842,"Columbus, Georgia",49.7,49,1.8,47.9
USW00003813,"Macon, Georgia",48.8,47,2.1,46.7
USH00097847,"Savannah, Georgia",52.4,87,2.7,49.7
USC00517166,"Captain Cook, Hawaii",67.3,20,-0.4,67.7
USW00021504,"Hilo, Hawaii",71.8,29,-0.1,71.9
USW00022521,"Honolulu Intl. Airport, Hawaii",75.2,50,0.6,74.6
USC00519397,"Honolulu Zoo, Hawaii",-99.0,-99,-99.0,-99
USW00022516,"Kahului, Hawaii",71.6,22,-0.6,72.2
USC00513317,"Kapalua, Hawaii",72.5,19,0.6,71.9
USC00515000,"Kula, Hawaii",60.1,16,-0.5,60.6
USW00022536,"Lihue, Hawaii",72.3,54,0.9,71.4
USW00024131,"Boise, Idaho",35.4,66,4.0,31.4
USH00105241,"Lewiston, Idaho",36.9,99,0.9,36
USW00024156,"Pocatello, Idaho",25.2,45,0.6,24.6
USW00094846,"Chicago, Illinois",21.1,19,-3.9,25
USW00014923,"Moline, Illinois",19.8,24,-3.4,23.2
USW00014842,"Peoria, Illinois",22.6,28,-2.7,25.3
USW00094822,"Rockford, Illinois",18.2,23,-3.6,21.8
USW00093822,"Springfield, Illinois",26.9,57,-0.8,27.7
USW00093817,"Evansville, Indiana",33.0,43,0.2,32.8
USW00014827,"Fort Wayne, Indiana",25.5,50,0.5,25
USW00093819,"Indianapolis, Indiana",27.5,36,-0.9,28.4
USW00014848,"South Bend, Indiana",21.1,41,-2.7,23.8
USW00014933,"Des Moines, Iowa",21.0,33,-1.8,22.8
USW00094908,"Dubuque, Iowa",15.6,22,-3.6,19.2
USW00014943,"Sioux City, Iowa",21.8,55,1.1,20.7
USW00094910,"Waterloo, Iowa",16.7,31,-1.3,18
USW00013985,"Dodge City, Kansas",33.6,55,1.5,32.1
USW00023065,"Goodland, Kansas",32.2,92,2.5,29.7
USW00013996,"Topeka, Kansas",29.7,43,-0.6,30.3
USW00003928,"Wichita, Kansas",33.5,45,1.2,32.3
USW00093820,"Lexington, Kentucky",33.9,78,0.8,33.1
USW00093821,"Louisville, Kentucky",35.3,44,0.7,34.6
USW00003816,"Paducah, Kentucky",36.7,46,1.5,35.2
USH00160549,"Baton Rouge, Louisiana",51.3,71,0.4,50.9
USW00013942,"Monroe, Louisiana",47.6,53,1.4,46.2
USW00012916,"New Orleans, Louisiana",54.4,45,1.3,53.1
USW00013957,"Shreveport, Louisiana",47.9,55,0.9,47
USW00014606,"Bangor, Maine",18.7,36,1.1,17.6
USW00014607,"Caribou, Maine",10.7,37,0.3,10.4
USH00176905,"Portland, Maine",23.1,75,0.7,22.4
USW00093721,"Baltimore, Maryland",33.5,48,0.2,33.3
USW00093720,"Salisbury, Maryland",36.0,44,0.7,35.3
USH00190736,"Blue Hill, Massachusetts",27.4,85,1.2,26.2
USW00014739,"Boston, Massachusetts",30.8,54,0.9,29.9
USW00094746,"Worcester, Massachusetts",23.3,32,-0.5,23.8
USW00094847,"Detroit, Michigan",24.0,28,-1.3,25.3
USW00014826,"Flint, Michigan",20.8,27,-1.7,22.5
USW00094860,"Grand Rapids, Michigan",21.9,23,-2.5,24.4
USW00014840,"Muskegon, Michigan",22.8,37,-3.0,25.8
USW00014847,"Sault Ste. Marie, Michigan",11.4,21,-4.4,15.8
USW00014913,"Duluth, Minnesota",7.8,30,-3.6,11.4
