city,state,abbr,summer_temp,winter_temp
Birmingham,Alabama,AL,82.1,45.1
Huntsville,Alabama,AL,80,42.9
Mobile, Alabama,AL,82.8,51.5
Montgomery, Alabama,AL,83.7,48.5
Anchorage, Alaska,AK,62.7,20.4
Barrow, Alaska,AK,42.7,-8.6
Bethel, Alaska,AK,56.5,14
Fairbanks, Alaska,AK,55.6,-6.7
Juneau, Alaska,AK,58.3,29.8
Nome, Alaska,AK,50.1,7.7
Flagstaff, Arizona,AZ,67.3,30.8
Phoenix, Arizona,AZ,96.8,56
Tucson, Arizona,AZ,89.3,52.7
Yuma, Arizona,AZ,95.9,55.6
Fort Smith, Arkansas,AR,83,40
Little Rock, Arkansas,AR,81.9,41.8
Eureka, California,CA,61.9,49.5
Fresno, California,CA,83.8,51.5
Los Angeles, California,CA,69.7,57.7
Sacramento, California,CA,77.9,50.2
San Diego, California,CA,71.6,58.7
San Francisco, California,CA,67.2,54
Alamosa, Colorado,CO,64.2,8.9
Colorado Springs, Colorado,CO,73.1,33.1
Grand Junction, Colorado,CO,78.9,26.9
Pueblo, Colorado,CO,78.1,33.6
Bridgeport, Connecticut,CT,74.4,31.3
Hartford, Connecticut,CT,72.8,26
Wilmington, Delaware,DE,76.7,32.6
Daytona Beach, Florida,FL,82.9,59
Fort Myers, Florida,FL,83.4,63.5
Jacksonville, Florida,FL,83.1,54.9
Key West, Florida,FL,85.2,69.6
Miami, Florida,FL,84.1,68.6
Orlando, Florida,FL,83.6,60.6
Tallahassee, Florida,FL,83.6,52.4
Tampa, Florida,FL,84.6,61.6
West Palm Beach, Florida,FL,83.8,65.3
Atlanta, Georgia,GA,82.5,45.9
Augusta, Georgia,GA,82.6,49.1
Columbus, Georgia,GA,83.7,49.7
Macon, Georgia,GA,82.8,48.8
Savannah, Georgia,GA,83.5,52.4
Captain Cook, Hawaii,HI,-99,67.3
Hilo, Hawaii,HI,78.4,71.8
Honolulu Intl. Airport, Hawaii,HI,85.6,75.2
Honolulu Zoo, Hawaii,HI,83.4,-99
Kahului, Hawaii,HI,82.3,71.6
Kapalua, Hawaii,HI,81,72.5
Kula, Hawaii,HI,68.5,60.1
Lihue, Hawaii,HI,81.8,72.3
Boise, Idaho,ID,76.9,35.4
Lewiston, Idaho,ID,76.9,36.9
Pocatello, Idaho,ID,69.3,25.2
Chicago, Illinois,IL,72.9,21.1
Moline, Illinois,IL,73,19.8
Peoria, Illinois,IL,73.5,22.6
Rockford, Illinois,IL,71.5,18.2
Springfield, Illinois,IL,74.2,26.9
Evansville, Indiana,IN,76.6,33
Fort Wayne, Indiana,IN,71.1,25.5
Indianapolis, Indiana,IN,74.7,27.5
South Bend, Indiana,IN,70,21.1
Des Moines, Iowa,IA,73.2,21
Dubuque, Iowa,IA,68.3,15.6
Sioux City, Iowa,IA,71.2,21.8
Waterloo, Iowa,IA,69.2,16.7
Dodge City, Kansas,KS,80.3,33.6
Goodland, Kansas,KS,73.9,32.2
Topeka, Kansas,KS,76.6,29.7
