February 2016 - January 2019 Contiguous U.S. Statewide Maximum Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",76.3,121,1.4,74.9
0200,"Arizona",76.8,123,3.4,73.4
0300,"Arkansas",72.8,108,1.1,71.7
0400,"California",72.7,119,2.8,69.9
0500,"Colorado",61.5,123,3.1,58.4
0600,"Connecticut",60.9,121,2.6,58.3
0700,"Delaware",66.9,120,2.7,64.2
0800,"Florida",82.8,122,2.0,80.8
0900,"Georgia",77.0,123,2.0,75
1000,"Idaho",56.3,119,2.0,54.3
1100,"Illinois",63.8,115,1.8,62
1200,"Indiana",63.6,116,1.6,62
1300,"Iowa",59.4,98,1.1,58.3
1400,"Kansas",68.7,115,2.1,66.6
1500,"Kentucky",68.3,116,1.6,66.7
1600,"Louisiana",78.4,118,1.3,77.1
1700,"Maine",52.4,116,1.9,50.5
1800,"Maryland",66.0,118,2.1,63.9
1900,"Massachusetts",59.6,120,2.4,57.2
2000,"Michigan",55.7,115,2.0,53.7
2100,"Minnesota",52.4,106,1.6,50.8
2200,"Mississippi",76.5,115,1.2,75.3
2300,"Missouri",67.3,113,1.7,65.6
2400,"Montana",55.1,111,2.0,53.1
2500,"Nebraska",62.6,102,1.5,61.1
2600,"Nevada",65.7,119,2.6,63.1
2700,"New Hampshire",55.4,118,2.0,53.4
2800,"New Jersey",64.4,121,2.8,61.6
2900,"New Mexico",71.0,123,3.3,67.7
3000,"New York",56.6,120,2.0,54.6
3100,"North Carolina",71.5,121,1.7,69.8
3200,"North Dakota",53.2,110,1.9,51.3
3300,"Ohio",62.8,120,2.0,60.8
3400,"Oklahoma",73.6,116,1.8,71.8
3500,"Oregon",59.9,118,2.2,57.7
3600,"Pennsylvania",60.4,120,1.9,58.5
3700,"Rhode Island",60.9,120,2.9,58
3800,"South Carolina",75.9,123,1.9,74
3900,"South Dakota",58.3,101,1.4,56.9
4000,"Tennessee",70.6,118,1.5,69.1
4100,"Texas",79.0,121,1.9,77.1
4200,"Utah",63.3,123,3.1,60.2
4300,"Vermont",54.0,119,1.8,52.2
4400,"Virginia",67.6,118,1.6,66
4500,"Washington",57.4,112,1.4,56
4600,"West Virginia",64.5,120,1.7,62.8
4700,"Wisconsin",54.4,106,1.5,52.9
4800,"Wyoming",56.1,122,2.7,53.4
