January 2019 Contiguous U.S. Statewide Minimum Temperature
Units: Degrees Fahrenheit
Missing: -99
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",36.5,86,2.3,34.2
0200,"Arizona",30.5,85,2.2,28.3
0300,"Arkansas",32.0,94,2.9,29.1
0400,"California",36.9,112,4.2,32.7
0500,"Colorado",13.4,85,2.4,11
0600,"Connecticut",18.4,84,2.1,16.3
0700,"Delaware",26.5,83,1.9,24.6
0800,"Florida",47.2,77,0.6,46.6
0900,"Georgia",37.8,97,2.7,35.1
1000,"Idaho",17.8,93,4.0,13.8
1100,"Illinois",17.5,61,0.7,16.8
1200,"Indiana",19.0,66,1.0,18
1300,"Iowa",10.4,71,2.0,8.4
1400,"Kansas",21.6,107,4.4,17.2
1500,"Kentucky",27.1,90,2.9,24.2
1600,"Louisiana",39.7,71,0.6,39.1
1700,"Maine",4.2,75,1.4,2.8
1800,"Maryland",25.4,83,1.6,23.8
1900,"Massachusetts",17.1,85,2.1,15
2000,"Michigan",9.2,47,-1.0,10.2
2100,"Minnesota",-2.6,60,1.0,-3.6
2200,"Mississippi",36.7,88,2.3,34.4
2300,"Missouri",22.9,91,3.3,19.6
2400,"Montana",15.1,113,8.1,7
2500,"Nebraska",16.2,103,5.6,10.6
2600,"Nevada",24.3,110,5.3,19
2700,"New Hampshire",8.6,83,1.9,6.7
2800,"New Jersey",22.6,84,1.6,21
2900,"New Mexico",22.5,96,2.7,19.8
3000,"New York",10.1,50,-0.9,11
3100,"North Carolina",32.2,93,2.7,29.5
3200,"North Dakota",0.9,80,4.4,-3.5
3300,"Ohio",19.7,68,1.0,18.7
3400,"Oklahoma",27.7,95,2.6,25.1
3500,"Oregon",27.5,104,4.6,22.9
3600,"Pennsylvania",17.8,66,0.7,17.1
3700,"Rhode Island",20.3,84,1.7,18.6
3800,"South Carolina",36.6,98,3.0,33.6
3900,"South Dakota",8.5,83,4.3,4.2
4000,"Tennessee",30.9,96,3.6,27.3
4100,"Texas",35.5,91,2.4,33.1
4200,"Utah",17.6,81,2.7,14.9
4300,"Vermont",5.0,60,0.2,4.8
4400,"Virginia",27.3,86,2.3,25
4500,"Washington",28.4,110,6.0,22.4
4600,"West Virginia",24.2,91,3.0,21.2
4700,"Wisconsin",5.0,73,2.0,3
4800,"Wyoming",11.5,91,3.6,7.9
