state_full,min_temp,max_temp,state
Alabama,36.5,91.3,AL
Arizona,30.5,96.6,AZ
Arkansas,32.0,90.1,AR
California,36.9,91.5,CA
Colorado,13.4,83.6,CO
Connecticut,18.4,81.3,CT
Delaware,26.5,86.0,DE
Florida,47.2,91.2,FL
Georgia,37.8,91.2,GA
Idaho,17.8,81.8,ID
Illinois,17.5,83.2,IL
Indiana,19.0,83.1,IN
Iowa,10.4,79.9,IA
Kansas,21.6,88.3,KS
Kentucky,27.1,86.7,KY
Louisiana,39.7,92.5,LA
Maine,4.2,75.7,ME
Maryland,25.4,86.0,MD
Massachusetts,17.1,80.8,MA
Michigan,9.2,78.0,MI
Minnesota,-2.6,76.1,MN
Mississippi,36.7,91.6,MS
Missouri,22.9,85.0,MO
Montana,15.1,79.4,MT
Nebraska,16.2,82.2,NE
Nevada,24.3,89.7,NV
New Hampshire,8.6,77.9,NH
New Jersey,22.6,84.3,NJ
New Mexico,22.5,90.6,NM
New York,10.1,77.8,NY
North Carolina,32.2,86.8,NC
North Dakota,0.9,77.6,ND
Ohio,19.7,82.4,OH
Oklahoma,27.7,93.6,OK
Oregon,27.5,82.4,OR
Pennsylvania,17.8,80.6,PA
Rhode Island,20.3,81.0,RI
South Carolina,36.6,90.5,SC
South Dakota,8.5,79.2,SD
Tennessee,30.9,87.7,TN
Texas,35.5,98.2,TX
Utah,17.6,88.2,UT
Vermont,5.0,76.8,VT
Virginia,27.3,85.6,VA
Washington,28.4,79.2,WA
West Virginia,24.2,83.3,WV
Wisconsin,5.0,76.6,WI
Wyoming,11.5,80.7,WY
